GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "21000","Kentucky",5,SAOEMP,1,"...","All industries ","Number of jobs",51558,49965,50456,51087,52272,52915,53551,54013,42844,49267
 "21000","Kentucky",5,SAOEMP,2,"..."," Private industries ","Number of jobs",48692,47084,47534,48217,49417,50099,50845,51323,40254,46711
 "21000","Kentucky",5,SAOEMP,3,"...","  Agriculture, forestry, fishing, and hunting ","Number of jobs",434,453,483,479,845,1030,1152,1177,786,874
 "21000","Kentucky",5,SAOEMP,4,"...","  Mining ","Number of jobs",86,61,44,27,20,46,53,47,41,53
 "21000","Kentucky",5,SAOEMP,5,"...","  Utilities ","Number of jobs",0,0,0,0,0,0,0,0,0,0
 "21000","Kentucky",5,SAOEMP,6,"...","  Construction ","Number of jobs",702,658,710,718,730,803,848,913,924,915
 "21000","Kentucky",5,SAOEMP,7,"...","  Manufacturing ","Number of jobs",2993,2934,2914,2998,2955,2800,2847,2971,2908,3182
 "21000","Kentucky",5,SAOEMP,8,"...","   Durable goods ","Number of jobs",1234,1264,1257,1342,1278,1168,1236,1303,1145,1304
 "21000","Kentucky",5,SAOEMP,9,"...","   Nondurable goods ","Number of jobs",1759,1670,1656,1656,1677,1633,1611,1668,1763,1878
 "21000","Kentucky",5,SAOEMP,10,"...","  Wholesale trade ","Number of jobs",1230,1214,1233,1241,1192,1210,1227,1233,1199,1209
 "21000","Kentucky",5,SAOEMP,11,"...","  Retail trade ","Number of jobs",18969,18920,18938,19312,19611,19789,19677,19267,16654,17674
 "21000","Kentucky",5,SAOEMP,12,"...","  Transportation and warehousing ","Number of jobs",1825,1618,1650,1547,1629,1555,1664,1793,1374,1815
 "21000","Kentucky",5,SAOEMP,13,"...","  Information ","Number of jobs",74,74,74,73,70,67,65,62,65,140
 "21000","Kentucky",5,SAOEMP,14,"...","  Finance, insurance, real estate, rental, and leasing ","Number of jobs",346,364,304,312,322,328,357,403,314,336
 "21000","Kentucky",5,SAOEMP,15,"...","   Finance and insurance ","Number of jobs",77,75,70,67,68,66,61,65,61,63
 "21000","Kentucky",5,SAOEMP,16,"...","   Real estate and rental and leasing ","Number of jobs",269,289,234,244,254,262,297,338,253,273
 "21000","Kentucky",5,SAOEMP,17,"...","  Professional and business services ","Number of jobs",692,706,734,776,816,728,737,664,556,564
 "21000","Kentucky",5,SAOEMP,18,"...","  Educational services, health care, and social assistance ","Number of jobs",693,725,740,750,782,817,813,823,677,761
 "21000","Kentucky",5,SAOEMP,19,"...","   Educational services ","Number of jobs",637,670,685,693,723,755,751,758,615,690
 "21000","Kentucky",5,SAOEMP,20,"...","   Health care and social assistance ","Number of jobs",56,55,55,56,59,62,63,66,62,71
 "21000","Kentucky",5,SAOEMP,21,"...","  Arts, entertainment, recreation, accommodation, and food services ","Number of jobs",20015,18739,19080,19360,19818,20312,20776,21332,14163,18584
 "21000","Kentucky",5,SAOEMP,22,"...","   Arts, entertainment, and recreation ","Number of jobs",7709,7974,8357,8481,8843,9272,9648,10025,7009,8112
 "21000","Kentucky",5,SAOEMP,23,"...","   Accommodation and food services ","Number of jobs",12306,10765,10723,10878,10975,11040,11127,11307,7153,10471
 "21000","Kentucky",5,SAOEMP,24,"...","  Other services, except government ","Number of jobs",634,620,630,626,627,614,628,638,593,605
 "21000","Kentucky",5,SAOEMP,25,"..."," Government ","Number of jobs",2866,2881,2922,2870,2855,2816,2706,2690,2590,2556
 "21000","Kentucky",5,SAOEMP,26,"...","  Federal ","Number of jobs",303,249,235,129,133,132,131,89,77,77
 "21000","Kentucky",5,SAOEMP,27,"...","  State and local ","Number of jobs",2562,2632,2687,2741,2722,2684,2575,2601,2513,2480
"Note: See the included footnote file."
"SAOEMP: Outdoor recreation satellite account employment 1/"
"Last updated: November 9, 2022-- new statistics for 2021; revised statistics for 2017-2020."
"U.S. Bureau of Economic Analysis"
