GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "22000","Louisiana",5,SAOEMP,1,"...","All industries ","Number of jobs",62922,62011,63167,64273,65858,63966,63449,63469,51779,57740
 "22000","Louisiana",5,SAOEMP,2,"..."," Private industries ","Number of jobs",58375,57580,58727,59888,61512,59672,59474,59604,47971,53868
 "22000","Louisiana",5,SAOEMP,3,"...","  Agriculture, forestry, fishing, and hunting ","Number of jobs",449,443,453,434,601,698,758,766,573,667
 "22000","Louisiana",5,SAOEMP,4,"...","  Mining ","Number of jobs",26,26,24,19,20,54,60,58,76,76
 "22000","Louisiana",5,SAOEMP,5,"...","  Utilities ","Number of jobs",0,0,0,0,0,0,0,0,0,0
 "22000","Louisiana",5,SAOEMP,6,"...","  Construction ","Number of jobs",3339,4119,4385,4764,4667,4465,4345,4310,4072,4231
 "22000","Louisiana",5,SAOEMP,7,"...","  Manufacturing ","Number of jobs",2506,2476,2484,2527,2525,2542,2497,2480,2411,2356
 "22000","Louisiana",5,SAOEMP,8,"...","   Durable goods ","Number of jobs",906,890,899,902,925,1003,975,941,846,887
 "22000","Louisiana",5,SAOEMP,9,"...","   Nondurable goods ","Number of jobs",1600,1586,1585,1625,1600,1540,1522,1539,1565,1469
 "22000","Louisiana",5,SAOEMP,10,"...","  Wholesale trade ","Number of jobs",1561,1538,1543,1544,1487,1472,1466,1470,1405,1443
 "22000","Louisiana",5,SAOEMP,11,"...","  Retail trade ","Number of jobs",25803,25641,25562,25783,26078,25478,24605,23563,20641,21163
 "22000","Louisiana",5,SAOEMP,12,"...","  Transportation and warehousing ","Number of jobs",3397,3338,3443,3261,3332,3186,3232,3464,2511,2645
 "22000","Louisiana",5,SAOEMP,13,"...","  Information ","Number of jobs",55,55,55,56,55,54,53,49,51,123
 "22000","Louisiana",5,SAOEMP,14,"...","  Finance, insurance, real estate, rental, and leasing ","Number of jobs",472,509,426,444,448,456,475,528,423,417
 "22000","Louisiana",5,SAOEMP,15,"...","   Finance and insurance ","Number of jobs",112,108,102,98,96,93,87,94,87,84
 "22000","Louisiana",5,SAOEMP,16,"...","   Real estate and rental and leasing ","Number of jobs",360,400,324,345,352,363,389,434,336,334
 "22000","Louisiana",5,SAOEMP,17,"...","  Professional and business services ","Number of jobs",508,511,520,541,566,528,532,487,376,364
 "22000","Louisiana",5,SAOEMP,18,"...","  Educational services, health care, and social assistance ","Number of jobs",620,660,704,772,869,966,1007,1038,851,950
 "22000","Louisiana",5,SAOEMP,19,"...","   Educational services ","Number of jobs",564,605,648,713,807,902,943,970,787,876
 "22000","Louisiana",5,SAOEMP,20,"...","   Health care and social assistance ","Number of jobs",56,55,56,58,62,65,65,68,64,74
 "22000","Louisiana",5,SAOEMP,21,"...","  Arts, entertainment, recreation, accommodation, and food services ","Number of jobs",18922,17557,18400,19012,20133,19085,19753,20702,13965,18809
 "22000","Louisiana",5,SAOEMP,22,"...","   Arts, entertainment, and recreation ","Number of jobs",7048,7112,7695,7821,8229,8358,8520,8742,6146,6863
 "22000","Louisiana",5,SAOEMP,23,"...","   Accommodation and food services ","Number of jobs",11875,10446,10705,11191,11904,10727,11233,11960,7819,11946
 "22000","Louisiana",5,SAOEMP,24,"...","  Other services, except government ","Number of jobs",716,705,727,731,731,688,691,689,616,624
 "22000","Louisiana",5,SAOEMP,25,"..."," Government ","Number of jobs",4548,4432,4440,4385,4346,4294,3974,3865,3808,3873
 "22000","Louisiana",5,SAOEMP,26,"...","  Federal ","Number of jobs",81,74,71,46,44,41,41,30,27,27
 "22000","Louisiana",5,SAOEMP,27,"...","  State and local ","Number of jobs",4466,4357,4369,4339,4302,4253,3933,3836,3781,3845
"Note: See the included footnote file."
"SAOEMP: Outdoor recreation satellite account employment 1/"
"Last updated: November 9, 2022-- new statistics for 2021; revised statistics for 2017-2020."
"U.S. Bureau of Economic Analysis"
