GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "38000","North Dakota",4,SAOEMP,1,"...","All industries ","Number of jobs",15343,15635,15704,16457,16247,15837,15950,15894,13021,14214
 "38000","North Dakota",4,SAOEMP,2,"..."," Private industries ","Number of jobs",13677,13866,13877,14538,14251,13768,13874,13771,10872,12040
 "38000","North Dakota",4,SAOEMP,3,"...","  Agriculture, forestry, fishing, and hunting ","Number of jobs",94,87,95,87,159,192,215,212,132,148
 "38000","North Dakota",4,SAOEMP,4,"...","  Mining ","Number of jobs",16,15,14,10,11,13,16,16,14,18
 "38000","North Dakota",4,SAOEMP,5,"...","  Utilities ","Number of jobs",0,0,0,0,0,0,0,0,0,0
 "38000","North Dakota",4,SAOEMP,6,"...","  Construction ","Number of jobs",477,432,481,505,465,440,441,472,469,484
 "38000","North Dakota",4,SAOEMP,7,"...","  Manufacturing ","Number of jobs",225,226,222,224,223,224,226,231,262,301
 "38000","North Dakota",4,SAOEMP,8,"...","   Durable goods ","Number of jobs",79,83,79,78,73,71,73,78,86,103
 "38000","North Dakota",4,SAOEMP,9,"...","   Nondurable goods ","Number of jobs",146,143,143,146,150,153,153,153,175,197
 "38000","North Dakota",4,SAOEMP,10,"...","  Wholesale trade ","Number of jobs",650,666,685,684,661,631,637,636,625,672
 "38000","North Dakota",4,SAOEMP,11,"...","  Retail trade ","Number of jobs",5232,5371,5380,5611,5612,5441,5368,5243,4708,4855
 "38000","North Dakota",4,SAOEMP,12,"...","  Transportation and warehousing ","Number of jobs",575,582,583,551,511,450,466,493,396,424
 "38000","North Dakota",4,SAOEMP,13,"...","  Information ","Number of jobs",19,19,19,20,20,19,18,18,18,35
 "38000","North Dakota",4,SAOEMP,14,"...","  Finance, insurance, real estate, rental, and leasing ","Number of jobs",93,98,86,90,91,91,98,98,82,83
 "38000","North Dakota",4,SAOEMP,15,"...","   Finance and insurance ","Number of jobs",31,30,28,28,30,30,28,31,29,28
 "38000","North Dakota",4,SAOEMP,16,"...","   Real estate and rental and leasing ","Number of jobs",62,68,58,62,61,61,70,67,53,55
 "38000","North Dakota",4,SAOEMP,17,"...","  Professional and business services ","Number of jobs",335,322,312,302,298,270,265,242,169,159
 "38000","North Dakota",4,SAOEMP,18,"...","  Educational services, health care, and social assistance ","Number of jobs",170,183,192,206,227,242,243,242,195,225
 "38000","North Dakota",4,SAOEMP,19,"...","   Educational services ","Number of jobs",157,169,179,192,213,227,228,227,181,210
 "38000","North Dakota",4,SAOEMP,20,"...","   Health care and social assistance ","Number of jobs",13,13,13,14,14,14,14,15,14,15
 "38000","North Dakota",4,SAOEMP,21,"...","  Arts, entertainment, recreation, accommodation, and food services ","Number of jobs",5642,5717,5656,6093,5821,5610,5741,5726,3672,4504
 "38000","North Dakota",4,SAOEMP,22,"...","   Arts, entertainment, and recreation ","Number of jobs",1666,1704,1817,1821,1886,1957,2030,2090,1508,1689
 "38000","North Dakota",4,SAOEMP,23,"...","   Accommodation and food services ","Number of jobs",3976,4013,3839,4272,3934,3654,3711,3637,2164,2815
 "38000","North Dakota",4,SAOEMP,24,"...","  Other services, except government ","Number of jobs",150,149,152,156,152,144,142,142,129,132
 "38000","North Dakota",4,SAOEMP,25,"..."," Government ","Number of jobs",1666,1768,1827,1920,1997,2069,2076,2123,2149,2173
 "38000","North Dakota",4,SAOEMP,26,"...","  Federal ","Number of jobs",91,77,70,44,46,46,50,36,33,34
 "38000","North Dakota",4,SAOEMP,27,"...","  State and local ","Number of jobs",1575,1691,1756,1875,1951,2023,2026,2088,2115,2140
"Note: See the included footnote file."
"SAOEMP: Outdoor recreation satellite account employment 1/"
"Last updated: November 9, 2022-- new statistics for 2021; revised statistics for 2017-2020."
"U.S. Bureau of Economic Analysis"
