GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "31000","Nebraska",4,SAOEMP,1,"...","All industries ","Number of jobs",29539,29307,29182,29969,30333,29523,30265,30160,24543,27411
 "31000","Nebraska",4,SAOEMP,2,"..."," Private industries ","Number of jobs",27961,27658,27459,28175,28534,27771,28619,28490,22867,25675
 "31000","Nebraska",4,SAOEMP,3,"...","  Agriculture, forestry, fishing, and hunting ","Number of jobs",287,278,298,288,468,554,604,589,398,447
 "31000","Nebraska",4,SAOEMP,4,"...","  Mining ","Number of jobs",0,0,0,0,0,0,0,0,0,0
 "31000","Nebraska",4,SAOEMP,5,"...","  Utilities ","Number of jobs",0,0,0,0,0,0,0,0,0,0
 "31000","Nebraska",4,SAOEMP,6,"...","  Construction ","Number of jobs",905,905,935,927,860,869,911,991,1009,1020
 "31000","Nebraska",4,SAOEMP,7,"...","  Manufacturing ","Number of jobs",1959,2043,1998,2044,2147,1865,1992,1961,2405,2411
 "31000","Nebraska",4,SAOEMP,8,"...","   Durable goods ","Number of jobs",1162,1238,1196,1223,1277,969,1073,1031,1421,1394
 "31000","Nebraska",4,SAOEMP,9,"...","   Nondurable goods ","Number of jobs",796,805,802,822,870,896,919,930,984,1017
 "31000","Nebraska",4,SAOEMP,10,"...","  Wholesale trade ","Number of jobs",925,910,933,949,932,934,938,922,883,928
 "31000","Nebraska",4,SAOEMP,11,"...","  Retail trade ","Number of jobs",10141,10231,10106,10289,10238,10045,9991,9713,8333,8905
 "31000","Nebraska",4,SAOEMP,12,"...","  Transportation and warehousing ","Number of jobs",1073,1024,989,947,951,901,954,967,789,888
 "31000","Nebraska",4,SAOEMP,13,"...","  Information ","Number of jobs",44,44,43,44,45,45,45,42,42,80
 "31000","Nebraska",4,SAOEMP,14,"...","  Finance, insurance, real estate, rental, and leasing ","Number of jobs",258,267,240,226,228,231,235,259,221,216
 "31000","Nebraska",4,SAOEMP,15,"...","   Finance and insurance ","Number of jobs",158,151,142,133,132,131,128,140,132,125
 "31000","Nebraska",4,SAOEMP,16,"...","   Real estate and rental and leasing ","Number of jobs",99,116,98,93,97,99,107,118,89,91
 "31000","Nebraska",4,SAOEMP,17,"...","  Professional and business services ","Number of jobs",1103,1088,1089,1121,1156,1078,1032,938,604,548
 "31000","Nebraska",4,SAOEMP,18,"...","  Educational services, health care, and social assistance ","Number of jobs",541,583,617,660,717,769,788,808,662,754
 "31000","Nebraska",4,SAOEMP,19,"...","   Educational services ","Number of jobs",513,555,589,631,687,738,757,776,632,720
 "31000","Nebraska",4,SAOEMP,20,"...","   Health care and social assistance ","Number of jobs",29,28,28,29,30,31,32,33,31,35
 "31000","Nebraska",4,SAOEMP,21,"...","  Arts, entertainment, recreation, accommodation, and food services ","Number of jobs",10330,9898,9817,10285,10402,10110,10754,10928,7174,9131
 "31000","Nebraska",4,SAOEMP,22,"...","   Arts, entertainment, and recreation ","Number of jobs",4431,4564,4850,4930,5161,5280,5437,5625,3973,4505
 "31000","Nebraska",4,SAOEMP,23,"...","   Accommodation and food services ","Number of jobs",5898,5334,4966,5355,5241,4829,5317,5302,3201,4626
 "31000","Nebraska",4,SAOEMP,24,"...","  Other services, except government ","Number of jobs",395,387,393,394,391,371,375,371,345,346
 "31000","Nebraska",4,SAOEMP,25,"..."," Government ","Number of jobs",1578,1650,1723,1794,1799,1752,1646,1670,1677,1736
 "31000","Nebraska",4,SAOEMP,26,"...","  Federal ","Number of jobs",49,41,38,24,25,25,26,19,17,17
 "31000","Nebraska",4,SAOEMP,27,"...","  State and local ","Number of jobs",1530,1609,1685,1770,1774,1727,1620,1651,1660,1719
"Note: See the included footnote file."
"SAOEMP: Outdoor recreation satellite account employment 1/"
"Last updated: November 9, 2022-- new statistics for 2021; revised statistics for 2017-2020."
"U.S. Bureau of Economic Analysis"
