GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "33000","New Hampshire",1,SAOEMP,1,"...","All industries ","Number of jobs",32092,32029,32312,32812,32873,33420,32619,33310,24781,28010
 "33000","New Hampshire",1,SAOEMP,2,"..."," Private industries ","Number of jobs",31194,31121,31386,31893,31954,32499,31723,32404,23901,27126
 "33000","New Hampshire",1,SAOEMP,3,"...","  Agriculture, forestry, fishing, and hunting ","Number of jobs",158,155,162,165,185,198,201,204,191,225
 "33000","New Hampshire",1,SAOEMP,4,"...","  Mining ","Number of jobs",0,0,0,0,0,0,0,0,0,0
 "33000","New Hampshire",1,SAOEMP,5,"...","  Utilities ","Number of jobs",0,0,0,0,0,0,0,0,0,0
 "33000","New Hampshire",1,SAOEMP,6,"...","  Construction ","Number of jobs",91,80,84,89,93,106,122,133,130,135
 "33000","New Hampshire",1,SAOEMP,7,"...","  Manufacturing ","Number of jobs",946,1029,1040,1106,1178,1156,1127,1075,1121,1300
 "33000","New Hampshire",1,SAOEMP,8,"...","   Durable goods ","Number of jobs",638,732,751,814,871,829,815,738,763,880
 "33000","New Hampshire",1,SAOEMP,9,"...","   Nondurable goods ","Number of jobs",308,297,289,292,307,328,311,337,358,420
 "33000","New Hampshire",1,SAOEMP,10,"...","  Wholesale trade ","Number of jobs",1545,1477,1510,1556,1524,1517,1507,1523,1348,1425
 "33000","New Hampshire",1,SAOEMP,11,"...","  Retail trade ","Number of jobs",10274,10316,10392,10470,10287,10142,9564,9469,8295,8369
 "33000","New Hampshire",1,SAOEMP,12,"...","  Transportation and warehousing ","Number of jobs",775,762,725,704,688,732,700,724,429,510
 "33000","New Hampshire",1,SAOEMP,13,"...","  Information ","Number of jobs",31,30,30,30,30,30,30,29,31,58
 "33000","New Hampshire",1,SAOEMP,14,"...","  Finance, insurance, real estate, rental, and leasing ","Number of jobs",647,674,602,620,614,608,622,647,592,617
 "33000","New Hampshire",1,SAOEMP,15,"...","   Finance and insurance ","Number of jobs",301,282,268,262,258,246,228,235,223,213
 "33000","New Hampshire",1,SAOEMP,16,"...","   Real estate and rental and leasing ","Number of jobs",346,391,333,358,356,362,394,411,369,403
 "33000","New Hampshire",1,SAOEMP,17,"...","  Professional and business services ","Number of jobs",214,217,226,244,267,262,261,250,170,155
 "33000","New Hampshire",1,SAOEMP,18,"...","  Educational services, health care, and social assistance ","Number of jobs",776,824,844,882,908,959,969,977,792,881
 "33000","New Hampshire",1,SAOEMP,19,"...","   Educational services ","Number of jobs",751,800,818,857,882,936,946,952,770,856
 "33000","New Hampshire",1,SAOEMP,20,"...","   Health care and social assistance ","Number of jobs",25,25,25,26,26,23,23,25,22,25
 "33000","New Hampshire",1,SAOEMP,21,"...","  Arts, entertainment, recreation, accommodation, and food services ","Number of jobs",15433,15259,15468,15723,15878,16492,16321,17067,10521,13165
 "33000","New Hampshire",1,SAOEMP,22,"...","   Arts, entertainment, and recreation ","Number of jobs",6997,7100,7299,7333,7415,7649,7949,8282,5677,6376
 "33000","New Hampshire",1,SAOEMP,23,"...","   Accommodation and food services ","Number of jobs",8437,8159,8169,8390,8463,8843,8372,8785,4844,6790
 "33000","New Hampshire",1,SAOEMP,24,"...","  Other services, except government ","Number of jobs",305,298,304,303,303,298,300,306,283,286
 "33000","New Hampshire",1,SAOEMP,25,"..."," Government ","Number of jobs",898,908,926,919,920,922,896,905,880,883
 "33000","New Hampshire",1,SAOEMP,26,"...","  Federal ","Number of jobs",68,52,56,35,34,32,29,23,16,16
 "33000","New Hampshire",1,SAOEMP,27,"...","  State and local ","Number of jobs",830,856,870,883,886,890,867,883,864,867
"Note: See the included footnote file."
"SAOEMP: Outdoor recreation satellite account employment 1/"
"Last updated: November 9, 2022-- new statistics for 2021; revised statistics for 2017-2020."
"U.S. Bureau of Economic Analysis"
