GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "39000","Ohio",3,SAOEMP,1,"...","All industries ","Number of jobs",146136,143274,145421,146292,148574,147156,150241,152090,123037,137845
 "39000","Ohio",3,SAOEMP,2,"..."," Private industries ","Number of jobs",135812,132586,134598,135335,137833,136475,139569,140573,111173,125815
 "39000","Ohio",3,SAOEMP,3,"...","  Agriculture, forestry, fishing, and hunting ","Number of jobs",1379,1381,1462,1457,1881,2107,2220,2221,1828,2125
 "39000","Ohio",3,SAOEMP,4,"...","  Mining ","Number of jobs",19,15,13,10,9,30,32,32,44,49
 "39000","Ohio",3,SAOEMP,5,"...","  Utilities ","Number of jobs",0,0,0,0,0,0,0,0,0,0
 "39000","Ohio",3,SAOEMP,6,"...","  Construction ","Number of jobs",2362,1638,1765,1826,1889,2059,2315,2575,2608,2695
 "39000","Ohio",3,SAOEMP,7,"...","  Manufacturing ","Number of jobs",6390,6506,6477,6646,6765,6988,7183,7419,7874,9167
 "39000","Ohio",3,SAOEMP,8,"...","   Durable goods ","Number of jobs",3338,3465,3425,3518,3524,3701,3936,4126,4378,5409
 "39000","Ohio",3,SAOEMP,9,"...","   Nondurable goods ","Number of jobs",3052,3041,3052,3128,3241,3287,3247,3292,3496,3758
 "39000","Ohio",3,SAOEMP,10,"...","  Wholesale trade ","Number of jobs",5359,5279,5279,5389,5353,5369,5356,5321,4806,5028
 "39000","Ohio",3,SAOEMP,11,"...","  Retail trade ","Number of jobs",54920,54559,54086,53864,53513,52850,52299,50988,43945,46544
 "39000","Ohio",3,SAOEMP,12,"...","  Transportation and warehousing ","Number of jobs",4369,4113,4220,4090,4111,4079,4177,4575,3390,3872
 "39000","Ohio",3,SAOEMP,13,"...","  Information ","Number of jobs",272,273,268,266,261,257,253,242,241,444
 "39000","Ohio",3,SAOEMP,14,"...","  Finance, insurance, real estate, rental, and leasing ","Number of jobs",1779,1786,1624,1648,1651,1680,1785,1984,1688,1688
 "39000","Ohio",3,SAOEMP,15,"...","   Finance and insurance ","Number of jobs",1067,1016,976,972,971,977,968,1066,1021,985
 "39000","Ohio",3,SAOEMP,16,"...","   Real estate and rental and leasing ","Number of jobs",712,770,649,677,680,702,817,919,666,702
 "39000","Ohio",3,SAOEMP,17,"...","  Professional and business services ","Number of jobs",1384,1387,1415,1486,1570,1482,1470,1350,1008,974
 "39000","Ohio",3,SAOEMP,18,"...","  Educational services, health care, and social assistance ","Number of jobs",2177,2334,2468,2611,2829,3026,3091,3139,2570,2876
 "39000","Ohio",3,SAOEMP,19,"...","   Educational services ","Number of jobs",2021,2179,2310,2450,2661,2852,2915,2956,2394,2678
 "39000","Ohio",3,SAOEMP,20,"...","   Health care and social assistance ","Number of jobs",156,154,158,161,168,174,176,183,177,197
 "39000","Ohio",3,SAOEMP,21,"...","  Arts, entertainment, recreation, accommodation, and food services ","Number of jobs",53255,51173,53310,53819,55770,54420,57206,58524,39166,48356
 "39000","Ohio",3,SAOEMP,22,"...","   Arts, entertainment, and recreation ","Number of jobs",27505,28641,30194,30286,31014,31511,32379,33516,22516,25403
 "39000","Ohio",3,SAOEMP,23,"...","   Accommodation and food services ","Number of jobs",25750,22532,23116,23533,24757,22908,24827,25008,16650,22953
 "39000","Ohio",3,SAOEMP,24,"...","  Other services, except government ","Number of jobs",2146,2141,2211,2222,2230,2128,2182,2203,2005,1996
 "39000","Ohio",3,SAOEMP,25,"..."," Government ","Number of jobs",10324,10688,10823,10958,10741,10681,10672,11517,11863,12030
 "39000","Ohio",3,SAOEMP,26,"...","  Federal ","Number of jobs",389,326,300,182,186,184,187,126,118,117
 "39000","Ohio",3,SAOEMP,27,"...","  State and local ","Number of jobs",9935,10362,10524,10776,10555,10498,10485,11391,11745,11913
"Note: See the included footnote file."
"SAOEMP: Outdoor recreation satellite account employment 1/"
"Last updated: November 9, 2022-- new statistics for 2021; revised statistics for 2017-2020."
"U.S. Bureau of Economic Analysis"
