GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "49000","Utah",7,SAOEMP,1,"...","All industries ","Number of jobs",64012,63870,64973,65302,68049,70975,72735,74123,58085,66736
 "49000","Utah",7,SAOEMP,2,"..."," Private industries ","Number of jobs",57519,57573,58459,59411,61752,64447,66030,67495,51412,59959
 "49000","Utah",7,SAOEMP,3,"...","  Agriculture, forestry, fishing, and hunting ","Number of jobs",449,455,482,487,630,705,742,754,618,735
 "49000","Utah",7,SAOEMP,4,"...","  Mining ","Number of jobs",15,12,10,7,6,10,12,11,9,13
 "49000","Utah",7,SAOEMP,5,"...","  Utilities ","Number of jobs",0,0,0,0,0,0,0,0,0,0
 "49000","Utah",7,SAOEMP,6,"...","  Construction ","Number of jobs",1075,806,816,812,799,868,963,1069,1114,1130
 "49000","Utah",7,SAOEMP,7,"...","  Manufacturing ","Number of jobs",3971,3973,3760,3848,3976,3787,3782,3720,3833,4646
 "49000","Utah",7,SAOEMP,8,"...","   Durable goods ","Number of jobs",3063,3092,2891,2977,3086,2904,2894,2806,2831,3530
 "49000","Utah",7,SAOEMP,9,"...","   Nondurable goods ","Number of jobs",908,881,870,871,891,883,888,914,1002,1115
 "49000","Utah",7,SAOEMP,10,"...","  Wholesale trade ","Number of jobs",3345,3318,3268,3349,3445,3448,3431,3429,3135,3460
 "49000","Utah",7,SAOEMP,11,"...","  Retail trade ","Number of jobs",16209,16665,16814,17152,17301,17733,17931,18032,16735,17630
 "49000","Utah",7,SAOEMP,12,"...","  Transportation and warehousing ","Number of jobs",2293,2254,2468,2493,2444,2851,2861,2934,1826,2466
 "49000","Utah",7,SAOEMP,13,"...","  Information ","Number of jobs",57,56,56,61,61,61,63,61,72,210
 "49000","Utah",7,SAOEMP,14,"...","  Finance, insurance, real estate, rental, and leasing ","Number of jobs",773,803,762,798,853,857,936,1012,936,1045
 "49000","Utah",7,SAOEMP,15,"...","   Finance and insurance ","Number of jobs",250,236,217,208,205,207,211,240,246,253
 "49000","Utah",7,SAOEMP,16,"...","   Real estate and rental and leasing ","Number of jobs",523,567,544,590,648,649,725,772,690,791
 "49000","Utah",7,SAOEMP,17,"...","  Professional and business services ","Number of jobs",1570,1575,1586,1688,1832,1800,1764,1628,1003,891
 "49000","Utah",7,SAOEMP,18,"...","  Educational services, health care, and social assistance ","Number of jobs",1393,1502,1603,1770,2014,2193,2359,2478,2045,2385
 "49000","Utah",7,SAOEMP,19,"...","   Educational services ","Number of jobs",1353,1461,1561,1727,1970,2151,2316,2432,2006,2337
 "49000","Utah",7,SAOEMP,20,"...","   Health care and social assistance ","Number of jobs",40,41,42,43,45,42,43,45,40,48
 "49000","Utah",7,SAOEMP,21,"...","  Arts, entertainment, recreation, accommodation, and food services ","Number of jobs",25799,25584,26248,26353,27784,29524,30557,31723,19475,24718
 "49000","Utah",7,SAOEMP,22,"...","   Arts, entertainment, and recreation ","Number of jobs",12665,12547,13075,13184,14141,14575,15467,16231,11150,12466
 "49000","Utah",7,SAOEMP,23,"...","   Accommodation and food services ","Number of jobs",13134,13038,13172,13169,13642,14948,15090,15492,8325,12252
 "49000","Utah",7,SAOEMP,24,"...","  Other services, except government ","Number of jobs",570,570,587,593,605,609,630,645,609,631
 "49000","Utah",7,SAOEMP,25,"..."," Government ","Number of jobs",6494,6297,6514,5891,6298,6528,6705,6628,6673,6777
 "49000","Utah",7,SAOEMP,26,"...","  Federal ","Number of jobs",2212,1817,1810,926,1000,1070,1176,868,786,775
 "49000","Utah",7,SAOEMP,27,"...","  State and local ","Number of jobs",4282,4480,4705,4965,5298,5458,5530,5761,5886,6002
"Note: See the included footnote file."
"SAOEMP: Outdoor recreation satellite account employment 1/"
"Last updated: November 9, 2022-- new statistics for 2021; revised statistics for 2017-2020."
"U.S. Bureau of Economic Analysis"
