GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "53000","Washington",8,SAOEMP,1,"...","All industries ","Number of jobs",123029,119688,124364,126888,131450,133692,135938,135429,105092,114218
 "53000","Washington",8,SAOEMP,2,"..."," Private industries ","Number of jobs",115294,111988,116616,119385,123465,125454,128030,127998,98460,107806
 "53000","Washington",8,SAOEMP,3,"...","  Agriculture, forestry, fishing, and hunting ","Number of jobs",2959,2715,2849,2897,3178,3347,3420,3456,3185,3515
 "53000","Washington",8,SAOEMP,4,"...","  Mining ","Number of jobs",1,1,1,1,1,1,1,1,1,1
 "53000","Washington",8,SAOEMP,5,"...","  Utilities ","Number of jobs",0,0,0,0,0,0,0,0,0,0
 "53000","Washington",8,SAOEMP,6,"...","  Construction ","Number of jobs",2352,2564,2781,3054,3238,3530,4256,4766,4749,5046
 "53000","Washington",8,SAOEMP,7,"...","  Manufacturing ","Number of jobs",7010,6872,6679,6705,7022,7098,7425,6970,5893,6727
 "53000","Washington",8,SAOEMP,8,"...","   Durable goods ","Number of jobs",4996,4919,4758,4766,5012,5101,5426,4934,3752,4404
 "53000","Washington",8,SAOEMP,9,"...","   Nondurable goods ","Number of jobs",2014,1953,1921,1938,2010,1997,1999,2036,2141,2323
 "53000","Washington",8,SAOEMP,10,"...","  Wholesale trade ","Number of jobs",6183,6043,6101,6297,6354,6440,6434,6471,5777,6079
 "53000","Washington",8,SAOEMP,11,"...","  Retail trade ","Number of jobs",41491,41562,42305,43132,43116,42903,42192,41418,37343,37336
 "53000","Washington",8,SAOEMP,12,"...","  Transportation and warehousing ","Number of jobs",6972,7000,7582,8014,8328,8435,8909,9104,5123,6199
 "53000","Washington",8,SAOEMP,13,"...","  Information ","Number of jobs",162,155,156,165,159,161,163,167,183,356
 "53000","Washington",8,SAOEMP,14,"...","  Finance, insurance, real estate, rental, and leasing ","Number of jobs",1055,1099,957,956,1027,1037,1065,1145,979,1016
 "53000","Washington",8,SAOEMP,15,"...","   Finance and insurance ","Number of jobs",419,395,379,378,382,368,336,346,324,306
 "53000","Washington",8,SAOEMP,16,"...","   Real estate and rental and leasing ","Number of jobs",636,704,579,578,646,670,729,799,654,710
 "53000","Washington",8,SAOEMP,17,"...","  Professional and business services ","Number of jobs",1811,1855,1908,2070,2302,2333,2439,2381,1597,1482
 "53000","Washington",8,SAOEMP,18,"...","  Educational services, health care, and social assistance ","Number of jobs",2235,2356,2500,2630,3046,3343,3468,3526,2804,3118
 "53000","Washington",8,SAOEMP,19,"...","   Educational services ","Number of jobs",2133,2257,2396,2523,2935,3228,3352,3405,2693,2992
 "53000","Washington",8,SAOEMP,20,"...","   Health care and social assistance ","Number of jobs",102,99,104,107,112,115,116,121,111,126
 "53000","Washington",8,SAOEMP,21,"...","  Arts, entertainment, recreation, accommodation, and food services ","Number of jobs",41450,38167,41147,41815,44053,45249,46657,46996,29375,35507
 "53000","Washington",8,SAOEMP,22,"...","   Arts, entertainment, and recreation ","Number of jobs",20134,20058,21212,20678,22383,23001,23638,24224,16814,18383
 "53000","Washington",8,SAOEMP,23,"...","   Accommodation and food services ","Number of jobs",21315,18109,19935,21137,21670,22248,23018,22772,12561,17124
 "53000","Washington",8,SAOEMP,24,"...","  Other services, except government ","Number of jobs",1613,1598,1651,1649,1641,1577,1601,1598,1451,1423
 "53000","Washington",8,SAOEMP,25,"..."," Government ","Number of jobs",7735,7700,7747,7503,7984,8238,7908,7431,6632,6413
 "53000","Washington",8,SAOEMP,26,"...","  Federal ","Number of jobs",1359,1146,1096,727,747,751,761,553,487,481
 "53000","Washington",8,SAOEMP,27,"...","  State and local ","Number of jobs",6376,6554,6651,6776,7237,7487,7148,6877,6145,5931
"Note: See the included footnote file."
"SAOEMP: Outdoor recreation satellite account employment 1/"
"Last updated: November 9, 2022-- new statistics for 2021; revised statistics for 2017-2020."
"U.S. Bureau of Economic Analysis"
