GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "05000","Arkansas",5,SAOVA,1,"...","All industries ","Thousands of dollars",2599730,2707382,2726183,2819897,2919824,2943189,3047937,3127038,2877270,3539761
 "05000","Arkansas",5,SAOVA,2,"..."," Private industries ","Thousands of dollars",2437729,2535344,2546027,2632531,2727008,2747233,2846513,2929767,2677082,3322435
 "05000","Arkansas",5,SAOVA,3,"...","  Agriculture, forestry, fishing, and hunting ","Thousands of dollars",76586,84467,82994,82345,94817,107382,104953,106021,96160,115221
 "05000","Arkansas",5,SAOVA,4,"...","  Mining ","Thousands of dollars",1558,1520,1553,1029,847,971,1026,842,614,1042
 "05000","Arkansas",5,SAOVA,5,"...","  Utilities ","Thousands of dollars",4,4,4,4,3,4,3,3,3,3
 "05000","Arkansas",5,SAOVA,6,"...","  Construction ","Thousands of dollars",27736,26031,28995,32831,36590,44066,54690,67412,71344,67636
 "05000","Arkansas",5,SAOVA,7,"...","  Manufacturing ","Thousands of dollars",418952,444622,458541,469810,468579,459886,474458,469151,495986,574306
 "05000","Arkansas",5,SAOVA,8,"...","   Durable goods ","Thousands of dollars",189181,203787,214261,227360,244190,232397,248909,244078,261395,293496
 "05000","Arkansas",5,SAOVA,9,"...","   Nondurable goods ","Thousands of dollars",229771,240835,244280,242449,224389,227489,225549,225073,234591,280810
 "05000","Arkansas",5,SAOVA,10,"...","  Wholesale trade ","Thousands of dollars",306122,298041,307157,319745,307229,303242,305127,310855,287828,331412
 "05000","Arkansas",5,SAOVA,11,"...","  Retail trade ","Thousands of dollars",737423,766907,763764,788765,803121,833315,835702,848467,879625,1040360
 "05000","Arkansas",5,SAOVA,12,"...","  Transportation and warehousing ","Thousands of dollars",182298,175455,180022,172972,190809,163835,188408,214549,171848,260676
 "05000","Arkansas",5,SAOVA,13,"...","  Information ","Thousands of dollars",13492,13766,13709,13730,13473,14033,14062,13959,14388,18179
 "05000","Arkansas",5,SAOVA,14,"...","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",145217,186324,146395,154038,177425,175189,186433,188933,187544,195701
 "05000","Arkansas",5,SAOVA,15,"...","   Finance and insurance ","Thousands of dollars",24222,21926,26015,28488,28946,26760,27974,30292,29950,29841
 "05000","Arkansas",5,SAOVA,16,"...","   Real estate and rental and leasing ","Thousands of dollars",120995,164398,120381,125550,148478,148429,158459,158642,157594,165860
 "05000","Arkansas",5,SAOVA,17,"...","  Professional and business services ","Thousands of dollars",21559,21860,24655,27332,29345,28981,29935,26976,20155,23533
 "05000","Arkansas",5,SAOVA,18,"...","  Educational services, health care, and social assistance ","Thousands of dollars",16577,16261,17235,17881,19301,19728,21053,21665,15817,19041
 "05000","Arkansas",5,SAOVA,19,"...","   Educational services ","Thousands of dollars",12944,12679,13549,14073,15178,15335,16494,16868,11308,13580
 "05000","Arkansas",5,SAOVA,20,"...","   Health care and social assistance ","Thousands of dollars",3633,3582,3687,3808,4123,4393,4560,4798,4509,5461
 "05000","Arkansas",5,SAOVA,21,"...","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of dollars",456484,466433,486674,517611,550289,558886,594188,623365,394890,631321
 "05000","Arkansas",5,SAOVA,22,"...","   Arts, entertainment, and recreation ","Thousands of dollars",146511,156750,167124,173797,184733,199519,205697,203033,125807,157264
 "05000","Arkansas",5,SAOVA,23,"...","   Accommodation and food services ","Thousands of dollars",309973,309683,319550,343814,365556,359366,388491,420332,269082,474057
 "05000","Arkansas",5,SAOVA,24,"...","  Other services, except government ","Thousands of dollars",33720,33654,34330,34438,35179,37714,36475,37569,40879,44004
 "05000","Arkansas",5,SAOVA,25,"..."," Government ","Thousands of dollars",162001,172038,180156,187366,192817,195956,201424,197271,200188,217327
 "05000","Arkansas",5,SAOVA,26,"...","  Federal ","Thousands of dollars",44379,44441,41831,40226,42625,44963,47291,34960,29187,30755
 "05000","Arkansas",5,SAOVA,27,"...","  State and local ","Thousands of dollars",117623,127597,138326,147140,150192,150993,154134,162311,171000,186571
"Note: See the included footnote file."
"SAOVA: Outdoor recreation satellite account value added 1/"
"Last updated: November 9, 2022-- new statistics for 2021; revised statistics for 2017-2020."
"U.S. Bureau of Economic Analysis"
