GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "09000","Connecticut",1,SAOVA,1,"...","All industries ","Thousands of dollars",3266965,3398427,3378492,3435414,3484110,3509312,3562936,3686421,3279524,3920677
 "09000","Connecticut",1,SAOVA,2,"..."," Private industries ","Thousands of dollars",3108143,3230016,3199043,3248974,3301990,3333378,3390980,3506859,3095182,3728339
 "09000","Connecticut",1,SAOVA,3,"...","  Agriculture, forestry, fishing, and hunting ","Thousands of dollars",33955,39434,38323,40082,43010,47963,45655,43049,39268,43982
 "09000","Connecticut",1,SAOVA,4,"...","  Mining ","Thousands of dollars",64,63,66,46,37,46,49,41,31,42
 "09000","Connecticut",1,SAOVA,5,"...","  Utilities ","Thousands of dollars",19,19,17,21,15,18,11,11,16,13
 "09000","Connecticut",1,SAOVA,6,"...","  Construction ","Thousands of dollars",31020,29918,33633,36157,40136,42927,45766,48470,46476,44099
 "09000","Connecticut",1,SAOVA,7,"...","  Manufacturing ","Thousands of dollars",383077,432312,401643,405912,425732,406120,419111,422270,468408,560943
 "09000","Connecticut",1,SAOVA,8,"...","   Durable goods ","Thousands of dollars",253379,295214,261053,264584,293528,274030,282736,270660,270209,314658
 "09000","Connecticut",1,SAOVA,9,"...","   Nondurable goods ","Thousands of dollars",129698,137098,140590,141328,132204,132089,136375,151609,198199,246285
 "09000","Connecticut",1,SAOVA,10,"...","  Wholesale trade ","Thousands of dollars",336264,325759,332045,338723,315598,313380,319519,319852,374453,319227
 "09000","Connecticut",1,SAOVA,11,"...","  Retail trade ","Thousands of dollars",1017752,1049428,1029855,1035581,1025274,1065371,1042329,1046533,1033415,1188858
 "09000","Connecticut",1,SAOVA,12,"...","  Transportation and warehousing ","Thousands of dollars",191558,194433,210571,215003,223292,225647,224712,253142,130738,194892
 "09000","Connecticut",1,SAOVA,13,"...","  Information ","Thousands of dollars",15369,16027,15880,16699,17314,17280,17171,17387,19063,25067
 "09000","Connecticut",1,SAOVA,14,"...","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",162838,169587,163537,171477,179585,176382,182164,200934,189046,201126
 "09000","Connecticut",1,SAOVA,15,"...","   Finance and insurance ","Thousands of dollars",71923,66068,76205,80889,82358,74312,75223,79483,76159,77138
 "09000","Connecticut",1,SAOVA,16,"...","   Real estate and rental and leasing ","Thousands of dollars",90915,103519,87331,90589,97227,102070,106941,121450,112887,123987
 "09000","Connecticut",1,SAOVA,17,"...","  Professional and business services ","Thousands of dollars",54727,53199,56154,59712,62845,69940,75102,71127,20626,40821
 "09000","Connecticut",1,SAOVA,18,"...","  Educational services, health care, and social assistance ","Thousands of dollars",41776,42893,45123,45561,49807,52153,55203,55992,43347,47296
 "09000","Connecticut",1,SAOVA,19,"...","   Educational services ","Thousands of dollars",35393,36472,38668,39044,42926,45001,47936,48386,35837,38546
 "09000","Connecticut",1,SAOVA,20,"...","   Health care and social assistance ","Thousands of dollars",6383,6421,6455,6517,6881,7152,7267,7606,7510,8751
 "09000","Connecticut",1,SAOVA,21,"...","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of dollars",782584,819566,813533,823988,857661,853684,902683,963471,664821,990708
 "09000","Connecticut",1,SAOVA,22,"...","   Arts, entertainment, and recreation ","Thousands of dollars",381263,398392,425076,430940,444897,449870,470549,488931,317946,381039
 "09000","Connecticut",1,SAOVA,23,"...","   Accommodation and food services ","Thousands of dollars",401321,421174,388456,393048,412763,403814,432134,474540,346876,609669
 "09000","Connecticut",1,SAOVA,24,"...","  Other services, except government ","Thousands of dollars",57140,57378,58664,60013,61682,62467,61505,64581,65474,71266
 "09000","Connecticut",1,SAOVA,25,"..."," Government ","Thousands of dollars",158821,168411,179448,186440,182120,175934,171956,179562,184341,192338
 "09000","Connecticut",1,SAOVA,26,"...","  Federal ","Thousands of dollars",6762,6194,5871,5742,5906,6508,6449,6026,5065,5349
 "09000","Connecticut",1,SAOVA,27,"...","  State and local ","Thousands of dollars",152060,162217,173577,180698,176214,169426,165507,173537,179277,186989
"Note: See the included footnote file."
"SAOVA: Outdoor recreation satellite account value added 1/"
"Last updated: November 9, 2022-- new statistics for 2021; revised statistics for 2017-2020."
"U.S. Bureau of Economic Analysis"
