GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "16000","Idaho",7,SAOVA,1,"...","All industries ","Thousands of dollars",1738678,1821697,1887731,1989545,2145332,2263947,2370519,2475814,2218815,2776566
 "16000","Idaho",7,SAOVA,2,"..."," Private industries ","Thousands of dollars",1627295,1705064,1763823,1861628,2012328,2126056,2228025,2332112,2073855,2620695
 "16000","Idaho",7,SAOVA,3,"...","  Agriculture, forestry, fishing, and hunting ","Thousands of dollars",82094,95045,95175,106369,139053,163065,149086,169895,150482,157740
 "16000","Idaho",7,SAOVA,4,"...","  Mining ","Thousands of dollars",493,411,336,258,233,335,325,248,246,350
 "16000","Idaho",7,SAOVA,5,"...","  Utilities ","Thousands of dollars",3,4,3,3,3,3,3,3,3,3
 "16000","Idaho",7,SAOVA,6,"...","  Construction ","Thousands of dollars",12048,13201,14094,14930,16436,19111,23472,26562,26732,25700
 "16000","Idaho",7,SAOVA,7,"...","  Manufacturing ","Thousands of dollars",189639,207088,213546,228104,249885,261463,265610,250938,320887,397049
 "16000","Idaho",7,SAOVA,8,"...","   Durable goods ","Thousands of dollars",100631,112717,118532,130776,159055,165160,164742,150595,217896,276518
 "16000","Idaho",7,SAOVA,9,"...","   Nondurable goods ","Thousands of dollars",89008,94371,95014,97327,90830,96304,100869,100343,102990,120532
 "16000","Idaho",7,SAOVA,10,"...","  Wholesale trade ","Thousands of dollars",124726,123553,131165,141530,147209,146408,153476,158244,143889,171256
 "16000","Idaho",7,SAOVA,11,"...","  Retail trade ","Thousands of dollars",501851,522996,530719,557777,578878,621541,642569,651208,699329,834320
 "16000","Idaho",7,SAOVA,12,"...","  Transportation and warehousing ","Thousands of dollars",140021,143903,153422,155931,193971,178434,180415,211600,107144,167348
 "16000","Idaho",7,SAOVA,13,"...","  Information ","Thousands of dollars",3009,3161,3178,3331,3511,3584,3748,3857,4067,6173
 "16000","Idaho",7,SAOVA,14,"...","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",124827,156309,138547,148395,149028,151730,168030,183049,184553,192265
 "16000","Idaho",7,SAOVA,15,"...","   Finance and insurance ","Thousands of dollars",21205,19053,22254,24619,25522,24234,25859,27905,27966,28416
 "16000","Idaho",7,SAOVA,16,"...","   Real estate and rental and leasing ","Thousands of dollars",103622,137256,116293,123775,123506,127496,142171,155144,156587,163849
 "16000","Idaho",7,SAOVA,17,"...","  Professional and business services ","Thousands of dollars",30197,29952,31358,33087,34479,36000,38504,36901,20842,29660
 "16000","Idaho",7,SAOVA,18,"...","  Educational services, health care, and social assistance ","Thousands of dollars",9920,9697,10416,10768,11922,12570,13584,14305,10773,13750
 "16000","Idaho",7,SAOVA,19,"...","   Educational services ","Thousands of dollars",7851,7693,8304,8607,9622,10156,11017,11574,8299,10517
 "16000","Idaho",7,SAOVA,20,"...","   Health care and social assistance ","Thousands of dollars",2069,2004,2112,2161,2299,2414,2567,2731,2474,3233
 "16000","Idaho",7,SAOVA,21,"...","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of dollars",389594,380774,421654,439319,463257,504770,560809,593977,370290,587783
 "16000","Idaho",7,SAOVA,22,"...","   Arts, entertainment, and recreation ","Thousands of dollars",146460,152955,165958,172307,182523,187275,199759,212401,139956,171050
 "16000","Idaho",7,SAOVA,23,"...","   Accommodation and food services ","Thousands of dollars",243134,227819,255696,267012,280734,317495,361050,381575,230333,416733
 "16000","Idaho",7,SAOVA,24,"...","  Other services, except government ","Thousands of dollars",18875,18974,20210,21825,24463,27042,28394,31326,34619,37298
 "16000","Idaho",7,SAOVA,25,"..."," Government ","Thousands of dollars",111383,116632,123908,127917,133005,137891,142494,143702,144960,155871
 "16000","Idaho",7,SAOVA,26,"...","  Federal ","Thousands of dollars",29048,28411,29553,28703,29752,30180,29734,24414,19204,20635
 "16000","Idaho",7,SAOVA,27,"...","  State and local ","Thousands of dollars",82335,88221,94355,99214,103253,107712,112760,119287,125756,135236
"Note: See the included footnote file."
"SAOVA: Outdoor recreation satellite account value added 1/"
"Last updated: November 9, 2022-- new statistics for 2021; revised statistics for 2017-2020."
"U.S. Bureau of Economic Analysis"
