GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "20000","Kansas",4,SAOVA,1,"...","All industries ","Thousands of dollars",2948741,2915065,2973363,3051477,3037454,3219373,3429094,3341213,2861469,3563712
 "20000","Kansas",4,SAOVA,2,"..."," Private industries ","Thousands of dollars",2774113,2730446,2776428,2843599,2824833,3001738,3207127,3108064,2619493,3303315
 "20000","Kansas",4,SAOVA,3,"...","  Agriculture, forestry, fishing, and hunting ","Thousands of dollars",102316,110130,108067,105020,126593,139942,136093,128948,122125,158745
 "20000","Kansas",4,SAOVA,4,"...","  Mining ","Thousands of dollars",1241,1240,1286,856,691,824,925,814,620,963
 "20000","Kansas",4,SAOVA,5,"...","  Utilities ","Thousands of dollars",5,5,4,5,4,5,3,3,4,3
 "20000","Kansas",4,SAOVA,6,"...","  Construction ","Thousands of dollars",31859,30023,33589,35154,37549,41844,46641,50481,49657,46527
 "20000","Kansas",4,SAOVA,7,"...","  Manufacturing ","Thousands of dollars",806203,744153,770018,769326,705498,836632,1007001,889347,646413,849653
 "20000","Kansas",4,SAOVA,8,"...","   Durable goods ","Thousands of dollars",229124,218709,223106,216664,230460,244446,271696,212167,174864,208201
 "20000","Kansas",4,SAOVA,9,"...","   Nondurable goods ","Thousands of dollars",577080,525445,546912,552662,475039,592185,735305,677179,471549,641451
 "20000","Kansas",4,SAOVA,10,"...","  Wholesale trade ","Thousands of dollars",399739,393656,406508,409319,389802,396148,410895,411853,376777,457851
 "20000","Kansas",4,SAOVA,11,"...","  Retail trade ","Thousands of dollars",779975,799507,785281,800935,799865,837916,825142,822170,811876,942735
 "20000","Kansas",4,SAOVA,12,"...","  Transportation and warehousing ","Thousands of dollars",104359,103380,106959,112079,120940,107991,118319,127682,95215,127943
 "20000","Kansas",4,SAOVA,13,"...","  Information ","Thousands of dollars",15405,16988,17269,18224,18346,17154,16488,16239,16730,21146
 "20000","Kansas",4,SAOVA,14,"...","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",81301,84132,83581,95323,88472,95830,95645,104897,97652,104390
 "20000","Kansas",4,SAOVA,15,"...","   Finance and insurance ","Thousands of dollars",34219,31522,37284,40870,41287,37626,38462,40946,39657,39347
 "20000","Kansas",4,SAOVA,16,"...","   Real estate and rental and leasing ","Thousands of dollars",47081,52611,46297,54453,47186,58204,57183,63951,57995,65043
 "20000","Kansas",4,SAOVA,17,"...","  Professional and business services ","Thousands of dollars",31715,31174,34276,37302,39555,39550,40934,37944,22771,30191
 "20000","Kansas",4,SAOVA,18,"...","  Educational services, health care, and social assistance ","Thousands of dollars",18916,18541,19746,20458,22479,23722,25915,27256,20466,25178
 "20000","Kansas",4,SAOVA,19,"...","   Educational services ","Thousands of dollars",15286,14963,16102,16709,18492,19545,21710,22926,16121,19968
 "20000","Kansas",4,SAOVA,20,"...","   Health care and social assistance ","Thousands of dollars",3630,3577,3644,3749,3987,4177,4205,4330,4346,5210
 "20000","Kansas",4,SAOVA,21,"...","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of dollars",371069,367306,379357,409079,444295,432707,451603,457367,324754,501333
 "20000","Kansas",4,SAOVA,22,"...","   Arts, entertainment, and recreation ","Thousands of dollars",152333,158354,167783,172222,182607,189528,198554,203126,132267,151874
 "20000","Kansas",4,SAOVA,23,"...","   Accommodation and food services ","Thousands of dollars",218736,208951,211574,236857,261688,243178,253049,254241,192487,349459
 "20000","Kansas",4,SAOVA,24,"...","  Other services, except government ","Thousands of dollars",30009,30210,30487,30519,30743,31474,31523,33063,34431,36656
 "20000","Kansas",4,SAOVA,25,"..."," Government ","Thousands of dollars",174627,184619,196935,207878,212621,217636,221966,233149,241977,260397
 "20000","Kansas",4,SAOVA,26,"...","  Federal ","Thousands of dollars",8760,7971,7363,6836,6721,6991,6858,6306,5580,6126
 "20000","Kansas",4,SAOVA,27,"...","  State and local ","Thousands of dollars",165867,176648,189572,201042,205900,210645,215108,226843,236397,254271
"Note: See the included footnote file."
"SAOVA: Outdoor recreation satellite account value added 1/"
"Last updated: November 9, 2022-- new statistics for 2021; revised statistics for 2017-2020."
"U.S. Bureau of Economic Analysis"
