GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "38000","North Dakota",4,SAOVA,1,"...","All industries ","Thousands of dollars",1165706,1230972,1264515,1320606,1258899,1240199,1282979,1283622,1153493,1378702
 "38000","North Dakota",4,SAOVA,2,"..."," Private industries ","Thousands of dollars",1069156,1122411,1145209,1189856,1118191,1091189,1129216,1128308,991431,1206232
 "38000","North Dakota",4,SAOVA,3,"...","  Agriculture, forestry, fishing, and hunting ","Thousands of dollars",50495,53405,52641,49466,51331,57352,57976,53122,49532,59636
 "38000","North Dakota",4,SAOVA,4,"...","  Mining ","Thousands of dollars",5849,5789,6078,4432,3868,6096,8140,7598,5540,8724
 "38000","North Dakota",4,SAOVA,5,"...","  Utilities ","Thousands of dollars",2,2,2,3,2,3,2,2,3,2
 "38000","North Dakota",4,SAOVA,6,"...","  Construction ","Thousands of dollars",31642,31640,36497,38343,36586,35059,36519,40998,41188,38990
 "38000","North Dakota",4,SAOVA,7,"...","  Manufacturing ","Thousands of dollars",82249,82344,82144,75264,58918,68494,88264,81986,62051,92181
 "38000","North Dakota",4,SAOVA,8,"...","   Durable goods ","Thousands of dollars",8988,8784,8586,7971,7872,7584,8726,9991,11861,14743
 "38000","North Dakota",4,SAOVA,9,"...","   Nondurable goods ","Thousands of dollars",73262,73559,73559,67293,51047,60910,79537,71995,50190,77438
 "38000","North Dakota",4,SAOVA,10,"...","  Wholesale trade ","Thousands of dollars",175777,186366,200521,202644,185446,176497,183539,186816,188649,228512
 "38000","North Dakota",4,SAOVA,11,"...","  Retail trade ","Thousands of dollars",299526,318665,317914,337303,331117,328681,319997,320882,334504,381819
 "38000","North Dakota",4,SAOVA,12,"...","  Transportation and warehousing ","Thousands of dollars",112131,115888,122760,119070,111368,95969,103803,112886,79290,97665
 "38000","North Dakota",4,SAOVA,13,"...","  Information ","Thousands of dollars",2352,2385,2404,2604,2675,2700,2677,2703,2810,3715
 "38000","North Dakota",4,SAOVA,14,"...","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",50359,55765,52520,58826,58335,56180,62383,56459,55363,57682
 "38000","North Dakota",4,SAOVA,15,"...","   Finance and insurance ","Thousands of dollars",14293,13230,15646,17075,16634,14929,15112,16126,15646,15767
 "38000","North Dakota",4,SAOVA,16,"...","   Real estate and rental and leasing ","Thousands of dollars",36066,42536,36875,41751,41701,41250,47271,40332,39718,41916
 "38000","North Dakota",4,SAOVA,17,"...","  Professional and business services ","Thousands of dollars",18888,17741,18085,18100,17876,17575,17639,15946,8048,11519
 "38000","North Dakota",4,SAOVA,18,"...","  Educational services, health care, and social assistance ","Thousands of dollars",4206,4179,4379,4734,5121,5544,5963,6329,4668,5633
 "38000","North Dakota",4,SAOVA,19,"...","   Educational services ","Thousands of dollars",2903,2863,3037,3265,3576,4059,4453,4716,3201,3916
 "38000","North Dakota",4,SAOVA,20,"...","   Health care and social assistance ","Thousands of dollars",1302,1316,1342,1469,1545,1486,1511,1613,1467,1717
 "38000","North Dakota",4,SAOVA,21,"...","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of dollars",225308,237649,238060,266990,243117,228674,230320,230098,146956,206495
 "38000","North Dakota",4,SAOVA,22,"...","   Arts, entertainment, and recreation ","Thousands of dollars",62463,63182,67437,67398,68443,71916,73441,75948,53514,59852
 "38000","North Dakota",4,SAOVA,23,"...","   Accommodation and food services ","Thousands of dollars",162844,174467,170623,199591,174674,156758,156879,154150,93442,146643
 "38000","North Dakota",4,SAOVA,24,"...","  Other services, except government ","Thousands of dollars",10372,10594,11203,12077,12430,12366,11995,12484,12831,13658
 "38000","North Dakota",4,SAOVA,25,"..."," Government ","Thousands of dollars",96550,108561,119306,130750,140708,149010,153763,155314,162062,172469
 "38000","North Dakota",4,SAOVA,26,"...","  Federal ","Thousands of dollars",7473,7780,7174,6861,7121,7499,8317,6493,6170,6670
 "38000","North Dakota",4,SAOVA,27,"...","  State and local ","Thousands of dollars",89077,100781,112132,123889,133586,141511,145446,148822,155892,165800
"Note: See the included footnote file."
"SAOVA: Outdoor recreation satellite account value added 1/"
"Last updated: November 9, 2022-- new statistics for 2021; revised statistics for 2017-2020."
"U.S. Bureau of Economic Analysis"
