GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "31000","Nebraska",4,SAOVA,1,"...","All industries ","Thousands of dollars",2026657,2084107,2078241,2128256,2193350,2189534,2310650,2355772,2210171,2637821
 "31000","Nebraska",4,SAOVA,2,"..."," Private industries ","Thousands of dollars",1922967,1972606,1957294,1999890,2063232,2059901,2180750,2222170,2070514,2485297
 "31000","Nebraska",4,SAOVA,3,"...","  Agriculture, forestry, fishing, and hunting ","Thousands of dollars",123552,126531,126116,116707,123698,136697,141998,129158,130033,176164
 "31000","Nebraska",4,SAOVA,4,"...","  Mining ","Thousands of dollars",53,51,56,39,32,40,45,43,32,47
 "31000","Nebraska",4,SAOVA,5,"...","  Utilities ","Thousands of dollars",12,14,11,14,10,13,9,9,12,9
 "31000","Nebraska",4,SAOVA,6,"...","  Construction ","Thousands of dollars",50468,47428,49496,48624,48901,50837,56961,64274,68248,63927
 "31000","Nebraska",4,SAOVA,7,"...","  Manufacturing ","Thousands of dollars",312694,341156,318757,320039,363759,335357,382663,395496,501914,521281
 "31000","Nebraska",4,SAOVA,8,"...","   Durable goods ","Thousands of dollars",191294,215704,188068,179128,207115,167764,201131,199883,280785,283557
 "31000","Nebraska",4,SAOVA,9,"...","   Nondurable goods ","Thousands of dollars",121400,125452,130690,140912,156645,167593,181533,195613,221130,237723
 "31000","Nebraska",4,SAOVA,10,"...","  Wholesale trade ","Thousands of dollars",223880,221490,234159,237253,228342,227674,231951,234474,231564,271320
 "31000","Nebraska",4,SAOVA,11,"...","  Retail trade ","Thousands of dollars",514100,534861,520706,535376,529331,556262,557414,562593,548137,653698
 "31000","Nebraska",4,SAOVA,12,"...","  Transportation and warehousing ","Thousands of dollars",189039,184883,190515,190920,205399,200397,221767,231673,164180,215975
 "31000","Nebraska",4,SAOVA,13,"...","  Information ","Thousands of dollars",4716,4914,5086,5451,5987,6417,6879,6929,7268,9077
 "31000","Nebraska",4,SAOVA,14,"...","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",60003,75257,75133,71907,79006,80327,81436,91295,88016,92669
 "31000","Nebraska",4,SAOVA,15,"...","   Finance and insurance ","Thousands of dollars",25604,23546,27613,30191,30607,28548,29628,32254,31496,32086
 "31000","Nebraska",4,SAOVA,16,"...","   Real estate and rental and leasing ","Thousands of dollars",34399,51711,47520,41716,48400,51780,51808,59041,56520,60583
 "31000","Nebraska",4,SAOVA,17,"...","  Professional and business services ","Thousands of dollars",69335,61633,60156,55422,50697,46325,43759,38274,20238,28612
 "31000","Nebraska",4,SAOVA,18,"...","  Educational services, health care, and social assistance ","Thousands of dollars",13603,13707,14529,15275,16997,18108,19861,20519,15504,18407
 "31000","Nebraska",4,SAOVA,19,"...","   Educational services ","Thousands of dollars",10684,10829,11650,12265,13804,14669,16303,16859,11999,14323
 "31000","Nebraska",4,SAOVA,20,"...","   Health care and social assistance ","Thousands of dollars",2918,2877,2880,3010,3193,3440,3558,3660,3506,4084
 "31000","Nebraska",4,SAOVA,21,"...","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of dollars",334845,334002,335163,374403,381528,372243,407600,418117,264955,401450
 "31000","Nebraska",4,SAOVA,22,"...","   Arts, entertainment, and recreation ","Thousands of dollars",125797,133093,143552,150199,160157,161822,167623,171981,113931,139632
 "31000","Nebraska",4,SAOVA,23,"...","   Accommodation and food services ","Thousands of dollars",209048,200909,191612,224205,221371,210420,239977,246136,151024,261818
 "31000","Nebraska",4,SAOVA,24,"...","  Other services, except government ","Thousands of dollars",26667,26680,27410,28460,29543,29203,28409,29315,30413,32663
 "31000","Nebraska",4,SAOVA,25,"..."," Government ","Thousands of dollars",103690,111500,120947,128365,130119,129633,129900,133603,139657,152524
 "31000","Nebraska",4,SAOVA,26,"...","  Federal ","Thousands of dollars",5310,5221,4895,4673,4815,5138,5414,4516,4101,4505
 "31000","Nebraska",4,SAOVA,27,"...","  State and local ","Thousands of dollars",98380,106280,116051,123693,125303,124496,124486,129087,135556,148019
"Note: See the included footnote file."
"SAOVA: Outdoor recreation satellite account value added 1/"
"Last updated: November 9, 2022-- new statistics for 2021; revised statistics for 2017-2020."
"U.S. Bureau of Economic Analysis"
