GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "36000","New York",2,SAOVA,1,"...","All industries ","Thousands of dollars",21312276,22133657,22872216,24047175,24910317,24978023,25688180,26754271,20624383,25454115
 "36000","New York",2,SAOVA,2,"..."," Private industries ","Thousands of dollars",20046871,20731650,21331108,22356566,23180794,23226376,23920113,25013557,18857333,23646590
 "36000","New York",2,SAOVA,3,"...","  Agriculture, forestry, fishing, and hunting ","Thousands of dollars",203352,215068,200997,195989,230297,262641,243864,259470,223185,231462
 "36000","New York",2,SAOVA,4,"...","  Mining ","Thousands of dollars",610,609,678,558,566,795,831,677,684,734
 "36000","New York",2,SAOVA,5,"...","  Utilities ","Thousands of dollars",56,57,51,62,46,50,34,32,45,39
 "36000","New York",2,SAOVA,6,"...","  Construction ","Thousands of dollars",508533,442713,446779,444603,417909,418172,405121,406405,378420,356151
 "36000","New York",2,SAOVA,7,"...","  Manufacturing ","Thousands of dollars",1620868,1646487,1682764,1753463,1635021,1638726,1581348,1632605,1462960,1570117
 "36000","New York",2,SAOVA,8,"...","   Durable goods ","Thousands of dollars",370259,406576,384253,416409,370448,343398,348601,346553,326962,360588
 "36000","New York",2,SAOVA,9,"...","   Nondurable goods ","Thousands of dollars",1250609,1239910,1298511,1337054,1264573,1295328,1232747,1286052,1135998,1209529
 "36000","New York",2,SAOVA,10,"...","  Wholesale trade ","Thousands of dollars",1745555,1685662,1727667,1800498,1720644,1713087,1698474,1718196,1624106,1685764
 "36000","New York",2,SAOVA,11,"...","  Retail trade ","Thousands of dollars",5433089,5697549,5705466,5896051,5850003,6123832,6112449,6412006,6285019,7139900
 "36000","New York",2,SAOVA,12,"...","  Transportation and warehousing ","Thousands of dollars",1980379,2122806,2457687,2646687,2969319,2739740,2876421,3194726,1088584,1677658
 "36000","New York",2,SAOVA,13,"...","  Information ","Thousands of dollars",154994,158478,160681,165744,177895,178862,186234,189762,194520,236335
 "36000","New York",2,SAOVA,14,"...","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",1028929,1323471,1097668,1231774,1283445,1264414,1359848,1468039,1434146,1494772
 "36000","New York",2,SAOVA,15,"...","   Finance and insurance ","Thousands of dollars",257458,234050,274603,298997,308892,286590,296838,315975,305633,305483
 "36000","New York",2,SAOVA,16,"...","   Real estate and rental and leasing ","Thousands of dollars",771471,1089421,823065,932777,974553,977824,1063010,1152063,1128513,1189288
 "36000","New York",2,SAOVA,17,"...","  Professional and business services ","Thousands of dollars",443195,437054,454008,502381,516010,587053,619635,606006,134931,330146
 "36000","New York",2,SAOVA,18,"...","  Educational services, health care, and social assistance ","Thousands of dollars",270112,273401,294136,306897,346948,378383,409640,412759,301628,328596
 "36000","New York",2,SAOVA,19,"...","   Educational services ","Thousands of dollars",237828,241673,261485,273044,310353,340147,369858,370498,261419,280858
 "36000","New York",2,SAOVA,20,"...","   Health care and social assistance ","Thousands of dollars",32284,31728,32650,33853,36595,38236,39782,42261,40209,47739
 "36000","New York",2,SAOVA,21,"...","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of dollars",6319841,6390974,6751546,7052431,7661838,7538019,8053510,8323259,5339670,8162412
 "36000","New York",2,SAOVA,22,"...","   Arts, entertainment, and recreation ","Thousands of dollars",2751508,2882663,3144055,3217995,3479959,3651410,3809437,3865089,2308986,3059458
 "36000","New York",2,SAOVA,23,"...","   Accommodation and food services ","Thousands of dollars",3568333,3508312,3607492,3834436,4181880,3886609,4244073,4458170,3030684,5102954
 "36000","New York",2,SAOVA,24,"...","  Other services, except government ","Thousands of dollars",337356,337322,350979,359427,370851,382602,372705,389616,389436,432503
 "36000","New York",2,SAOVA,25,"..."," Government ","Thousands of dollars",1265406,1402007,1541108,1690609,1729523,1751646,1768067,1740714,1767050,1807525
 "36000","New York",2,SAOVA,26,"...","  Federal ","Thousands of dollars",163760,166368,141363,135908,148667,163598,186842,136681,128011,134342
 "36000","New York",2,SAOVA,27,"...","  State and local ","Thousands of dollars",1101645,1235638,1399746,1554701,1580857,1588049,1581225,1604033,1639039,1673183
"Note: See the included footnote file."
"SAOVA: Outdoor recreation satellite account value added 1/"
"Last updated: November 9, 2022-- new statistics for 2021; revised statistics for 2017-2020."
"U.S. Bureau of Economic Analysis"
