GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "39000","Ohio",3,SAOVA,1,"...","All industries ","Thousands of dollars",10115019,10219181,10499595,10755117,10739375,11127533,11724877,12098217,10364851,12777081
 "39000","Ohio",3,SAOVA,2,"..."," Private industries ","Thousands of dollars",9533035,9616136,9862095,10089231,10031004,10375324,10945094,11294786,9533491,11898608
 "39000","Ohio",3,SAOVA,3,"...","  Agriculture, forestry, fishing, and hunting ","Thousands of dollars",275523,327569,318074,310467,318419,336821,341648,327112,320163,383732
 "39000","Ohio",3,SAOVA,4,"...","  Mining ","Thousands of dollars",5626,4809,3935,2695,2389,4093,4441,3270,2412,4123
 "39000","Ohio",3,SAOVA,5,"...","  Utilities ","Thousands of dollars",44,45,39,48,34,40,26,25,34,27
 "39000","Ohio",3,SAOVA,6,"...","  Construction ","Thousands of dollars",143584,132884,147536,156942,178076,215225,254049,291953,287692,272002
 "39000","Ohio",3,SAOVA,7,"...","  Manufacturing ","Thousands of dollars",1609151,1707980,1769597,1762789,1535446,1673497,1926545,1926011,1802727,2282165
 "39000","Ohio",3,SAOVA,8,"...","   Durable goods ","Thousands of dollars",392130,413716,423587,441521,480145,544875,657584,737482,808550,988956
 "39000","Ohio",3,SAOVA,9,"...","   Nondurable goods ","Thousands of dollars",1217020,1294264,1346010,1321267,1055301,1128622,1268961,1188529,994177,1293208
 "39000","Ohio",3,SAOVA,10,"...","  Wholesale trade ","Thousands of dollars",1138659,1107105,1142071,1180761,1124266,1102033,1112089,1135135,1043449,1236814
 "39000","Ohio",3,SAOVA,11,"...","  Retail trade ","Thousands of dollars",3009765,3038921,2988163,3012628,3013245,3143095,3150814,3192614,3221620,3833939
 "39000","Ohio",3,SAOVA,12,"...","  Transportation and warehousing ","Thousands of dollars",584536,548293,607598,626123,660257,651371,674415,817480,402155,561976
 "39000","Ohio",3,SAOVA,13,"...","  Information ","Thousands of dollars",54899,56031,55089,57801,60390,64991,67422,64630,65163,79885
 "39000","Ohio",3,SAOVA,14,"...","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",287679,314578,298876,326004,335172,330509,374111,418559,379845,414468
 "39000","Ohio",3,SAOVA,15,"...","   Finance and insurance ","Thousands of dollars",97562,89548,105020,114654,117252,107582,109461,115918,112015,111758
 "39000","Ohio",3,SAOVA,16,"...","   Real estate and rental and leasing ","Thousands of dollars",190117,225030,193856,211350,217920,222926,264649,302642,267829,302710
 "39000","Ohio",3,SAOVA,17,"...","  Professional and business services ","Thousands of dollars",108218,104256,110085,116637,120111,123168,125174,115855,57926,85424
 "39000","Ohio",3,SAOVA,18,"...","  Educational services, health care, and social assistance ","Thousands of dollars",65377,65352,70002,72390,79732,85016,91363,94170,72111,85062
 "39000","Ohio",3,SAOVA,19,"...","   Educational services ","Thousands of dollars",49272,49639,53838,55810,62163,66711,72548,74619,52773,62538
 "39000","Ohio",3,SAOVA,20,"...","   Health care and social assistance ","Thousands of dollars",16105,15713,16164,16579,17569,18305,18815,19551,19338,22524
 "39000","Ohio",3,SAOVA,21,"...","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of dollars",2111168,2067802,2204214,2311257,2445843,2484338,2662959,2737849,1700236,2468250
 "39000","Ohio",3,SAOVA,22,"...","   Arts, entertainment, and recreation ","Thousands of dollars",1153557,1188728,1278591,1298132,1373653,1468810,1525685,1552106,877195,1138417
 "39000","Ohio",3,SAOVA,23,"...","   Accommodation and food services ","Thousands of dollars",957611,879074,925623,1013125,1072191,1015528,1137273,1185743,823041,1329833
 "39000","Ohio",3,SAOVA,24,"...","  Other services, except government ","Thousands of dollars",138807,140512,146818,152689,157625,161129,160039,170124,177958,190740
 "39000","Ohio",3,SAOVA,25,"..."," Government ","Thousands of dollars",581984,603045,637501,665886,708371,752210,779783,803431,831360,878472
 "39000","Ohio",3,SAOVA,26,"...","  Federal ","Thousands of dollars",33013,33730,31046,30052,30707,31622,33090,25473,24197,26138
 "39000","Ohio",3,SAOVA,27,"...","  State and local ","Thousands of dollars",548971,569315,606454,635834,677664,720588,746693,777958,807163,852334
"Note: See the included footnote file."
"SAOVA: Outdoor recreation satellite account value added 1/"
"Last updated: November 9, 2022-- new statistics for 2021; revised statistics for 2017-2020."
"U.S. Bureau of Economic Analysis"
