GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "41000","Oregon",8,SAOVA,1,"...","All industries ","Thousands of dollars",4616351,4759800,5005198,5467100,5677744,6146889,6374528,6574489,5193718,6501307
 "41000","Oregon",8,SAOVA,2,"..."," Private industries ","Thousands of dollars",4293096,4404639,4613797,5037646,5222081,5670366,5884451,6075466,4690863,5970129
 "41000","Oregon",8,SAOVA,3,"...","  Agriculture, forestry, fishing, and hunting ","Thousands of dollars",129232,150692,149027,155795,179093,202878,203810,207553,200372,226673
 "41000","Oregon",8,SAOVA,4,"...","  Mining ","Thousands of dollars",170,165,170,124,121,207,213,165,168,213
 "41000","Oregon",8,SAOVA,5,"...","  Utilities ","Thousands of dollars",6,6,5,6,5,5,4,3,5,4
 "41000","Oregon",8,SAOVA,6,"...","  Construction ","Thousands of dollars",55140,56049,61058,63776,66680,72277,80151,83444,81467,76171
 "41000","Oregon",8,SAOVA,7,"...","  Manufacturing ","Thousands of dollars",356714,386464,396537,438567,486901,526620,530656,524132,598625,693696
 "41000","Oregon",8,SAOVA,8,"...","   Durable goods ","Thousands of dollars",229391,251059,264276,295424,336415,370525,379357,359908,415541,478229
 "41000","Oregon",8,SAOVA,9,"...","   Nondurable goods ","Thousands of dollars",127322,135405,132261,143143,150485,156095,151299,164224,183083,215467
 "41000","Oregon",8,SAOVA,10,"...","  Wholesale trade ","Thousands of dollars",559027,552786,575995,624219,626225,647972,663104,689522,570909,677874
 "41000","Oregon",8,SAOVA,11,"...","  Retail trade ","Thousands of dollars",1170159,1221113,1258390,1355474,1399066,1499694,1519695,1573271,1600760,1913375
 "41000","Oregon",8,SAOVA,12,"...","  Transportation and warehousing ","Thousands of dollars",423277,436430,503906,583622,612393,646547,697945,679841,187160,328405
 "41000","Oregon",8,SAOVA,13,"...","  Information ","Thousands of dollars",9620,9772,9912,10984,11403,12475,13512,14624,16611,24540
 "41000","Oregon",8,SAOVA,14,"...","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",180307,240234,204825,227644,231419,243450,233720,275110,267671,280673
 "41000","Oregon",8,SAOVA,15,"...","   Finance and insurance ","Thousands of dollars",42399,37753,45109,49689,51423,48180,51787,56091,55361,54629
 "41000","Oregon",8,SAOVA,16,"...","   Real estate and rental and leasing ","Thousands of dollars",137908,202481,159716,177955,179997,195270,181933,219019,212310,226044
 "41000","Oregon",8,SAOVA,17,"...","  Professional and business services ","Thousands of dollars",54995,53172,57171,61267,65635,69334,71830,66480,30466,47318
 "41000","Oregon",8,SAOVA,18,"...","  Educational services, health care, and social assistance ","Thousands of dollars",35577,34779,37616,39643,43591,49504,53687,55285,38321,45743
 "41000","Oregon",8,SAOVA,19,"...","   Educational services ","Thousands of dollars",28770,28321,30853,32455,35963,41204,45018,46134,30340,35719
 "41000","Oregon",8,SAOVA,20,"...","   Health care and social assistance ","Thousands of dollars",6807,6458,6763,7188,7628,8300,8669,9151,7981,10024
 "41000","Oregon",8,SAOVA,21,"...","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of dollars",1255618,1199338,1292391,1407555,1427639,1624590,1742339,1828017,1017210,1567189
 "41000","Oregon",8,SAOVA,22,"...","   Arts, entertainment, and recreation ","Thousands of dollars",416109,421644,452183,459608,491566,575986,613701,637319,400196,471876
 "41000","Oregon",8,SAOVA,23,"...","   Accommodation and food services ","Thousands of dollars",839510,777694,840208,947947,936074,1048604,1128638,1190698,617014,1095313
 "41000","Oregon",8,SAOVA,24,"...","  Other services, except government ","Thousands of dollars",63255,63638,66794,68969,71911,74814,73786,78017,81118,88257
 "41000","Oregon",8,SAOVA,25,"..."," Government ","Thousands of dollars",323255,355162,391402,429454,455664,476523,490077,499023,502854,531178
 "41000","Oregon",8,SAOVA,26,"...","  Federal ","Thousands of dollars",52075,50614,54557,56880,64163,69411,70456,57354,43288,45639
 "41000","Oregon",8,SAOVA,27,"...","  State and local ","Thousands of dollars",271180,304547,336845,372574,391500,407112,419621,441669,459566,485539
"Note: See the included footnote file."
"SAOVA: Outdoor recreation satellite account value added 1/"
"Last updated: November 9, 2022-- new statistics for 2021; revised statistics for 2017-2020."
"U.S. Bureau of Economic Analysis"
