GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "46000","South Dakota",4,SAOVA,1,"...","All industries ","Thousands of dollars",1088293,1146571,1161568,1213076,1210412,1258937,1265520,1283329,1163393,1415940
 "46000","South Dakota",4,SAOVA,2,"..."," Private industries ","Thousands of dollars",969832,1020462,1031603,1078935,1074221,1120981,1122922,1147830,1025472,1269294
 "46000","South Dakota",4,SAOVA,3,"...","  Agriculture, forestry, fishing, and hunting ","Thousands of dollars",83899,91295,88727,83018,87950,93930,92452,85403,75274,93719
 "46000","South Dakota",4,SAOVA,4,"...","  Mining ","Thousands of dollars",27,26,28,21,18,22,27,25,18,28
 "46000","South Dakota",4,SAOVA,5,"...","  Utilities ","Thousands of dollars",2,2,2,2,2,2,1,1,2,2
 "46000","South Dakota",4,SAOVA,6,"...","  Construction ","Thousands of dollars",27405,27545,28002,27338,25501,28532,33970,38994,38492,36949
 "46000","South Dakota",4,SAOVA,7,"...","  Manufacturing ","Thousands of dollars",63655,67047,68655,70489,79615,76674,77948,83311,94662,104375
 "46000","South Dakota",4,SAOVA,8,"...","   Durable goods ","Thousands of dollars",36685,40422,40306,39311,43335,40128,40388,45802,50685,54872
 "46000","South Dakota",4,SAOVA,9,"...","   Nondurable goods ","Thousands of dollars",26970,26625,28349,31178,36280,36546,37560,37510,43977,49503
 "46000","South Dakota",4,SAOVA,10,"...","  Wholesale trade ","Thousands of dollars",125670,126744,134631,138830,133497,132965,133057,132317,134487,162240
 "46000","South Dakota",4,SAOVA,11,"...","  Retail trade ","Thousands of dollars",278083,290807,287505,299940,298341,311537,304259,306458,329936,383830
 "46000","South Dakota",4,SAOVA,12,"...","  Transportation and warehousing ","Thousands of dollars",50383,47450,56704,53861,54936,52295,53787,59772,35277,55925
 "46000","South Dakota",4,SAOVA,13,"...","  Information ","Thousands of dollars",2178,2312,2322,2462,2595,2685,2804,2914,3039,3973
 "46000","South Dakota",4,SAOVA,14,"...","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",48112,63265,53568,56116,61737,59729,61115,65094,64342,68001
 "46000","South Dakota",4,SAOVA,15,"...","   Finance and insurance ","Thousands of dollars",16094,15141,17536,19126,19725,18399,18656,20266,19814,20871
 "46000","South Dakota",4,SAOVA,16,"...","   Real estate and rental and leasing ","Thousands of dollars",32017,48125,36032,36990,42012,41330,42459,44828,44529,47129
 "46000","South Dakota",4,SAOVA,17,"...","  Professional and business services ","Thousands of dollars",18792,18564,20332,22200,22976,21638,20874,18314,13333,15951
 "46000","South Dakota",4,SAOVA,18,"...","  Educational services, health care, and social assistance ","Thousands of dollars",5365,5341,5674,6013,6572,7285,7595,7754,5657,6944
 "46000","South Dakota",4,SAOVA,19,"...","   Educational services ","Thousands of dollars",3942,3916,4224,4483,5006,5626,5913,6007,4073,5029
 "46000","South Dakota",4,SAOVA,20,"...","   Health care and social assistance ","Thousands of dollars",1423,1425,1450,1530,1566,1660,1682,1747,1584,1915
 "46000","South Dakota",4,SAOVA,21,"...","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of dollars",254854,268509,273531,306427,287994,320783,321997,333721,216506,322050
 "46000","South Dakota",4,SAOVA,22,"...","   Arts, entertainment, and recreation ","Thousands of dollars",59914,60805,64250,66011,70783,78905,85397,92390,65863,80769
 "46000","South Dakota",4,SAOVA,23,"...","   Accommodation and food services ","Thousands of dollars",194939,207704,209281,240416,217211,241878,236599,241332,150642,241281
 "46000","South Dakota",4,SAOVA,24,"...","  Other services, except government ","Thousands of dollars",11409,11557,11922,12220,12487,12902,13036,13751,14446,15306
 "46000","South Dakota",4,SAOVA,25,"..."," Government ","Thousands of dollars",118461,126109,129965,134141,136191,137956,142598,135499,137922,146646
 "46000","South Dakota",4,SAOVA,26,"...","  Federal ","Thousands of dollars",37971,41201,38217,38027,39876,41496,44723,31945,29485,31022
 "46000","South Dakota",4,SAOVA,27,"...","  State and local ","Thousands of dollars",80490,84908,91748,96114,96315,96459,97875,103554,108437,115624
"Note: See the included footnote file."
"SAOVA: Outdoor recreation satellite account value added 1/"
"Last updated: November 9, 2022-- new statistics for 2021; revised statistics for 2017-2020."
"U.S. Bureau of Economic Analysis"
