GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "48000","Texas",6,SAOVA,1,"...","All industries ","Thousands of dollars",28968593,30286511,31218095,32685900,31953747,34710194,37671770,37991299,28788616,37536576
 "48000","Texas",6,SAOVA,2,"..."," Private industries ","Thousands of dollars",27924563,29203802,30052212,31458426,30659894,33361172,36287366,36567230,27324403,36004668
 "48000","Texas",6,SAOVA,3,"...","  Agriculture, forestry, fishing, and hunting ","Thousands of dollars",856828,976618,982083,1074984,1373993,1538595,1386241,1572515,1313025,1288263
 "48000","Texas",6,SAOVA,4,"...","  Mining ","Thousands of dollars",93978,100549,106016,77956,67928,75806,92839,91961,80916,179098
 "48000","Texas",6,SAOVA,5,"...","  Utilities ","Thousands of dollars",104,108,95,120,91,108,72,71,102,91
 "48000","Texas",6,SAOVA,6,"...","  Construction ","Thousands of dollars",380155,374826,395877,409768,407460,406119,406928,412074,391307,366735
 "48000","Texas",6,SAOVA,7,"...","  Manufacturing ","Thousands of dollars",7294370,7771442,7714129,7766785,5931965,7527055,9672032,8540700,5162881,7580897
 "48000","Texas",6,SAOVA,8,"...","   Durable goods ","Thousands of dollars",719305,752906,787481,811843,838109,888109,1054519,969469,957147,1188085
 "48000","Texas",6,SAOVA,9,"...","   Nondurable goods ","Thousands of dollars",6575065,7018536,6926648,6954942,5093856,6638946,8617514,7571231,4205735,6392813
 "48000","Texas",6,SAOVA,10,"...","  Wholesale trade ","Thousands of dollars",3109607,3198101,3348986,3447350,3320976,3471126,3762025,3879108,3088279,4091161
 "48000","Texas",6,SAOVA,11,"...","  Retail trade ","Thousands of dollars",7007639,7369388,7386769,7717280,7742582,8118251,8130088,8353502,8594588,10361654
 "48000","Texas",6,SAOVA,12,"...","  Transportation and warehousing ","Thousands of dollars",2280938,2378471,2735056,2930347,3112858,3150983,3246293,3668811,1644334,2442957
 "48000","Texas",6,SAOVA,13,"...","  Information ","Thousands of dollars",98835,109011,111657,120353,124485,129124,135671,141784,153105,230241
 "48000","Texas",6,SAOVA,14,"...","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",962476,1132565,1027955,1144106,1217838,1233416,1337587,1462838,1351153,1470048
 "48000","Texas",6,SAOVA,15,"...","   Finance and insurance ","Thousands of dollars",253986,236944,284872,322084,339097,320288,337791,375653,377874,390818
 "48000","Texas",6,SAOVA,16,"...","   Real estate and rental and leasing ","Thousands of dollars",708490,895621,743083,822022,878741,913128,999796,1087185,973278,1079230
 "48000","Texas",6,SAOVA,17,"...","  Professional and business services ","Thousands of dollars",350161,349328,379725,418558,451031,496150,531582,509977,194452,346418
 "48000","Texas",6,SAOVA,18,"...","  Educational services, health care, and social assistance ","Thousands of dollars",168876,170985,185615,199874,227665,237644,262586,272853,200133,237099
 "48000","Texas",6,SAOVA,19,"...","   Educational services ","Thousands of dollars",136157,138413,151735,164189,189080,196425,220567,228646,156080,184551
 "48000","Texas",6,SAOVA,20,"...","   Health care and social assistance ","Thousands of dollars",32719,32571,33880,35685,38585,41219,42019,44207,44052,52548
 "48000","Texas",6,SAOVA,21,"...","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of dollars",4966466,4902637,5287386,5731894,6240223,6525835,6872801,7181474,4642304,6865225
 "48000","Texas",6,SAOVA,22,"...","   Arts, entertainment, and recreation ","Thousands of dollars",2382034,2465294,2698584,2859525,3147155,3408123,3576092,3680999,2176199,2702063
 "48000","Texas",6,SAOVA,23,"...","   Accommodation and food services ","Thousands of dollars",2584432,2437343,2588802,2872369,3093068,3117712,3296710,3500475,2466105,4163161
 "48000","Texas",6,SAOVA,24,"...","  Other services, except government ","Thousands of dollars",354131,369773,390864,419054,440800,450962,450619,479564,507824,544780
 "48000","Texas",6,SAOVA,25,"..."," Government ","Thousands of dollars",1044030,1082709,1165883,1227474,1293853,1349021,1384404,1424069,1464213,1531908
 "48000","Texas",6,SAOVA,26,"...","  Federal ","Thousands of dollars",84493,79838,71646,68411,72114,77738,82573,67475,62957,67845
 "48000","Texas",6,SAOVA,27,"...","  State and local ","Thousands of dollars",959537,1002871,1094237,1159063,1221739,1271283,1301831,1356594,1401256,1464063
"Note: See the included footnote file."
"SAOVA: Outdoor recreation satellite account value added 1/"
"Last updated: November 9, 2022-- new statistics for 2021; revised statistics for 2017-2020."
"U.S. Bureau of Economic Analysis"
