GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "53000","Washington",8,SAOVA,1,"...","All industries ","Thousands of dollars",9042483,9279978,9831892,10587047,10896132,11587080,12446113,12619474,9808698,12272562
 "53000","Washington",8,SAOVA,2,"..."," Private industries ","Thousands of dollars",8462869,8670251,9190054,9916854,10181645,10824092,11640225,11798188,8962344,11350752
 "53000","Washington",8,SAOVA,3,"...","  Agriculture, forestry, fishing, and hunting ","Thousands of dollars",193748,205006,190226,177374,190283,211502,211133,215359,204127,224537
 "53000","Washington",8,SAOVA,4,"...","  Mining ","Thousands of dollars",302,272,262,176,159,254,289,241,186,257
 "53000","Washington",8,SAOVA,5,"...","  Utilities ","Thousands of dollars",24,25,21,26,18,22,14,13,19,16
 "53000","Washington",8,SAOVA,6,"...","  Construction ","Thousands of dollars",139694,141069,156110,170990,196990,228005,287298,336834,352162,339369
 "53000","Washington",8,SAOVA,7,"...","  Manufacturing ","Thousands of dollars",1252865,1275347,1374624,1434438,1397136,1557186,1908362,1592512,1027105,1472861
 "53000","Washington",8,SAOVA,8,"...","   Durable goods ","Thousands of dollars",708049,740009,796505,862280,919164,1014972,1240892,929704,539768,753320
 "53000","Washington",8,SAOVA,9,"...","   Nondurable goods ","Thousands of dollars",544817,535338,578119,572158,477972,542215,667471,662808,487337,719541
 "53000","Washington",8,SAOVA,10,"...","  Wholesale trade ","Thousands of dollars",1078148,1060594,1109797,1187994,1189790,1205208,1230106,1259244,1093252,1287091
 "53000","Washington",8,SAOVA,11,"...","  Retail trade ","Thousands of dollars",2287109,2413750,2477808,2661699,2705763,2890361,2955520,3126874,3433768,3959376
 "53000","Washington",8,SAOVA,12,"...","  Transportation and warehousing ","Thousands of dollars",882508,953759,1142744,1339071,1466600,1528869,1675096,1759637,569963,974743
 "53000","Washington",8,SAOVA,13,"...","  Information ","Thousands of dollars",65857,63609,66353,78230,78955,89641,96958,112490,126799,159757
 "53000","Washington",8,SAOVA,14,"...","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",345018,429689,352670,393005,397814,401874,417944,469370,449807,475674
 "53000","Washington",8,SAOVA,15,"...","   Finance and insurance ","Thousands of dollars",92626,83421,97189,105649,108313,101789,108811,120420,119316,119808
 "53000","Washington",8,SAOVA,16,"...","   Real estate and rental and leasing ","Thousands of dollars",252392,346268,255481,287356,289501,300085,309133,348949,330492,355867
 "53000","Washington",8,SAOVA,17,"...","  Professional and business services ","Thousands of dollars",256923,244549,249613,256999,263155,286022,301027,290129,78676,192486
 "53000","Washington",8,SAOVA,18,"...","  Educational services, health care, and social assistance ","Thousands of dollars",61791,60174,65081,67995,75662,85285,94007,96934,67362,80131
 "53000","Washington",8,SAOVA,19,"...","   Educational services ","Thousands of dollars",50587,49502,53852,56267,63313,72275,80384,82482,54327,64589
 "53000","Washington",8,SAOVA,20,"...","   Health care and social assistance ","Thousands of dollars",11204,10672,11229,11728,12349,13010,13623,14451,13035,15542
 "53000","Washington",8,SAOVA,21,"...","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of dollars",1747882,1667791,1844283,1984877,2053752,2174596,2305729,2374907,1386513,2000018
 "53000","Washington",8,SAOVA,22,"...","   Arts, entertainment, and recreation ","Thousands of dollars",757751,796209,866542,885721,935560,977925,1002950,1011714,612264,749664
 "53000","Washington",8,SAOVA,23,"...","   Accommodation and food services ","Thousands of dollars",990131,871582,977741,1099156,1118192,1196671,1302779,1363193,774249,1250354
 "53000","Washington",8,SAOVA,24,"...","  Other services, except government ","Thousands of dollars",151000,154616,160463,163981,165568,165268,156744,163645,172603,184436
 "53000","Washington",8,SAOVA,25,"..."," Government ","Thousands of dollars",579615,609727,641838,670193,714486,762988,805888,821286,846354,921810
 "53000","Washington",8,SAOVA,26,"...","  Federal ","Thousands of dollars",102982,108537,104143,102863,106641,110539,115633,89222,80023,84940
 "53000","Washington",8,SAOVA,27,"...","  State and local ","Thousands of dollars",476633,501190,537695,567330,607845,652450,690255,732064,766331,836870
"Note: See the included footnote file."
"SAOVA: Outdoor recreation satellite account value added 1/"
"Last updated: November 9, 2022-- new statistics for 2021; revised statistics for 2017-2020."
"U.S. Bureau of Economic Analysis"
