GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "55000","Wisconsin",3,SAOVA,1,"...","All industries ","Thousands of dollars",7264024,7686754,7666024,7790449,8002896,8029491,8013180,8360085,7636178,8709132
 "55000","Wisconsin",3,SAOVA,2,"..."," Private industries ","Thousands of dollars",6934072,7346468,7307506,7422945,7646475,7703439,7721627,8078081,7341489,8396165
 "55000","Wisconsin",3,SAOVA,3,"...","  Agriculture, forestry, fishing, and hunting ","Thousands of dollars",164632,183811,172731,168884,186305,212717,212227,226922,218644,250045
 "55000","Wisconsin",3,SAOVA,4,"...","  Mining ","Thousands of dollars",293,277,301,223,195,295,279,212,181,207
 "55000","Wisconsin",3,SAOVA,5,"...","  Utilities ","Thousands of dollars",31,33,28,35,25,29,18,16,25,20
 "55000","Wisconsin",3,SAOVA,6,"...","  Construction ","Thousands of dollars",68435,70402,76825,82969,82248,82107,85246,92078,93071,88514
 "55000","Wisconsin",3,SAOVA,7,"...","  Manufacturing ","Thousands of dollars",1763538,1998397,1924343,1858881,1991588,1927811,1753915,1970699,2007466,2101531
 "55000","Wisconsin",3,SAOVA,8,"...","   Durable goods ","Thousands of dollars",1376309,1600911,1526135,1441479,1564947,1480874,1312916,1523037,1512269,1527452
 "55000","Wisconsin",3,SAOVA,9,"...","   Nondurable goods ","Thousands of dollars",387229,397485,398208,417401,426642,446937,440999,447663,495197,574079
 "55000","Wisconsin",3,SAOVA,10,"...","  Wholesale trade ","Thousands of dollars",983677,989091,1031455,1066659,1024257,986218,1006508,1063201,1003809,1100079
 "55000","Wisconsin",3,SAOVA,11,"...","  Retail trade ","Thousands of dollars",1548245,1579678,1570903,1605607,1594809,1677088,1679621,1695822,1805488,2038882
 "55000","Wisconsin",3,SAOVA,12,"...","  Transportation and warehousing ","Thousands of dollars",301218,296064,324721,316409,350376,335267,369347,405774,226146,326423
 "55000","Wisconsin",3,SAOVA,13,"...","  Information ","Thousands of dollars",15961,16356,16587,17882,18353,19079,19296,19933,20976,27700
 "55000","Wisconsin",3,SAOVA,14,"...","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",491038,635009,515920,549097,574948,578813,621659,663105,661514,688922
 "55000","Wisconsin",3,SAOVA,15,"...","   Finance and insurance ","Thousands of dollars",62314,56589,66364,72391,73858,67938,69523,73434,70774,70068
 "55000","Wisconsin",3,SAOVA,16,"...","   Real estate and rental and leasing ","Thousands of dollars",428724,578420,449555,476706,501090,510875,552136,589671,590741,618854
 "55000","Wisconsin",3,SAOVA,17,"...","  Professional and business services ","Thousands of dollars",76154,73577,77500,82866,89522,99030,106862,98771,37032,63096
 "55000","Wisconsin",3,SAOVA,18,"...","  Educational services, health care, and social assistance ","Thousands of dollars",39662,39209,41439,42367,46894,52329,57007,58170,44316,51364
 "55000","Wisconsin",3,SAOVA,19,"...","   Educational services ","Thousands of dollars",31543,31275,33285,33969,38102,43174,47663,48618,34930,40541
 "55000","Wisconsin",3,SAOVA,20,"...","   Health care and social assistance ","Thousands of dollars",8120,7933,8154,8398,8793,9155,9344,9551,9387,10823
 "55000","Wisconsin",3,SAOVA,21,"...","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of dollars",1414390,1397518,1485398,1558002,1610829,1653846,1732518,1702270,1137388,1567338
 "55000","Wisconsin",3,SAOVA,22,"...","   Arts, entertainment, and recreation ","Thousands of dollars",692869,725044,791026,814186,877379,875565,916555,931014,556857,673955
 "55000","Wisconsin",3,SAOVA,23,"...","   Accommodation and food services ","Thousands of dollars",721521,672474,694372,743816,733450,778281,815964,771256,580531,893382
 "55000","Wisconsin",3,SAOVA,24,"...","  Other services, except government ","Thousands of dollars",66797,67047,69356,73064,76126,78810,77122,81107,85433,92044
 "55000","Wisconsin",3,SAOVA,25,"..."," Government ","Thousands of dollars",329952,340286,358518,367503,356421,326052,291554,282004,294689,312967
 "55000","Wisconsin",3,SAOVA,26,"...","  Federal ","Thousands of dollars",9285,9097,9285,9815,11201,12377,13264,10345,9194,9889
 "55000","Wisconsin",3,SAOVA,27,"...","  State and local ","Thousands of dollars",320667,331189,349233,357688,345221,313675,278290,271658,285494,303078
"Note: See the included footnote file."
"SAOVA: Outdoor recreation satellite account value added 1/"
"Last updated: November 9, 2022-- new statistics for 2021; revised statistics for 2017-2020."
"U.S. Bureau of Economic Analysis"
