GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "49000","Utah",7,SAPCE1,1,"...","Personal consumption expenditures ","Millions of current dollars",37431.0,39544.4,41809.6,44950.1,47012.1,49337.7,51981.1,56192.3,60790.0,65987.7,71323.5,74052.5,72886.9,74728.6,78282.8,82173.0,85550.9,90645.5,94983.6,101149.4,107602.9,115404.2,121983.4,125532.7,146418.5,162917.0
 "49000","Utah",7,SAPCE1,2,"..."," Goods ","Millions of current dollars",15110.8,15660.4,16715.1,17606.4,17985.0,18690.6,19613.5,21694.5,23488.9,25995.7,28357.8,28275.4,26225.7,27039.9,28286.4,29961.8,31496.4,33451.9,35014.2,37105.5,39826.5,43365.2,45380.8,50180.8,60821.8,67385.4
 "49000","Utah",7,SAPCE1,3,"...","  Durable goods ","Millions of current dollars",6049.2,6419.3,6810.8,7096.1,7230.9,7749.8,7898.3,8719.5,9526.6,10407.8,11470.6,10555.4,9440.3,9648.1,9926.8,10718.2,11678.7,12605.2,14043.3,15390.4,16943.3,18714.4,19876.6,23517.8,29747.3,32033.4
 "49000","Utah",7,SAPCE1,4,"...","   Motor vehicles and parts ","Millions of current dollars",2281.5,2443.1,2533.5,2641.1,2749.4,2999.4,2948.0,3122.8,3279.4,3384.3,3741.5,3260.9,2949.7,3078.1,3271.7,3596.1,3981.7,4265.9,4757.9,5064.4,5583.8,6029.1,6137.0,6632.8,8502.1,8723.3
 "49000","Utah",7,SAPCE1,5,"...","   Furnishings and durable household equipment ","Millions of current dollars",1385.9,1470.7,1589.9,1649.0,1656.3,1727.4,1790.0,1981.9,2159.3,2424.0,2660.8,2446.8,2125.1,2126.1,2104.2,2211.1,2330.5,2476.6,2803.0,3030.9,3228.8,3527.7,3695.8,4138.2,4970.2,5478.4
 "49000","Utah",7,SAPCE1,6,"...","   Recreational goods and vehicles ","Millions of current dollars",1708.3,1789.7,1932.1,2013.4,2041.5,2197.6,2258.1,2625.3,2997.2,3349.4,3663.6,3460.1,3007.6,3054.3,3089.2,3380.7,3782.0,4242.5,4767.2,5539.2,6324.0,7244.2,8069.4,10823.2,13796.5,15111.3
 "49000","Utah",7,SAPCE1,7,"...","   Other durable goods ","Millions of current dollars",673.5,715.7,755.3,792.7,783.6,825.6,902.2,989.5,1090.7,1250.2,1404.7,1387.6,1357.9,1389.6,1461.7,1530.2,1584.5,1620.2,1715.2,1755.8,1806.8,1913.4,1974.3,1923.6,2478.5,2720.4
 "49000","Utah",7,SAPCE1,8,"...","  Nondurable goods ","Millions of current dollars",9061.7,9241.2,9904.3,10510.3,10754.2,10940.8,11715.2,12975.0,13962.3,15587.9,16887.2,17720.0,16785.3,17391.8,18359.6,19243.6,19817.7,20846.8,20970.9,21715.1,22883.1,24650.8,25504.2,26663.0,31074.5,35352.0
 "49000","Utah",7,SAPCE1,9,"...","   Food and beverages purchased for off-premises consumption ","Millions of current dollars",3542.5,3609.6,3792.5,3938.8,4085.3,4124.8,4359.4,4811.2,5114.3,5598.5,6157.9,6415.3,6402.9,6455.4,6676.0,6839.4,6992.3,7455.5,7724.4,8139.5,8487.0,8912.9,9308.9,10291.4,11247.5,12696.4
 "49000","Utah",7,SAPCE1,10,"...","   Clothing and footwear ","Millions of current dollars",1689.8,1737.6,1825.1,1828.8,1831.6,1869.6,1952.8,2040.2,2153.8,2350.9,2472.4,2440.2,2431.8,2414.7,2507.0,2687.1,2790.5,2871.1,2989.6,3124.6,3259.4,3451.7,3523.1,3289.3,4195.4,4510.3
 "49000","Utah",7,SAPCE1,11,"...","   Gasoline and other energy goods ","Millions of current dollars",1197.5,1119.0,1290.8,1674.8,1579.8,1440.9,1634.6,1984.0,2390.5,2846.5,3149.4,3564.1,2520.1,2880.4,3559.3,3854.3,3874.3,3838.3,3037.5,2789.4,3206.7,3696.9,3669.3,2717.9,4122.2,5394.2
 "49000","Utah",7,SAPCE1,12,"...","   Other nondurable goods ","Millions of current dollars",2632.0,2774.9,2995.9,3067.9,3257.5,3505.4,3768.5,4139.6,4303.7,4791.9,5107.5,5300.5,5430.4,5641.3,5617.2,5862.7,6160.6,6682.0,7219.5,7661.6,7930.1,8589.3,9003.0,10364.4,11509.4,12751.1
