GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "02000","Alaska",8,SAPCE2,1,"...","Per capita personal consumption expenditures ","Dollars",23213,24110,25423,27243,28599,30252,31704,33138,35017,35947,37656,38911,38871,39968,41449,42455,42914,44251,45018,45703,47074,48904,50140,47762,53982,59179
 "02000","Alaska",8,SAPCE2,2,"..."," Goods ","Dollars",8652,8825,9338,9720,9916,10439,10941,11503,11911,12190,12584,12745,12139,12292,12795,12962,12940,13297,13225,13136,13443,13838,14076,14633,16558,17751
 "02000","Alaska",8,SAPCE2,3,"...","  Durable goods ","Dollars",3203,3372,3620,3714,3855,4222,4416,4632,4695,4664,4741,4480,4204,4128,4177,4314,4393,4587,4784,4872,5104,5259,5377,5925,7104,7491
 "02000","Alaska",8,SAPCE2,4,"...","   Motor vehicles and parts ","Dollars",1297,1406,1579,1646,1749,1963,1993,2000,1877,1720,1702,1452,1397,1400,1406,1521,1591,1652,1761,1763,1829,1822,1795,1885,2237,2289
 "02000","Alaska",8,SAPCE2,5,"...","   Furnishings and durable household equipment ","Dollars",614,631,660,685,717,806,850,899,973,999,1010,1017,950,937,944,957,963,1021,1058,1054,1072,1120,1166,1253,1450,1537
 "02000","Alaska",8,SAPCE2,6,"...","   Recreational goods and vehicles ","Dollars",909,940,953,953,970,1021,1116,1242,1331,1402,1460,1447,1332,1266,1274,1283,1293,1360,1404,1504,1656,1748,1832,2218,2677,2883
 "02000","Alaska",8,SAPCE2,7,"...","   Other durable goods ","Dollars",384,395,428,430,420,433,458,491,514,544,569,564,525,525,554,552,546,554,562,551,547,569,585,569,740,782
 "02000","Alaska",8,SAPCE2,8,"...","  Nondurable goods ","Dollars",5449,5453,5718,6006,6060,6217,6525,6870,7216,7526,7843,8266,7935,8164,8618,8648,8547,8710,8441,8263,8339,8579,8699,8707,9454,10261
 "02000","Alaska",8,SAPCE2,9,"...","   Food and beverages purchased for off-premises consumption ","Dollars",2366,2440,2530,2606,2666,2766,2922,3048,3202,3338,3523,3717,3693,3712,3834,3860,3821,3858,3836,3784,3798,3892,3983,4233,4351,4641
 "02000","Alaska",8,SAPCE2,10,"...","   Clothing and footwear ","Dollars",841,840,860,861,860,860,879,899,911,926,922,923,873,880,906,907,900,923,936,933,921,954,968,840,1049,1118
 "02000","Alaska",8,SAPCE2,11,"...","   Gasoline and other energy goods ","Dollars",706,606,672,852,760,711,774,898,993,1054,1120,1282,956,1115,1351,1380,1356,1291,950,801,851,932,890,633,884,1141
 "02000","Alaska",8,SAPCE2,12,"...","   Other nondurable goods ","Dollars",1536,1567,1656,1687,1775,1879,1950,2025,2110,2208,2278,2343,2413,2456,2527,2501,2471,2638,2719,2746,2768,2801,2858,3002,3169,3361
