GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "98000","Far West",8,SAPCE2,1,"...","Per capita personal consumption expenditures ","Dollars",21044,22031,23313,24920,25714,26488,27642,29242,31023,32747,34358,35062,33717,34518,35680,36713,37590,38975,40391,41780,43685,46008,47837,46622,53299,58466
 "98000","Far West",8,SAPCE2,2,"..."," Goods ","Dollars",7100,7408,7982,8598,8750,8983,9328,9908,10452,10913,11234,10928,9950,10267,10796,11134,11362,11739,11972,12133,12675,13327,13699,14189,16824,18433
 "98000","Far West",8,SAPCE2,3,"...","  Durable goods ","Dollars",2554,2804,3089,3338,3412,3549,3640,3861,4047,4139,4163,3727,3276,3341,3448,3602,3709,3853,4047,4143,4327,4576,4654,4935,6182,6615
 "98000","Far West",8,SAPCE2,4,"...","   Motor vehicles and parts ","Dollars",912,1019,1133,1181,1230,1300,1294,1329,1354,1294,1259,1031,889,921,982,1079,1151,1215,1318,1368,1439,1460,1411,1367,1798,1898
 "98000","Far West",8,SAPCE2,5,"...","   Furnishings and durable household equipment ","Dollars",565,614,681,749,778,807,839,900,961,1005,992,890,782,788,795,804,824,858,910,938,978,1048,1064,1147,1393,1495
 "98000","Far West",8,SAPCE2,6,"...","   Recreational goods and vehicles ","Dollars",755,825,899,1005,1014,1034,1071,1150,1216,1292,1325,1235,1075,1082,1088,1114,1133,1165,1194,1219,1289,1423,1512,1784,2168,2326
 "98000","Far West",8,SAPCE2,7,"...","   Other durable goods ","Dollars",323,347,376,403,390,409,436,481,516,548,586,571,530,549,583,606,602,614,626,618,620,646,666,637,822,897
 "98000","Far West",8,SAPCE2,8,"...","  Nondurable goods ","Dollars",4545,4603,4894,5260,5338,5434,5688,6047,6405,6774,7071,7201,6674,6925,7348,7532,7653,7886,7925,7989,8348,8750,9045,9254,10643,11818
 "98000","Far West",8,SAPCE2,9,"...","   Food and beverages purchased for off-premises consumption ","Dollars",1767,1785,1878,1961,2038,2088,2170,2259,2372,2489,2631,2691,2613,2631,2726,2787,2861,2984,3108,3132,3234,3343,3477,3874,4205,4559
 "98000","Far West",8,SAPCE2,10,"...","   Clothing and footwear ","Dollars",935,963,1000,1036,995,1011,1023,1108,1168,1162,1174,1126,1017,1067,1138,1193,1214,1266,1302,1330,1396,1441,1483,1286,1655,1818
 "98000","Far West",8,SAPCE2,11,"...","   Gasoline and other energy goods ","Dollars",491,431,464,575,539,514,589,706,822,924,973,1098,779,895,1098,1112,1092,1054,817,753,876,993,965,705,1063,1394
 "98000","Far West",8,SAPCE2,12,"...","   Other nondurable goods ","Dollars",1353,1425,1552,1688,1766,1821,1906,1973,2043,2200,2293,2285,2265,2333,2386,2440,2485,2582,2699,2774,2842,2973,3119,3389,3720,4047
 "98000","Far West",8,SAPCE2,13,"..."," Services ","Dollars",13945,14623,15330,16323,16964,17505,18314,19334,20571,21834,23124,24134,23767,24251,24885,25579,26228,27237,28418,29647,31010,32682,34138,32433,36475,40033
 "98000","Far West",8,SAPCE2,14,"...","  Household consumption expenditures (for services) ","Dollars",13595,14251,14906,15825,16389,16835,17654,18711,19946,21101,22278,23189,22830,23293,23865,24443,25068,26052,27192,28290,29678,31206,32669,30679,34743,38024
 "98000","Far West",8,SAPCE2,15,"...","   Housing and utilities ","Dollars",4170,4342,4515,4738,5013,5136,5296,5539,5905,6194,6528,7012,7066,7120,7157,7221,7397,7543,7686,7961,8337,8710,9082,9550,10099,10883
 "98000","Far West",8,SAPCE2,16,"...","   Health care ","Dollars",2806,2912,2966,3059,3243,3473,3693,3941,4195,4408,4685,4970,5195,5364,5554,5736,5895,6150,6590,6870,7165,7557,7980,7562,8525,8959
 "98000","Far West",8,SAPCE2,17,"...","   Transportation services ","Dollars",1022,1061,1121,1212,1191,1139,1157,1211,1292,1384,1459,1452,1340,1352,1426,1492,1536,1577,1572,1633,1693,1829,1917,1372,1778,2175
 "98000","Far West",8,SAPCE2,18,"...","   Recreation services ","Dollars",961,981,1073,1132,1160,1164,1261,1379,1466,1564,1660,1690,1631,1694,1704,1791,1848,1928,2041,2155,2260,2343,2459,1741,2169,2577
 "98000","Far West",8,SAPCE2,19,"...","   Food services and accommodations ","Dollars",1339,1411,1451,1546,1572,1616,1702,1829,1961,2108,2215,2256,2145,2182,2273,2376,2464,2631,2854,3021,3189,3390,3609,2915,3789,4524
 "98000","Far West",8,SAPCE2,20,"...","   Financial services and insurance ","Dollars",1594,1712,1836,2030,1953,1965,2071,2221,2421,2574,2706,2727,2480,2597,2696,2733,2843,3000,3149,3185,3401,3564,3575,3634,3898,3975
 "98000","Far West",8,SAPCE2,21,"...","   Other services ","Dollars",1704,1832,1944,2108,2256,2343,2475,2590,2706,2868,3025,3081,2974,2984,3054,3094,3084,3223,3299,3466,3634,3813,4046,3905,4484,4930
 "98000","Far West",8,SAPCE2,22,"...","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) ","Dollars",349,372,424,498,576,670,660,623,625,733,846,945,937,958,1019,1136,1161,1185,1226,1357,1332,1476,1469,1754,1733,2010
 "98000","Far West",8,SAPCE2,23,"...","   Gross output of nonprofit institutions ","Dollars",1758,1824,1935,2095,2282,2511,2582,2647,2786,2975,3275,3496,3617,3754,3950,4246,4349,4460,4671,4961,5067,5406,5639,5746,6218,6673
 "98000","Far West",8,SAPCE2,24,"...","   Less: Receipts from sales of goods and services by nonprofit institutions ","Dollars",1409,1453,1511,1597,1707,1841,1922,2024,2161,2242,2429,2550,2680,2795,2930,3110,3189,3276,3445,3603,3735,3931,4170,3992,4485,4663
"Note: See the included footnote file."
"SAPCE2: Per capita personal consumption expenditures (PCE) by major type of product 1/"
"Last updated: October 4, 2023-- new statistics for 2022; revised statistics for 1997-2021."
"U.S. Bureau of Economic Analysis"
