GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "13000","Georgia",5,SAPCE2,1,"...","Per capita personal consumption expenditures ","Dollars",19754,20523,21675,22937,23600,24126,25126,26254,27684,28615,29635,29683,28587,29170,30203,30881,31764,33086,34034,35012,36470,37967,39074,38419,43681,47406
 "13000","Georgia",5,SAPCE2,2,"..."," Goods ","Dollars",7558,7786,8378,8754,8889,8991,9303,9698,10242,10579,10797,10502,9789,10173,10706,10979,11287,11746,11893,11956,12581,13098,13322,13925,16424,17876
 "13000","Georgia",5,SAPCE2,3,"...","  Durable goods ","Dollars",2712,2898,3138,3194,3268,3345,3431,3531,3644,3680,3701,3239,2900,3020,3090,3219,3349,3505,3725,3859,4061,4239,4329,4672,5800,6194
 "13000","Georgia",5,SAPCE2,4,"...","   Motor vehicles and parts ","Dollars",1207,1312,1421,1423,1498,1539,1502,1487,1476,1408,1407,1112,985,1071,1122,1205,1298,1377,1507,1587,1647,1722,1715,1743,2301,2394
 "13000","Georgia",5,SAPCE2,5,"...","   Furnishings and durable household equipment ","Dollars",630,659,713,736,746,754,787,822,848,865,843,754,670,679,670,685,699,730,771,800,839,884,939,1061,1220,1278
 "13000","Georgia",5,SAPCE2,6,"...","   Recreational goods and vehicles ","Dollars",545,579,630,649,649,664,729,782,852,899,919,860,756,763,765,787,805,836,874,917,1016,1060,1100,1310,1560,1759
 "13000","Georgia",5,SAPCE2,7,"...","   Other durable goods ","Dollars",329,347,373,386,375,388,412,440,469,507,532,514,490,508,533,542,547,561,573,556,558,573,575,558,719,762
 "13000","Georgia",5,SAPCE2,8,"...","  Nondurable goods ","Dollars",4846,4888,5240,5560,5620,5647,5873,6167,6598,6898,7096,7263,6888,7153,7617,7759,7938,8241,8168,8097,8520,8860,8993,9253,10624,11682
 "13000","Georgia",5,SAPCE2,9,"...","   Food and beverages purchased for off-premises consumption ","Dollars",1727,1766,1850,1926,1963,1975,2019,2108,2200,2255,2331,2384,2417,2449,2560,2644,2720,2865,2930,2966,3128,3205,3292,3631,3941,4248
 "13000","Georgia",5,SAPCE2,10,"...","   Clothing and footwear ","Dollars",971,990,1026,1028,1016,1021,1009,1023,1069,1097,1078,1030,976,995,1016,1029,1073,1122,1172,1174,1186,1200,1193,1069,1389,1452
 "13000","Georgia",5,SAPCE2,11,"...","   Gasoline and other energy goods ","Dollars",604,540,598,739,706,645,732,856,1100,1205,1251,1385,1002,1153,1408,1398,1395,1366,1053,919,1044,1159,1100,817,1254,1645
 "13000","Georgia",5,SAPCE2,12,"...","   Other nondurable goods ","Dollars",1544,1592,1766,1867,1936,2006,2113,2179,2229,2341,2436,2464,2493,2555,2632,2689,2750,2888,3013,3038,3163,3297,3408,3736,4040,4337
 "13000","Georgia",5,SAPCE2,13,"..."," Services ","Dollars",12196,12736,13297,14183,14711,15135,15823,16557,17442,18037,18838,19181,18799,18997,19497,19902,20477,21341,22141,23056,23890,24868,25752,24494,27257,29530
 "13000","Georgia",5,SAPCE2,14,"...","  Household consumption expenditures (for services) ","Dollars",12128,12666,13185,14041,14505,14902,15579,16331,17292,17845,18598,18854,18504,18735,19209,19583,20176,21050,21832,22742,23558,24494,25466,24058,26971,29117
 "13000","Georgia",5,SAPCE2,15,"...","   Housing and utilities ","Dollars",3666,3788,3915,4104,4349,4420,4584,4764,5069,5187,5461,5640,5611,5617,5636,5655,5736,5844,5934,6137,6286,6539,6838,7062,7515,8082
