GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "21000","Kentucky",5,SAPCE2,1,"...","Per capita personal consumption expenditures ","Dollars",17523,18386,19432,20645,21277,21975,22889,24086,25299,26382,27048,27754,27576,28392,29278,29859,30453,31279,32339,33301,34456,35940,36704,36486,41027,44193
 "21000","Kentucky",5,SAPCE2,2,"..."," Goods ","Dollars",6989,7245,7802,8254,8316,8523,8869,9396,9760,10234,10424,10501,10134,10500,11021,11252,11310,11565,11725,11988,12440,12865,12978,13458,15354,16374
 "21000","Kentucky",5,SAPCE2,3,"...","  Durable goods ","Dollars",2347,2488,2683,2794,2758,2888,2933,3051,3050,3063,3107,2821,2686,2794,2886,3050,3088,3166,3400,3529,3611,3745,3787,4006,4906,5098
 "21000","Kentucky",5,SAPCE2,4,"...","   Motor vehicles and parts ","Dollars",1050,1125,1212,1220,1221,1273,1266,1272,1228,1158,1167,1007,973,1076,1106,1187,1234,1299,1448,1500,1553,1619,1603,1599,2063,2108
 "21000","Kentucky",5,SAPCE2,5,"...","   Furnishings and durable household equipment ","Dollars",526,555,592,628,615,657,673,713,738,746,747,683,640,643,645,676,684,697,733,772,803,841,872,958,1117,1184
 "21000","Kentucky",5,SAPCE2,6,"...","   Recreational goods and vehicles ","Dollars",494,512,557,608,592,616,636,686,689,726,735,677,627,612,644,689,688,696,742,786,787,809,832,971,1138,1204
 "21000","Kentucky",5,SAPCE2,7,"...","   Other durable goods ","Dollars",277,295,321,338,331,343,357,379,396,432,458,453,445,464,493,498,482,473,478,471,469,476,480,478,588,601
 "21000","Kentucky",5,SAPCE2,8,"...","  Nondurable goods ","Dollars",4642,4757,5119,5460,5557,5635,5936,6345,6710,7171,7317,7680,7449,7706,8134,8203,8222,8399,8325,8459,8829,9120,9191,9452,10447,11276
 "21000","Kentucky",5,SAPCE2,9,"...","   Food and beverages purchased for off-premises consumption ","Dollars",1714,1776,1869,1921,1970,1993,2067,2196,2285,2353,2441,2566,2650,2668,2753,2825,2833,2942,3053,3182,3318,3369,3403,3711,3895,4086
 "21000","Kentucky",5,SAPCE2,10,"...","   Clothing and footwear ","Dollars",714,742,788,798,787,779,788,788,804,837,828,803,774,782,806,810,820,854,883,911,928,932,931,856,1092,1157
 "21000","Kentucky",5,SAPCE2,11,"...","   Gasoline and other energy goods ","Dollars",634,565,614,771,725,687,815,957,1153,1383,1363,1562,1144,1327,1610,1596,1573,1502,1147,1022,1141,1284,1209,881,1316,1730
