GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "25000","Massachusetts",1,SAPCE2,1,"...","Per capita personal consumption expenditures ","Dollars",24553,25986,27557,29603,30997,32001,33795,35818,37797,39588,40715,41751,41046,42160,43322,44088,44949,46336,47725,49061,50990,52863,54409,52701,59267,64214
 "25000","Massachusetts",1,SAPCE2,2,"..."," Goods ","Dollars",8374,8699,9400,10056,10344,10561,11047,11844,12466,12632,12795,12778,12109,12473,12878,13050,13223,13527,13656,13889,14429,14812,15182,15510,17879,19190
 "25000","Massachusetts",1,SAPCE2,3,"...","  Durable goods ","Dollars",2905,3087,3394,3676,3784,3935,4129,4425,4633,4542,4483,4230,3935,4076,4143,4226,4308,4418,4550,4644,4775,4907,4988,5209,6272,6620
 "25000","Massachusetts",1,SAPCE2,4,"...","   Motor vehicles and parts ","Dollars",1008,1083,1156,1225,1290,1349,1410,1427,1418,1312,1285,1131,1095,1158,1197,1235,1306,1376,1481,1489,1547,1584,1538,1506,1775,1836
 "25000","Massachusetts",1,SAPCE2,5,"...","   Furnishings and durable household equipment ","Dollars",641,696,783,871,912,946,980,1092,1147,1144,1113,1044,917,931,943,955,975,1002,1043,1085,1102,1126,1170,1240,1469,1560
 "25000","Massachusetts",1,SAPCE2,6,"...","   Recreational goods and vehicles ","Dollars",862,890,998,1095,1107,1164,1217,1331,1457,1460,1417,1386,1274,1305,1308,1322,1315,1328,1306,1352,1406,1473,1539,1770,2125,2268
 "25000","Massachusetts",1,SAPCE2,7,"...","   Other durable goods ","Dollars",394,417,457,484,475,476,523,576,611,625,668,669,649,682,695,714,712,711,721,718,719,725,741,692,902,956
 "25000","Massachusetts",1,SAPCE2,8,"...","  Nondurable goods ","Dollars",5468,5612,6006,6380,6560,6626,6918,7418,7834,8090,8312,8548,8174,8397,8735,8824,8915,9109,9105,9244,9654,9905,10193,10301,11608,12570
 "25000","Massachusetts",1,SAPCE2,9,"...","   Food and beverages purchased for off-premises consumption ","Dollars",1952,1986,2139,2211,2310,2361,2388,2563,2660,2761,2864,2957,2950,2974,3101,3188,3241,3358,3432,3539,3713,3782,3905,4248,4554,4789
 "25000","Massachusetts",1,SAPCE2,10,"...","   Clothing and footwear ","Dollars",1197,1234,1286,1331,1315,1261,1311,1373,1405,1336,1338,1338,1282,1308,1297,1325,1337,1341,1373,1416,1406,1406,1413,1165,1524,1574
 "25000","Massachusetts",1,SAPCE2,11,"...","   Gasoline and other energy goods ","Dollars",497,439,463,572,551,514,609,728,875,966,1034,1171,872,996,1159,1131,1121,1081,832,743,824,893,838,621,889,1160
 "25000","Massachusetts",1,SAPCE2,12,"...","   Other nondurable goods ","Dollars",1823,1953,2118,2267,2384,2491,2610,2755,2893,3027,3077,3082,3070,3119,3177,3180,3216,3329,3468,3545,3711,3824,4038,4268,4640,5048
 "25000","Massachusetts",1,SAPCE2,13,"..."," Services ","Dollars",16179,17287,18157,19547,20653,21440,22748,23974,25331,26957,27920,28973,28937,29687,30444,31038,31726,32809,34069,35172,36561,38051,39228,37192,41388,45024
 "25000","Massachusetts",1,SAPCE2,14,"...","  Household consumption expenditures (for services) ","Dollars",15611,16593,17406,18742,19706,20393,21638,22836,24122,25561,26600,27520,27433,28189,28849,29265,29941,31016,32271,33308,34656,36017,37205,34982,39186,42543
 "25000","Massachusetts",1,SAPCE2,15,"...","   Housing and utilities ","Dollars",4075,4259,4454,4710,5027,5155,5383,5655,6063,6449,6566,6935,7076,7188,7335,7349,7630,7815,7979,8185,8514,8938,9269,9906,10433,11315
 "25000","Massachusetts",1,SAPCE2,16,"...","   Health care ","Dollars",3945,4155,4188,4425,4758,5119,5503,5841,6161,6557,7001,7321,7587,7793,7851,7941,7971,8176,8550,8936,9068,9239,9637,9101,10141,10491
 "25000","Massachusetts",1,SAPCE2,17,"...","   Transportation services ","Dollars",1006,1077,1158,1246,1226,1167,1217,1283,1314,1357,1393,1414,1391,1438,1550,1600,1721,1855,1916,2001,2074,2214,2300,1467,1946,2488
 "25000","Massachusetts",1,SAPCE2,18,"...","   Recreation services ","Dollars",854,917,1002,1085,1150,1163,1252,1324,1381,1510,1577,1659,1619,1696,1718,1785,1835,1903,2074,2196,2341,2406,2490,1872,2283,2584
 "25000","Massachusetts",1,SAPCE2,19,"...","   Food services and accommodations ","Dollars",1546,1639,1706,1828,1870,1915,2017,2152,2250,2360,2455,2528,2481,2561,2666,2772,2857,2973,3155,3289,3423,3534,3718,2804,3616,4384
 "25000","Massachusetts",1,SAPCE2,20,"...","   Financial services and insurance ","Dollars",2313,2504,2719,3041,2998,3077,3277,3472,3722,3824,3930,3887,3510,3696,3875,3901,4045,4244,4419,4352,4675,4908,4883,4988,5383,5430
 "25000","Massachusetts",1,SAPCE2,21,"...","   Other services ","Dollars",1873,2041,2178,2406,2676,2797,2988,3110,3232,3505,3680,3776,3769,3816,3854,3917,3882,4050,4178,4350,4562,4778,4908,4845,5384,5850
 "25000","Massachusetts",1,SAPCE2,22,"...","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) ","Dollars",568,694,752,805,947,1047,1110,1138,1209,1395,1319,1453,1504,1498,1595,1774,1785,1793,1798,1864,1905,2034,2023,2210,2202,2481
 "25000","Massachusetts",1,SAPCE2,23,"...","   Gross output of nonprofit institutions ","Dollars",2397,2577,2693,2816,3125,3418,3642,3879,4151,4508,4554,4764,4948,5069,5232,5535,5574,5689,5719,5879,5942,6102,6297,6313,6744,7120
 "25000","Massachusetts",1,SAPCE2,24,"...","   Less: Receipts from sales of goods and services by nonprofit institutions ","Dollars",1828,1883,1942,2011,2177,2371,2532,2741,2942,3113,3235,3311,3444,3571,3637,3761,3789,3896,3921,4015,4037,4068,4275,4103,4543,4639
"Note: See the included footnote file."
"SAPCE2: Per capita personal consumption expenditures (PCE) by major type of product 1/"
"Last updated: October 4, 2023-- new statistics for 2022; revised statistics for 1997-2021."
"U.S. Bureau of Economic Analysis"
