GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "92000","Mideast",2,SAPCE2,1,"...","Per capita personal consumption expenditures ","Dollars",21485,22665,24048,25705,26744,27704,29166,30829,32652,34308,35787,36811,36250,37400,38535,39323,40216,41550,42497,43538,45005,46940,48343,46801,52278,57134
 "92000","Mideast",2,SAPCE2,2,"..."," Goods ","Dollars",7308,7614,8189,8721,8985,9252,9699,10236,10762,11231,11596,11572,11003,11418,11958,12184,12392,12726,12809,12886,13268,13796,14198,14428,16636,18069
 "92000","Mideast",2,SAPCE2,3,"...","  Durable goods ","Dollars",2436,2618,2848,3037,3146,3312,3458,3656,3764,3848,3953,3717,3463,3575,3702,3787,3865,3943,4026,4056,4148,4332,4443,4611,5600,5935
 "92000","Mideast",2,SAPCE2,4,"...","   Motor vehicles and parts ","Dollars",924,987,1063,1104,1165,1232,1258,1282,1253,1187,1204,1047,990,1067,1120,1187,1238,1294,1377,1377,1417,1457,1438,1384,1743,1824
 "92000","Mideast",2,SAPCE2,5,"...","   Furnishings and durable household equipment ","Dollars",575,614,678,738,769,808,837,904,953,993,994,945,850,857,872,881,897,918,953,983,1014,1052,1093,1140,1362,1446
 "92000","Mideast",2,SAPCE2,6,"...","   Recreational goods and vehicles ","Dollars",598,653,710,769,795,835,898,975,1036,1103,1159,1139,1057,1064,1087,1087,1089,1081,1046,1057,1083,1173,1244,1462,1707,1836
 "92000","Mideast",2,SAPCE2,7,"...","   Other durable goods ","Dollars",339,363,398,426,418,438,466,496,522,564,597,586,566,587,624,633,641,650,651,639,634,650,669,625,788,829
 "92000","Mideast",2,SAPCE2,8,"...","  Nondurable goods ","Dollars",4872,4996,5341,5683,5839,5940,6240,6580,6997,7383,7644,7855,7540,7843,8256,8396,8527,8783,8782,8830,9120,9464,9754,9817,11036,12134
 "92000","Mideast",2,SAPCE2,9,"...","   Food and beverages purchased for off-premises consumption ","Dollars",1679,1709,1794,1872,1944,1979,2070,2152,2272,2359,2456,2551,2546,2598,2667,2718,2772,2876,2920,2959,3066,3144,3245,3536,3807,4129
 "92000","Mideast",2,SAPCE2,10,"...","   Clothing and footwear ","Dollars",1042,1075,1130,1160,1133,1129,1146,1172,1212,1251,1252,1221,1164,1208,1269,1299,1314,1356,1383,1408,1420,1439,1454,1198,1538,1638
 "92000","Mideast",2,SAPCE2,11,"...","   Gasoline and other energy goods ","Dollars",461,395,426,531,515,482,577,689,827,927,999,1127,836,959,1149,1143,1132,1094,855,762,841,942,906,663,981,1293
 "92000","Mideast",2,SAPCE2,12,"...","   Other nondurable goods ","Dollars",1690,1816,1991,2121,2246,2350,2447,2567,2686,2847,2937,2956,2993,3079,3171,3237,3308,3457,3624,3701,3793,3939,4150,4421,4710,5075
 "92000","Mideast",2,SAPCE2,13,"..."," Services ","Dollars",14177,15052,15859,16984,17759,18452,19468,20592,21890,23077,24191,25239,25248,25982,26577,27139,27824,28823,29688,30652,31737,33144,34146,32373,35642,39065
 "92000","Mideast",2,SAPCE2,14,"...","  Household consumption expenditures (for services) ","Dollars",13627,14405,15159,16200,16878,17488,18449,19540,20753,21817,22890,23756,23760,24464,24995,25440,26117,27091,27912,28778,29838,31119,32137,30151,33507,36579
 "92000","Mideast",2,SAPCE2,15,"...","   Housing and utilities ","Dollars",3898,4079,4264,4512,4817,4953,5165,5412,5801,6039,6310,6705,6832,6963,7028,7110,7309,7467,7530,7673,7846,8157,8368,8822,9369,10121
 "92000","Mideast",2,SAPCE2,16,"...","   Health care ","Dollars",3295,3439,3550,3727,3991,4292,4554,4846,5090,5322,5581,5793,6007,6205,6342,6461,6584,6820,7092,7440,7679,8034,8448,8132,8893,9384
 "92000","Mideast",2,SAPCE2,17,"...","   Transportation services ","Dollars",795,842,887,954,959,930,956,999,1028,1065,1087,1110,1073,1104,1173,1204,1278,1358,1403,1443,1503,1587,1648,1113,1429,1756
 "92000","Mideast",2,SAPCE2,18,"...","   Recreation services ","Dollars",755,789,841,890,915,955,1011,1082,1137,1209,1282,1326,1335,1381,1375,1430,1480,1541,1610,1689,1747,1787,1844,1405,1719,1956
 "92000","Mideast",2,SAPCE2,19,"...","   Food services and accommodations ","Dollars",1207,1259,1327,1424,1443,1494,1578,1693,1805,1927,2037,2106,2073,2160,2262,2364,2440,2561,2701,2804,2940,3074,3200,2356,3052,3697
 "92000","Mideast",2,SAPCE2,20,"...","   Financial services and insurance ","Dollars",1663,1826,1989,2223,2142,2153,2275,2447,2678,2839,3017,3058,2802,2959,3090,3121,3247,3401,3512,3507,3734,3877,3824,3860,4112,4180
 "92000","Mideast",2,SAPCE2,21,"...","   Other services ","Dollars",2014,2171,2301,2471,2613,2710,2908,3062,3213,3416,3576,3659,3638,3692,3725,3750,3778,3943,4063,4222,4388,4602,4805,4463,4932,5486
