GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "34000","New Jersey",2,SAPCE2,1,"...","Per capita personal consumption expenditures ","Dollars",23558,24883,26359,28193,29466,30708,32338,34080,35947,37750,39189,40170,39123,40043,40789,41742,42463,43685,44533,45607,46736,48411,50009,48875,55472,60082
 "34000","New Jersey",2,SAPCE2,2,"..."," Goods ","Dollars",8339,8699,9359,10017,10394,10738,11223,11750,12303,12926,13290,13056,12289,12666,13176,13364,13577,13889,13986,13953,14204,14662,15141,15361,18210,19368
 "34000","New Jersey",2,SAPCE2,3,"...","  Durable goods ","Dollars",2801,3018,3296,3531,3679,3896,4055,4236,4385,4600,4601,4290,3950,4060,4163,4218,4342,4392,4470,4441,4505,4664,4812,4910,6090,6407
 "34000","New Jersey",2,SAPCE2,4,"...","   Motor vehicles and parts ","Dollars",1027,1084,1162,1222,1297,1379,1387,1408,1370,1316,1327,1167,1088,1194,1273,1357,1423,1454,1519,1499,1507,1540,1512,1455,1822,1950
 "34000","New Jersey",2,SAPCE2,5,"...","   Furnishings and durable household equipment ","Dollars",662,717,804,879,917,951,1006,1062,1138,1241,1157,1081,960,963,958,956,979,1001,1036,1078,1119,1181,1256,1308,1572,1654
 "34000","New Jersey",2,SAPCE2,6,"...","   Recreational goods and vehicles ","Dollars",702,777,840,895,937,999,1065,1136,1225,1344,1383,1327,1218,1206,1206,1169,1200,1184,1149,1129,1161,1208,1278,1441,1746,1837
 "34000","New Jersey",2,SAPCE2,7,"...","   Other durable goods ","Dollars",411,440,490,535,529,567,596,630,652,699,735,715,684,697,725,736,739,754,766,735,718,734,765,706,949,965
 "34000","New Jersey",2,SAPCE2,8,"...","  Nondurable goods ","Dollars",5538,5680,6063,6485,6715,6842,7168,7514,7917,8325,8689,8766,8339,8606,9013,9146,9235,9497,9516,9512,9699,9998,10330,10451,12120,12961
 "34000","New Jersey",2,SAPCE2,9,"...","   Food and beverages purchased for off-premises consumption ","Dollars",1893,1949,2068,2174,2279,2333,2426,2548,2643,2724,2839,2916,2873,2915,2973,2987,3023,3113,3179,3209,3287,3355,3487,3813,4074,4280
 "34000","New Jersey",2,SAPCE2,10,"...","   Clothing and footwear ","Dollars",1278,1291,1348,1390,1348,1354,1364,1381,1422,1456,1486,1429,1352,1386,1415,1473,1496,1551,1584,1596,1594,1618,1632,1293,1757,1868
 "34000","New Jersey",2,SAPCE2,11,"...","   Gasoline and other energy goods ","Dollars",498,423,441,531,526,475,582,693,856,986,1087,1204,891,1012,1250,1267,1256,1214,946,821,886,940,901,672,1025,1340
 "34000","New Jersey",2,SAPCE2,12,"...","   Other nondurable goods ","Dollars",1869,2017,2207,2391,2562,2681,2796,2893,2996,3159,3276,3217,3223,3294,3375,3420,3460,3619,3807,3886,3931,4085,4310,4673,5265,5473
 "34000","New Jersey",2,SAPCE2,13,"..."," Services ","Dollars",15218,16185,17000,18176,19072,19970,21115,22330,23644,24824,25899,27114,26834,27377,27613,28378,28886,29796,30547,31654,32533,33749,34868,33514,37261,40715
 "34000","New Jersey",2,SAPCE2,14,"...","  Household consumption expenditures (for services) ","Dollars",14458,15325,16093,17149,17943,18717,19719,20852,22017,23026,24048,25010,24698,25163,25302,25925,26361,27219,27890,28801,29617,30759,31777,30291,34024,36998
 "34000","New Jersey",2,SAPCE2,15,"...","   Housing and utilities ","Dollars",4526,4734,4947,5228,5574,5737,5998,6301,6729,6977,7295,7849,7802,7932,7824,8039,8209,8330,8291,8504,8587,8934,9171,9507,10158,10928
 "34000","New Jersey",2,SAPCE2,16,"...","   Health care ","Dollars",3131,3290,3399,3551,3758,4107,4358,4606,4821,5008,5277,5532,5727,5814,5875,6127,6211,6476,6816,7203,7417,7608,7994,7646,8415,8929
 "34000","New Jersey",2,SAPCE2,17,"...","   Transportation services ","Dollars",942,1013,1048,1119,1139,1118,1129,1150,1173,1219,1215,1215,1142,1154,1223,1246,1325,1382,1376,1421,1452,1507,1558,1043,1360,1687
 "34000","New Jersey",2,SAPCE2,18,"...","   Recreation services ","Dollars",869,901,971,1010,1086,1172,1222,1291,1345,1429,1527,1567,1541,1577,1581,1628,1652,1699,1756,1821,1872,1927,1981,1576,1927,2177
 "34000","New Jersey",2,SAPCE2,19,"...","   Food services and accommodations ","Dollars",1226,1264,1309,1381,1429,1494,1588,1685,1780,1907,1966,2008,1962,2016,2064,2139,2217,2329,2437,2529,2616,2746,2851,2300,3057,3662
 "34000","New Jersey",2,SAPCE2,20,"...","   Financial services and insurance ","Dollars",1966,2155,2326,2598,2517,2541,2679,2899,3129,3276,3420,3428,3104,3236,3315,3272,3337,3469,3601,3562,3840,4012,4013,4058,4351,4407
 "34000","New Jersey",2,SAPCE2,21,"...","   Other services ","Dollars",1797,1967,2093,2262,2440,2550,2745,2919,3040,3209,3347,3411,3420,3433,3420,3475,3408,3535,3613,3762,3834,4026,4210,4161,4755,5209
 "34000","New Jersey",2,SAPCE2,22,"...","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) ","Dollars",760,860,907,1027,1129,1253,1396,1478,1627,1798,1851,2104,2137,2215,2311,2453,2525,2576,2657,2853,2915,2990,3090,3223,3238,3716
 "34000","New Jersey",2,SAPCE2,23,"...","   Gross output of nonprofit institutions ","Dollars",2861,3063,3174,3403,3650,3987,4291,4628,4976,5311,5470,5751,5894,6037,6134,6321,6490,6650,6923,7310,7445,7707,8025,8022,8437,9183
 "34000","New Jersey",2,SAPCE2,24,"...","   Less: Receipts from sales of goods and services by nonprofit institutions ","Dollars",2101,2203,2267,2376,2521,2734,2895,3150,3349,3513,3619,3647,3758,3822,3822,3868,3965,4074,4266,4457,4530,4717,4934,4799,5199,5467
"Note: See the included footnote file."
"SAPCE2: Per capita personal consumption expenditures (PCE) by major type of product 1/"
"Last updated: October 4, 2023-- new statistics for 2022; revised statistics for 1997-2021."
"U.S. Bureau of Economic Analysis"
