GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "36000","New York",2,SAPCE2,1,"...","Per capita personal consumption expenditures ","Dollars",20405,21592,22961,24536,25420,26282,27657,29350,31331,33138,34774,35849,35509,36723,38014,38847,39977,41736,42749,43996,45811,47925,49614,47813,53354,58571
 "36000","New York",2,SAPCE2,2,"..."," Goods ","Dollars",6365,6657,7195,7656,7888,8153,8532,9079,9690,10180,10610,10669,10158,10595,11165,11411,11721,12202,12318,12410,12900,13472,13975,14117,16038,17438
 "36000","New York",2,SAPCE2,3,"...","  Durable goods ","Dollars",1947,2105,2304,2478,2555,2698,2839,3037,3178,3284,3481,3330,3079,3165,3293,3364,3474,3598,3647,3686,3795,3965,4061,4166,5062,5394
 "36000","New York",2,SAPCE2,4,"...","   Motor vehicles and parts ","Dollars",696,747,808,842,891,948,989,1010,1006,959,982,859,809,857,898,944,988,1042,1109,1119,1170,1209,1193,1146,1490,1561
 "36000","New York",2,SAPCE2,5,"...","   Furnishings and durable household equipment ","Dollars",510,549,611,671,700,738,756,824,866,901,946,917,826,838,864,873,897,925,955,976,1006,1045,1085,1114,1325,1397
 "36000","New York",2,SAPCE2,6,"...","   Recreational goods and vehicles ","Dollars",456,503,551,607,612,644,699,775,843,909,998,1004,916,917,932,934,956,978,941,957,987,1053,1104,1278,1478,1621
 "36000","New York",2,SAPCE2,7,"...","   Other durable goods ","Dollars",286,306,334,357,352,368,396,428,463,515,556,550,527,554,599,612,634,652,643,633,633,657,679,628,770,815
 "36000","New York",2,SAPCE2,8,"...","  Nondurable goods ","Dollars",4418,4552,4891,5178,5332,5454,5693,6042,6512,6896,7129,7339,7079,7430,7872,8047,8246,8604,8671,8725,9105,9507,9914,9951,10975,12044
 "36000","New York",2,SAPCE2,9,"...","   Food and beverages purchased for off-premises consumption ","Dollars",1484,1504,1573,1626,1699,1738,1799,1887,2047,2121,2201,2287,2301,2377,2467,2539,2618,2756,2781,2812,2962,3062,3174,3478,3778,4119
 "36000","New York",2,SAPCE2,10,"...","   Clothing and footwear ","Dollars",1011,1045,1107,1139,1113,1115,1133,1169,1218,1287,1285,1259,1188,1255,1352,1389,1402,1441,1474,1503,1519,1552,1592,1290,1610,1700
 "36000","New York",2,SAPCE2,11,"...","   Gasoline and other energy goods ","Dollars",340,292,317,403,387,365,435,509,607,678,729,839,616,709,849,823,817,789,616,540,611,692,668,475,698,942
 "36000","New York",2,SAPCE2,12,"...","   Other nondurable goods ","Dollars",1583,1712,1895,2011,2133,2237,2326,2477,2641,2809,2914,2954,2973,3090,3203,3295,3410,3618,3800,3869,4012,4201,4481,4708,4889,5282
 "36000","New York",2,SAPCE2,13,"..."," Services ","Dollars",14040,14935,15767,16880,17532,18129,19125,20271,21641,22958,24164,25180,25352,26128,26849,27436,28256,29534,30431,31586,32910,34453,35638,33695,37317,41133
 "36000","New York",2,SAPCE2,14,"...","  Household consumption expenditures (for services) ","Dollars",13553,14343,15135,16168,16728,17246,18207,19307,20590,21816,23000,23835,23994,24741,25397,25825,26652,27908,28747,29824,31130,32506,33775,31611,35370,38821
