GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "51000","Virginia",5,SAPCE2,1,"...","Per capita personal consumption expenditures ","Dollars",20721,21809,23245,24772,25688,26744,28112,29888,31765,33267,34647,35537,34817,35834,36761,37422,37935,38807,39389,40164,41093,42644,43669,42913,48003,52057
 "51000","Virginia",5,SAPCE2,2,"..."," Goods ","Dollars",7826,8171,8870,9388,9516,9795,10224,10898,11511,11958,12146,12086,11346,11723,12278,12505,12619,12768,12795,12893,13328,13810,14076,14688,16814,18001
 "51000","Virginia",5,SAPCE2,3,"...","  Durable goods ","Dollars",2756,2994,3279,3460,3509,3685,3817,4118,4290,4337,4315,3980,3664,3757,3871,3983,4074,4135,4285,4345,4448,4647,4750,5108,6092,6338
 "51000","Virginia",5,SAPCE2,4,"...","   Motor vehicles and parts ","Dollars",1118,1205,1297,1364,1426,1491,1518,1600,1590,1504,1509,1294,1193,1273,1306,1384,1431,1485,1579,1625,1659,1702,1676,1658,2046,2086
 "51000","Virginia",5,SAPCE2,5,"...","   Furnishings and durable household equipment ","Dollars",653,699,776,812,841,905,941,1020,1076,1087,1057,972,871,867,884,900,918,932,978,997,1024,1053,1065,1192,1353,1411
 "51000","Virginia",5,SAPCE2,6,"...","   Recreational goods and vehicles ","Dollars",624,705,781,842,810,840,876,973,1073,1144,1119,1094,1002,999,1035,1039,1066,1056,1058,1068,1122,1229,1330,1592,1851,1970
 "51000","Virginia",5,SAPCE2,7,"...","   Other durable goods ","Dollars",361,386,425,441,432,449,481,524,551,602,631,620,598,619,646,659,660,661,669,655,644,663,678,666,842,871
 "51000","Virginia",5,SAPCE2,8,"...","  Nondurable goods ","Dollars",5070,5177,5591,5928,6007,6109,6407,6780,7221,7621,7831,8106,7682,7966,8407,8522,8546,8633,8510,8548,8880,9163,9326,9580,10722,11663
 "51000","Virginia",5,SAPCE2,9,"...","   Food and beverages purchased for off-premises consumption ","Dollars",1768,1796,1895,1979,2024,2077,2128,2215,2329,2431,2518,2619,2614,2654,2735,2809,2819,2872,2942,3049,3189,3255,3344,3686,3949,4258
 "51000","Virginia",5,SAPCE2,10,"...","   Clothing and footwear ","Dollars",991,1028,1088,1094,1076,1074,1102,1155,1182,1214,1194,1161,1104,1135,1153,1172,1177,1193,1215,1234,1226,1233,1231,1108,1405,1466
 "51000","Virginia",5,SAPCE2,11,"...","   Gasoline and other energy goods ","Dollars",616,557,619,775,750,707,830,964,1174,1299,1374,1541,1121,1297,1529,1518,1483,1416,1071,939,1055,1176,1118,819,1177,1513
 "51000","Virginia",5,SAPCE2,12,"...","   Other nondurable goods ","Dollars",1697,1796,1989,2080,2157,2251,2346,2446,2536,2676,2745,2785,2843,2879,2990,3023,3067,3152,3282,3327,3410,3499,3633,3967,4191,4425
 "51000","Virginia",5,SAPCE2,13,"..."," Services ","Dollars",12895,13638,14375,15384,16173,16949,17888,18990,20254,21309,22501,23451,23472,24111,24483,24917,25316,26039,26594,27271,27764,28834,29593,28224,31190,34056
 "51000","Virginia",5,SAPCE2,14,"...","  Household consumption expenditures (for services) ","Dollars",12739,13426,14141,15126,15876,16596,17508,18626,19881,20854,22033,22805,22827,23443,23784,24122,24574,25275,25854,26461,26986,27962,28785,27113,30324,32982
 "51000","Virginia",5,SAPCE2,15,"...","   Housing and utilities ","Dollars",4110,4298,4472,4703,4992,5126,5326,5564,5911,6202,6619,6955,7031,7218,7179,7180,7474,7603,7627,7676,7777,8113,8238,8511,9025,9619
 "51000","Virginia",5,SAPCE2,16,"...","   Health care ","Dollars",2465,2567,2667,2836,3049,3313,3530,3775,4018,4182,4453,4682,4901,5033,5199,5378,5430,5607,5802,6021,6102,6326,6697,6290,7052,7566
 "51000","Virginia",5,SAPCE2,17,"...","   Transportation services ","Dollars",683,723,789,840,827,806,851,906,953,971,981,977,947,974,1047,1079,1118,1146,1178,1222,1250,1290,1352,1004,1236,1478
 "51000","Virginia",5,SAPCE2,18,"...","   Recreation services ","Dollars",945,1031,1120,1225,1288,1415,1491,1602,1723,1844,1928,1971,1977,2051,2021,2078,2033,2071,2106,2168,2185,2270,2296,1818,2217,2503
 "51000","Virginia",5,SAPCE2,19,"...","   Food services and accommodations ","Dollars",1331,1372,1438,1546,1579,1623,1733,1875,2005,2123,2202,2256,2221,2275,2354,2428,2465,2556,2680,2752,2827,2910,2990,2454,3060,3561
 "51000","Virginia",5,SAPCE2,20,"...","   Financial services and insurance ","Dollars",1367,1461,1550,1705,1648,1678,1791,1926,2104,2244,2387,2438,2258,2379,2459,2482,2550,2654,2721,2763,2878,2949,2953,2965,3191,3300
 "51000","Virginia",5,SAPCE2,21,"...","   Other services ","Dollars",1838,1974,2104,2271,2493,2635,2786,2978,3168,3287,3462,3526,3494,3512,3525,3498,3504,3639,3740,3859,3967,4104,4260,4071,4543,4955
 "51000","Virginia",5,SAPCE2,22,"...","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) ","Dollars",155,212,234,258,297,352,380,365,373,456,468,647,644,668,698,796,742,764,740,810,778,872,808,1111,865,1074
 "51000","Virginia",5,SAPCE2,23,"...","   Gross output of nonprofit institutions ","Dollars",1576,1745,1802,1877,2018,2213,2390,2522,2679,2845,2984,3246,3358,3467,3566,3735,3774,3864,3978,4212,4294,4484,4589,4687,4856,5278
 "51000","Virginia",5,SAPCE2,24,"...","   Less: Receipts from sales of goods and services by nonprofit institutions ","Dollars",1421,1532,1568,1620,1721,1861,2010,2157,2306,2389,2516,2599,2714,2799,2868,2940,3032,3100,3239,3403,3516,3612,3780,3576,3990,4204
"Note: See the included footnote file."
"SAPCE2: Per capita personal consumption expenditures (PCE) by major type of product 1/"
"Last updated: October 4, 2023-- new statistics for 2022; revised statistics for 1997-2021."
"U.S. Bureau of Economic Analysis"
