GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "06000","California",8,SAPCE3,1,"...","Personal consumption expenditures ","Millions of current dollars",681820.9,722322.0,776324.7,844374.3,886833.1,924960.4,975445.5,1041764.2,1114921.0,1186034.5,1256410.5,1295036.3,1253678.5,1297976.1,1354341.6,1409173.4,1453927.1,1522216.3,1595724.1,1665899.0,1752123.2,1856117.3,1938018.7,1885028.5,2146539.4,2352361.6
 "06000","California",8,SAPCE3,2,"..."," Goods ","Millions of current dollars",224126.9,237362.4,260734.0,287618.0,299077.8,312031.9,326318.3,349329.1,370540.4,388294.8,402563.5,394224.5,360242.9,376922.9,400567.8,418651.8,428445.0,447028.4,462418.8,471875.3,494933.6,522469.8,539652.4,555740.5,658097.2,722462.1
 "06000","California",8,SAPCE3,3,"...","  Durable goods ","Millions of current dollars",81121.1,90335.7,101814.7,113290.1,118545.1,124816.1,128728.6,137577.8,145438.6,149470.4,150545.7,135532.2,119648.2,123966.8,129348.0,136883.0,140506.4,146561.7,155688.4,158634.0,165674.6,175741.6,179154.0,188046.8,235375.2,251771.7
 "06000","California",8,SAPCE3,4,"...","   Motor vehicles and parts ","Millions of current dollars",27391.4,31216.2,35694.0,38083.9,41007.8,43952.3,44153.6,45680.7,46987.5,45106.1,43530.8,35933.2,30781.1,32287.7,35193.7,39545.9,42208.4,44975.8,49270.4,51352.4,54087.1,54730.8,52720.1,50590.0,66628.2,70326.4
 "06000","California",8,SAPCE3,5,"...","    New motor vehicles ","Millions of current dollars",16702.6,19327.4,22554.3,24347.0,26921.0,29296.5,30172.0,30781.1,31311.9,29490.5,28112.3,21759.3,18026.0,19082.6,22113.4,26078.6,27544.8,28982.6,30714.0,30923.2,31976.5,31929.4,30961.6,30215.2,37868.9,40672.0
 "06000","California",8,SAPCE3,6,"...","    Net purchases of used motor vehicles ","Millions of current dollars",6966.8,8022.1,9000.9,9321.1,9603.1,10290.1,9434.8,10008.2,10340.0,10077.2,9731.5,8651.8,7719.4,7942.2,7438.5,7624.0,8405.7,9376.9,11358.0,12630.2,13831.0,14452.0,13319.0,11982.9,18467.3,18401.7
 "06000","California",8,SAPCE3,7,"...","    Motor vehicle parts and accessories ","Millions of current dollars",3722.0,3866.8,4138.8,4415.8,4483.8,4365.6,4546.8,4891.4,5335.6,5538.4,5687.0,5522.1,5035.7,5262.9,5641.8,5843.3,6257.9,6616.3,7198.4,7799.0,8279.6,8349.4,8439.6,8391.9,10292.0,11252.8
 "06000","California",8,SAPCE3,8,"...","   Furnishings and durable household equipment ","Millions of current dollars",17754.3,19532.2,22221.3,25320.0,27038.9,28307.2,29604.1,31903.7,34220.6,35917.8,35544.5,31866.7,28538.7,29197.8,29839.3,30311.2,31094.7,32574.4,34892.3,35927.1,37546.0,40600.0,41049.5,43949.2,53715.1,57789.8
 "06000","California",8,SAPCE3,9,"...","    Furniture and furnishings ","Millions of current dollars",9732.3,10670.8,12166.2,13929.5,14854.2,15523.8,16416.0,17980.6,19438.9,20540.7,20517.5,17982.3,15938.9,16303.9,16928.3,17014.8,17172.4,18057.5,19594.8,20070.6,20996.5,23133.3,23303.2,24367.9,30648.4,33039.5
 "06000","California",8,SAPCE3,10,"...","    Household appliances ","Millions of current dollars",3448.0,3789.9,4241.1,4841.9,4987.5,5015.9,5103.5,5372.0,5783.1,6056.1,5950.0,5600.7,4889.8,5170.3,5388.7,5929.0,6291.1,6606.6,6974.1,7198.2,7461.9,7865.1,8030.3,8777.8,10379.9,10904.0
