GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "11000","District of Columbia",2,SAPCE3,1,"...","Personal consumption expenditures ","Millions of current dollars",19385.9,19936.5,21239.0,22598.2,23350.2,24355.2,25661.4,27467.8,29000.6,30639.4,32114.9,33389.8,32788.1,34550.3,35991.9,37299.0,38960.6,40640.2,42193.0,43503.2,45283.3,47906.0,49573.5,46913.2,52905.0,57595.3
 "11000","District of Columbia",2,SAPCE3,2,"..."," Goods ","Millions of current dollars",6319.7,6167.7,6523.7,6803.9,6981.3,7192.4,7658.7,8179.6,8545.1,8894.1,9132.1,9063.0,8563.6,8955.5,9449.3,9893.2,10497.0,10905.7,11421.0,11831.0,12529.7,13313.3,13916.5,13890.8,15799.0,17118.6
 "11000","District of Columbia",2,SAPCE3,3,"...","  Durable goods ","Millions of current dollars",1856.2,1970.0,2134.1,2258.2,2367.6,2564.8,2705.5,2829.0,2878.1,2924.6,3004.8,2742.3,2557.1,2654.7,2795.0,2850.6,2987.5,3099.3,3252.4,3458.6,3732.8,4051.1,4276.5,4649.0,5546.8,5861.2
 "11000","District of Columbia",2,SAPCE3,4,"...","   Motor vehicles and parts ","Millions of current dollars",790.8,810.3,847.7,898.7,928.8,982.8,1000.6,1016.7,1000.5,947.8,967.7,813.6,775.9,852.4,868.3,936.1,968.1,1016.9,1117.8,1149.0,1195.8,1252.5,1257.9,1232.3,1556.0,1612.4
 "11000","District of Columbia",2,SAPCE3,5,"...","    New motor vehicles ","Millions of current dollars",390.0,411.5,464.1,506.6,542.4,562.3,594.1,596.5,575.2,527.3,528.8,408.1,375.0,422.5,467.5,531.0,543.1,563.8,593.5,583.4,588.9,604.4,611.0,613.9,714.0,757.2
 "11000","District of Columbia",2,SAPCE3,6,"...","    Net purchases of used motor vehicles ","Millions of current dollars",252.8,269.8,299.0,315.6,314.2,320.1,297.5,308.0,305.0,296.3,306.1,275.6,278.5,297.5,262.0,261.8,276.4,299.4,355.6,390.4,423.3,463.6,459.7,437.9,635.2,624.4
 "11000","District of Columbia",2,SAPCE3,7,"...","    Motor vehicle parts and accessories ","Millions of current dollars",147.9,129.0,84.6,76.5,72.2,100.4,109.0,112.2,120.3,124.2,132.8,129.9,122.4,132.4,138.8,143.3,148.5,153.7,168.7,175.2,183.6,184.5,187.3,180.4,206.9,230.8
 "11000","District of Columbia",2,SAPCE3,8,"...","   Furnishings and durable household equipment ","Millions of current dollars",392.5,420.1,484.0,522.2,513.2,521.0,554.8,620.5,672.3,717.5,688.4,636.7,545.6,535.9,592.3,629.4,682.9,743.7,780.5,847.2,877.6,928.9,977.7,999.4,1112.8,1160.1
 "11000","District of Columbia",2,SAPCE3,9,"...","    Furniture and furnishings ","Millions of current dollars",219.9,234.0,275.6,311.5,314.7,313.3,325.4,367.1,411.2,446.9,443.1,416.8,347.0,339.0,373.3,393.0,407.8,433.3,460.1,493.6,507.8,539.2,577.4,580.5,667.6,695.3
 "11000","District of Columbia",2,SAPCE3,10,"...","    Household appliances ","Millions of current dollars",42.1,46.6,51.5,49.0,47.2,52.3,60.4,67.7,70.3,73.4,66.6,63.9,58.2,60.3,71.7,80.1,108.0,128.1,131.5,150.5,153.8,168.7,175.3,181.2,190.3,198.4
