GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "16000","Idaho",7,SAPCE3,1,"...","Personal consumption expenditures ","Millions of current dollars",21400.6,22579.8,24178.3,26126.5,27315.3,28411.8,30199.6,32418.9,35258.5,38332.4,41044.6,41871.2,40641.4,41809.5,43554.9,44975.4,47257.8,49478.7,50824.9,53613.5,56744.1,60086.6,62636.7,64146.6,75485.0,84364.2
 "16000","Idaho",7,SAPCE3,2,"..."," Goods ","Millions of current dollars",8512.4,8779.4,9455.7,10183.9,10401.5,10590.2,11414.6,12437.1,13797.8,15108.6,16040.0,15902.2,14617.3,15097.6,15864.6,16488.7,17386.4,18328.5,18731.9,19679.1,20727.2,21720.4,22085.5,23897.8,29157.4,32511.3
 "16000","Idaho",7,SAPCE3,3,"...","  Durable goods ","Millions of current dollars",3095.0,3312.2,3563.5,3739.5,3814.6,3976.8,4238.4,4706.2,5241.8,5565.4,5823.2,5266.9,4700.0,4739.4,4864.0,5108.0,5559.1,5981.8,6631.3,7141.1,7723.2,8136.4,8299.7,9522.1,12244.6,13207.8
 "16000","Idaho",7,SAPCE3,4,"...","   Motor vehicles and parts ","Millions of current dollars",1244.4,1330.3,1399.6,1382.1,1443.2,1550.1,1604.2,1712.4,1789.3,1834.8,1961.8,1633.9,1449.4,1509.6,1560.5,1687.7,1869.9,2074.3,2371.6,2560.8,2864.5,3031.4,2988.4,3228.2,4138.9,4409.3
 "16000","Idaho",7,SAPCE3,5,"...","    New motor vehicles ","Millions of current dollars",609.0,662.7,707.9,710.3,776.4,851.9,919.6,962.9,975.5,958.3,1014.4,755.7,643.7,693.2,767.7,872.1,971.4,1082.0,1214.4,1268.6,1407.5,1469.9,1461.0,1631.7,1959.0,2130.4
 "16000","Idaho",7,SAPCE3,6,"...","    Net purchases of used motor vehicles ","Millions of current dollars",425.9,458.1,473.2,456.4,450.8,476.4,446.0,483.7,509.2,537.7,577.1,514.3,468.6,469.4,417.2,418.7,479.3,550.5,683.4,782.4,912.4,992.5,942.0,971.5,1430.4,1439.6
 "16000","Idaho",7,SAPCE3,7,"...","    Motor vehicle parts and accessories ","Millions of current dollars",209.4,209.5,218.5,215.5,216.0,221.8,238.5,265.8,304.6,338.9,370.2,363.8,337.0,347.1,375.5,396.9,419.2,441.8,473.8,509.8,544.6,569.0,585.4,625.0,749.5,839.3
 "16000","Idaho",7,SAPCE3,8,"...","   Furnishings and durable household equipment ","Millions of current dollars",618.1,663.9,741.5,837.7,849.0,874.3,915.6,1027.4,1205.0,1324.2,1307.0,1207.0,1052.8,1040.4,1040.6,1080.6,1156.2,1223.7,1323.6,1394.8,1476.3,1586.8,1698.0,1960.1,2378.6,2626.1
 "16000","Idaho",7,SAPCE3,9,"...","    Furniture and furnishings ","Millions of current dollars",330.0,356.9,402.5,454.4,462.1,481.6,504.8,568.3,677.2,766.0,765.5,696.3,596.8,589.8,586.3,607.1,631.1,657.8,706.3,748.6,786.0,848.1,924.7,1066.3,1315.9,1449.6
 "16000","Idaho",7,SAPCE3,10,"...","    Household appliances ","Millions of current dollars",115.0,122.0,139.0,158.2,160.0,167.4,178.9,200.5,233.6,245.4,244.7,234.4,219.5,222.2,228.6,237.8,262.1,280.8,302.3,309.9,321.3,338.1,350.5,396.7,484.2,520.7
 "16000","Idaho",7,SAPCE3,11,"...","    Glassware, tableware, and household utensils ","Millions of current dollars",93.7,100.6,108.8,127.9,129.0,127.4,131.6,146.2,170.3,182.8,175.1,159.4,137.2,127.6,120.1,115.7,126.0,129.5,137.3,138.3,145.9,154.1,164.4,192.4,223.2,251.7
