GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "47000","Tennessee",5,SAPCE3,1,"...","Personal consumption expenditures ","Millions of current dollars",105623.4,110838.2,118130.0,126062.1,129837.3,134468.3,140450.8,149040.8,158759.9,168002.1,177300.9,181564.3,178900.4,186470.4,194909.6,200595.3,204743.2,213045.3,219728.3,228864.4,239992.1,250276.2,260801.1,261449.0,297834.4,326338.0
 "47000","Tennessee",5,SAPCE3,2,"..."," Goods ","Millions of current dollars",41967.5,44009.4,47651.7,50297.4,50532.7,51638.1,53475.4,56779.1,60396.0,63275.5,66493.2,66744.6,63043.4,66621.1,70929.5,72851.6,73342.6,75986.4,75957.7,77605.9,80373.0,83986.0,86432.0,90638.6,107301.8,116518.3
 "47000","Tennessee",5,SAPCE3,3,"...","  Durable goods ","Millions of current dollars",15200.2,16400.3,17812.9,18385.3,18352.2,18977.6,19346.2,20331.8,21078.6,21462.9,22222.7,20096.5,18118.9,19338.2,20124.0,21014.2,21799.2,22882.1,24189.8,25350.0,26357.1,27296.5,28046.9,29908.4,37672.4,39626.1
 "47000","Tennessee",5,SAPCE3,4,"...","   Motor vehicles and parts ","Millions of current dollars",7322.5,7877.1,8566.3,8569.1,8681.9,8978.5,8823.9,8840.9,8875.7,8554.2,8807.9,7230.1,6482.6,7395.3,7888.9,8529.6,8909.9,9610.5,10513.1,10997.8,11437.1,11711.1,11574.6,11958.5,15453.7,15818.2
 "47000","Tennessee",5,SAPCE3,5,"...","    New motor vehicles ","Millions of current dollars",3707.0,4054.0,4495.0,4579.5,4789.5,4998.1,5098.3,5007.8,4923.1,4606.0,4649.9,3486.0,3022.0,3498.8,4071.4,4590.9,4743.6,5072.3,5325.7,5352.7,5425.7,5428.7,5408.3,5760.3,6961.5,7367.7
 "47000","Tennessee",5,SAPCE3,6,"...","    Net purchases of used motor vehicles ","Millions of current dollars",2543.8,2784.8,2996.1,2935.9,2855.1,2929.8,2644.4,2688.0,2697.6,2642.4,2725.1,2363.9,2231.4,2481.1,2317.1,2282.6,2448.1,2752.1,3278.5,3660.1,3955.3,4180.3,4023.7,4021.5,5999.9,5884.9
 "47000","Tennessee",5,SAPCE3,7,"...","    Motor vehicle parts and accessories ","Millions of current dollars",1071.7,1038.2,1075.3,1053.7,1037.3,1050.6,1081.2,1145.1,1255.0,1305.8,1432.9,1380.2,1229.2,1415.4,1500.4,1656.1,1718.3,1786.1,1908.9,1984.9,2056.1,2102.1,2142.6,2176.7,2492.3,2565.6
 "47000","Tennessee",5,SAPCE3,8,"...","   Furnishings and durable household equipment ","Millions of current dollars",3381.5,3645.3,3936.4,4126.8,4095.4,4248.3,4429.2,4758.0,5078.1,5290.0,5360.2,4935.6,4465.0,4627.2,4721.0,4835.9,5032.3,5243.3,5536.0,5889.3,6207.9,6505.7,6812.8,7449.8,8914.8,9487.4
 "47000","Tennessee",5,SAPCE3,9,"...","    Furniture and furnishings ","Millions of current dollars",2085.3,2219.7,2367.9,2516.8,2466.4,2539.9,2654.8,2868.4,3110.0,3287.0,3381.2,3038.4,2717.0,2804.4,2842.4,2948.7,2979.9,3095.5,3295.7,3485.9,3653.1,3858.0,4068.9,4356.9,5338.3,5644.7
 "47000","Tennessee",5,SAPCE3,10,"...","    Household appliances ","Millions of current dollars",452.7,493.2,546.5,572.9,582.0,635.6,661.3,736.1,776.3,796.9,809.8,799.5,736.0,796.0,839.8,831.6,909.3,929.0,952.9,1016.0,1063.5,1099.2,1135.2,1255.4,1494.0,1566.8
