GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "56000","Wyoming",7,SAPCE3,1,"...","Personal consumption expenditures ","Millions of current dollars",9281.4,9906.0,10605.6,11358.3,11806.2,12308.2,13098.6,14131.0,15251.4,16490.2,17943.9,18653.2,18747.7,19193.0,20319.1,21223.3,21914.2,22984.5,23143.3,23542.4,23897.6,24652.3,25235.7,25579.8,28312.5,30465.8
 "56000","Wyoming",7,SAPCE3,2,"..."," Goods ","Millions of current dollars",3681.7,3861.0,4135.2,4320.2,4479.7,4634.4,4915.2,5314.3,5741.4,6312.8,6872.2,7051.3,6560.8,6700.3,7076.5,7276.9,7406.3,7596.1,7580.3,7430.9,7578.7,7860.3,8014.5,8318.8,9628.2,10546.3
 "56000","Wyoming",7,SAPCE3,3,"...","  Durable goods ","Millions of current dollars",1294.3,1398.1,1517.8,1571.8,1678.2,1810.5,1881.5,2024.3,2135.0,2269.5,2443.3,2305.0,2114.2,2147.1,2251.6,2354.4,2429.8,2523.7,2587.8,2510.3,2540.2,2602.9,2621.4,2783.0,3278.2,3459.6
 "56000","Wyoming",7,SAPCE3,4,"...","   Motor vehicles and parts ","Millions of current dollars",618.1,688.4,772.5,793.9,883.0,944.3,949.7,996.8,1018.4,1042.1,1133.6,993.7,911.2,970.5,1052.1,1126.2,1154.3,1215.6,1255.9,1228.9,1286.4,1306.0,1301.1,1343.2,1577.2,1604.0
 "56000","Wyoming",7,SAPCE3,5,"...","    New motor vehicles ","Millions of current dollars",364.6,406.8,460.7,478.4,547.5,595.1,616.4,638.0,637.5,623.7,661.2,527.2,460.8,503.9,586.6,646.8,655.5,686.7,687.6,648.9,664.7,658.9,651.5,683.6,744.3,770.0
 "56000","Wyoming",7,SAPCE3,6,"...","    Net purchases of used motor vehicles ","Millions of current dollars",168.1,192.4,217.8,219.4,232.3,247.8,222.8,236.9,245.6,259.9,286.3,269.8,261.6,265.6,243.7,238.3,247.6,267.0,298.0,316.4,351.1,374.8,368.8,373.4,509.7,488.2
 "56000","Wyoming",7,SAPCE3,7,"...","    Motor vehicle parts and accessories ","Millions of current dollars",85.5,89.2,94.0,96.0,103.2,101.4,110.4,121.9,135.3,158.5,186.1,196.7,188.8,201.0,221.8,241.1,251.2,261.9,270.4,263.5,270.6,272.3,280.8,286.2,323.2,345.9
 "56000","Wyoming",7,SAPCE3,8,"...","   Furnishings and durable household equipment ","Millions of current dollars",258.1,275.1,286.2,302.0,310.8,335.7,353.9,381.3,421.1,482.5,505.9,508.9,459.1,447.7,449.4,459.0,489.9,506.7,535.5,536.7,537.2,561.6,579.6,648.4,759.4,821.9
 "56000","Wyoming",7,SAPCE3,9,"...","    Furniture and furnishings ","Millions of current dollars",147.8,159.2,167.2,179.6,182.5,195.8,209.0,230.0,258.3,309.9,322.4,313.9,278.8,271.5,271.3,279.0,290.6,294.3,308.9,308.0,303.4,319.4,334.5,367.5,441.3,466.4
 "56000","Wyoming",7,SAPCE3,10,"...","    Household appliances ","Millions of current dollars",44.8,48.5,50.1,51.4,56.1,64.2,68.5,73.8,79.0,82.6,88.6,96.2,93.0,91.2,92.9,92.7,101.0,107.0,110.3,110.1,110.3,114.0,114.1,127.4,148.8,164.6
