GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "15000","Hawaii",8,SAPCE4,1,"...","Personal consumption expenditures ","Millions of current dollars",26673.8,27488.8,28515.2,30345.4,31527.9,32673.8,34793.6,37263.4,40427.1,43283.7,45387.4,47392.4,46971.6,48013.4,49781.6,51522.3,53755.6,55526.2,57197.6,58616.6,61319.4,63974.4,66783.5,63900.8,71696.3,78713.6
 "15000","Hawaii",8,SAPCE4,2,"..."," Household consumption expenditures ","Millions of current dollars",25827.1,26505.8,27570.2,29274.4,30376.9,31403.8,33407.6,35833.4,38814.0,41356.7,43441.4,45222.0,44847.5,45884.7,47586.5,49100.1,51353.1,53080.5,54782.2,56060.8,58708.2,61196.3,63973.3,60668.4,68754.4,75312.4
 "15000","Hawaii",8,SAPCE4,3,"...","  Food and beverages purchased for off-premises consumption ","Millions of current dollars",2581.0,2617.8,2750.4,2859.5,2970.3,3008.9,3084.2,3288.2,3552.8,3768.0,3960.7,4163.6,4380.3,4480.0,4683.8,4725.3,4896.9,5022.1,5107.7,5271.1,5507.3,5795.9,6078.0,6567.2,7088.3,7664.0
 "15000","Hawaii",8,SAPCE4,4,"...","   Food and nonalcoholic beverages purchased for off-premises consumption ","Millions of current dollars",2217.2,2249.1,2355.8,2428.1,2509.0,2522.2,2597.3,2778.7,3013.9,3190.2,3365.8,3562.6,3751.5,3820.5,4006.9,4042.6,4187.0,4279.9,4334.5,4447.1,4638.6,4868.8,5097.3,5558.1,5977.1,6497.6
 "15000","Hawaii",8,SAPCE4,5,"...","   Alcoholic beverages purchased for off-premises consumption ","Millions of current dollars",362.6,367.6,393.6,430.4,460.4,485.9,486.1,508.4,537.6,576.3,593.4,600.5,628.4,659.1,676.6,682.3,709.2,741.4,772.3,823.3,868.2,926.6,980.1,1008.5,1110.5,1165.5
 "15000","Hawaii",8,SAPCE4,6,"...","   Food produced and consumed on farms ","Millions of current dollars",1.1,1.1,1.0,1.0,0.9,0.8,0.8,1.1,1.3,1.5,1.5,0.5,0.4,0.4,0.4,0.5,0.6,0.8,0.9,0.7,0.5,0.5,0.6,0.7,0.8,0.9
 "15000","Hawaii",8,SAPCE4,7,"...","  Clothing, footwear, and related services ","Millions of current dollars",1588.3,1492.9,1483.9,1499.4,1432.6,1320.5,1358.4,1424.6,1541.5,1587.0,1579.7,1573.8,1514.0,1603.3,1746.6,1866.5,1899.2,1967.3,1991.5,2065.6,2160.3,2268.1,2260.4,1613.0,2024.8,2170.8
 "15000","Hawaii",8,SAPCE4,8,"...","   Clothing ","Millions of current dollars",1442.6,1355.5,1348.7,1365.3,1304.9,1202.9,1234.6,1292.4,1391.4,1425.9,1416.0,1407.7,1353.4,1430.4,1553.4,1656.1,1680.1,1737.0,1757.1,1815.1,1899.0,1990.0,1979.8,1411.3,1770.5,1905.6
 "15000","Hawaii",8,SAPCE4,9,"...","    Garments ","Millions of current dollars",1354.8,1266.1,1256.6,1266.6,1204.8,1103.8,1133.7,1194.2,1291.4,1323.0,1315.6,1308.3,1255.1,1330.3,1454.8,1555.8,1575.4,1627.4,1643.9,1696.8,1770.5,1856.6,1847.4,1322.2,1671.4,1793.2
 "15000","Hawaii",8,SAPCE4,10,"...","     Women's and girls' clothing ","Millions of current dollars",727.8,683.5,686.6,702.7,674.8,621.5,643.3,683.5,744.8,768.3,768.6,756.4,722.9,767.1,843.2,902.5,904.4,928.3,928.8,956.1,989.5,1044.6,1039.6,746.1,948.5,1015.6
