GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "23000","Maine",1,SAPCE4,1,"...","Personal consumption expenditures ","Millions of current dollars",25246.5,26837.0,28794.2,30892.4,32644.0,34534.7,36525.6,38696.2,40878.1,42680.5,44182.6,45495.1,45604.6,47264.9,49062.9,49282.6,50464.5,51398.4,52951.5,55482.4,58157.7,61115.1,62865.5,62954.8,71244.8,77286.9
 "23000","Maine",1,SAPCE4,2,"..."," Household consumption expenditures ","Millions of current dollars",24382.8,25859.9,27694.2,29732.4,31343.0,33083.7,34956.6,37129.2,39203.1,40814.5,42326.6,43474.8,43459.5,45064.5,46728.7,46855.9,47942.7,48795.7,50236.0,52584.6,55074.6,57931.0,59546.6,59395.3,67611.4,73278.1
 "23000","Maine",1,SAPCE4,3,"...","  Food and beverages purchased for off-premises consumption ","Millions of current dollars",2425.2,2489.4,2655.9,2794.7,2929.9,3002.8,3105.4,3248.1,3421.6,3558.6,3704.3,3859.0,3988.5,4045.3,4107.9,4225.4,4336.7,4538.1,4586.8,4743.8,4964.5,5188.2,5466.4,6124.0,6643.3,7136.5
 "23000","Maine",1,SAPCE4,4,"...","   Food and nonalcoholic beverages purchased for off-premises consumption ","Millions of current dollars",2140.2,2163.3,2305.9,2423.3,2537.0,2593.4,2688.6,2813.1,2970.1,3078.3,3203.6,3357.7,3473.9,3508.6,3573.7,3676.1,3773.8,3939.3,3966.9,4086.0,4272.3,4453.6,4686.2,5211.2,5648.2,6097.4
 "23000","Maine",1,SAPCE4,5,"...","   Alcoholic beverages purchased for off-premises consumption ","Millions of current dollars",282.6,323.8,348.0,369.4,391.1,407.6,415.1,433.3,450.0,478.7,499.4,499.5,512.9,534.9,532.6,547.7,560.4,592.6,615.3,654.2,691.0,733.4,778.7,910.9,992.9,1035.2
 "23000","Maine",1,SAPCE4,6,"...","   Food produced and consumed on farms ","Millions of current dollars",2.3,2.2,2.1,2.0,1.8,1.8,1.6,1.7,1.5,1.6,1.3,1.8,1.7,1.8,1.5,1.6,2.5,6.2,4.6,3.6,1.2,1.2,1.5,1.9,2.2,3.9
 "23000","Maine",1,SAPCE4,7,"...","  Clothing, footwear, and related services ","Millions of current dollars",1132.2,1179.2,1237.1,1275.5,1266.6,1273.3,1271.0,1318.6,1341.3,1368.9,1370.1,1348.2,1310.4,1332.4,1315.9,1320.4,1345.5,1363.1,1374.8,1389.9,1395.8,1409.7,1425.0,1240.7,1596.1,1687.2
 "23000","Maine",1,SAPCE4,8,"...","   Clothing ","Millions of current dollars",943.9,984.2,1036.0,1073.3,1069.0,1079.7,1075.0,1104.6,1113.3,1123.6,1117.2,1101.8,1072.8,1089.5,1074.3,1075.9,1091.0,1099.8,1104.5,1109.8,1114.3,1126.7,1136.4,990.8,1269.3,1342.2
 "23000","Maine",1,SAPCE4,9,"...","    Garments ","Millions of current dollars",873.3,909.9,956.4,989.2,983.1,992.9,987.9,1018.6,1032.2,1041.9,1038.1,1023.9,995.4,1013.8,1000.4,999.4,1013.7,1020.5,1024.4,1027.4,1025.5,1031.1,1037.8,902.8,1164.5,1230.6
 "23000","Maine",1,SAPCE4,10,"...","     Women's and girls' clothing ","Millions of current dollars",499.7,515.0,539.4,557.7,549.8,548.6,549.7,564.4,572.9,576.6,569.8,569.1,559.4,571.4,562.2,556.8,565.2,565.4,565.7,567.4,564.7,567.2,570.8,495.9,646.9,672.5
 "23000","Maine",1,SAPCE4,11,"...","     Men's and boys' clothing ","Millions of current dollars",331.8,350.8,371.5,385.2,384.2,392.4,384.4,394.6,394.6,395.8,395.9,381.3,365.2,371.1,369.9,378.7,380.1,385.0,386.4,385.9,384.8,390.1,393.7,343.2,438.1,473.2
 "23000","Maine",1,SAPCE4,12,"...","     Children's and infants' clothing ","Millions of current dollars",41.8,44.1,45.5,46.3,49.1,52.0,53.9,59.6,64.7,69.5,72.4,73.5,70.7,71.2,68.2,63.9,68.4,70.1,72.3,74.1,76.0,73.8,73.3,63.7,79.5,84.8
 "23000","Maine",1,SAPCE4,13,"...","    Other clothing materials ","Millions of current dollars",18.3,18.6,20.3,21.8,23.8,26.4,27.0,27.1,24.2,23.6,21.8,22.4,22.8,22.2,23.0,23.7,22.4,21.4,19.7,18.2,18.5,19.0,18.6,19.4,20.0,22.3
 "23000","Maine",1,SAPCE4,14,"...","    Cleaning, repair, and rental of clothing ","Millions of current dollars",52.4,55.6,59.3,62.2,62.1,60.4,60.0,58.9,56.9,58.1,57.3,55.5,54.6,53.5,51.0,52.8,54.9,57.9,60.4,64.2,70.4,76.7,80.1,68.6,84.8,89.4
 "23000","Maine",1,SAPCE4,15,"...","     Laundry and dry cleaning services ","Millions of current dollars",35.5,37.7,40.6,43.2,43.7,43.6,42.6,41.8,41.2,42.0,41.3,39.8,39.7,39.6,39.2,41.1,42.3,44.3,45.5,47.5,51.0,55.5,57.3,49.2,60.9,64.4
 "23000","Maine",1,SAPCE4,16,"...","     Clothing repair, rental, and alterations ","Millions of current dollars",16.8,18.0,18.7,19.0,18.4,16.8,17.4,17.0,15.7,16.2,16.0,15.7,14.9,13.9,11.8,11.7,12.7,13.6,14.9,16.8,19.4,21.2,22.8,19.4,23.9,24.9
 "23000","Maine",1,SAPCE4,17,"...","   Footwear ","Millions of current dollars",188.2,195.0,201.1,202.3,197.7,193.6,196.0,214.0,228.1,245.2,252.9,246.4,237.6,242.9,241.5,244.5,254.5,263.3,270.2,280.2,281.5,283.0,288.6,250.0,326.8,344.9
 "23000","Maine",1,SAPCE4,18,"...","  Housing, utilities, and fuels ","Millions of current dollars",4537.4,4778.3,5041.4,5397.5,5790.1,6038.8,6309.9,6659.9,7220.2,7455.8,7716.3,8140.5,8553.1,8892.1,9331.0,9065.6,9354.2,8784.9,9080.3,9829.3,10064.0,10742.5,10434.0,11529.5,12286.5,13435.2
 "23000","Maine",1,SAPCE4,19,"...","   Housing ","Millions of current dollars",3834.0,4081.6,4331.5,4619.9,4969.8,5178.3,5401.9,5708.1,6137.1,6332.1,6526.5,6803.1,7335.5,7692.9,8066.2,7861.1,8154.9,7457.9,7830.4,8700.3,8818.5,9329.5,8905.4,10122.0,10742.1,11485.9
 "23000","Maine",1,SAPCE4,20,"...","    Rental of tenant-occupied nonfarm housing ","Millions of current dollars",541.7,565.5,588.3,612.9,649.8,669.4,686.4,727.8,784.2,820.0,826.6,899.6,929.2,971.8,1082.7,1122.6,1154.7,962.0,1086.4,1083.5,990.4,1260.8,1167.7,1210.1,1307.0,1331.0
 "23000","Maine",1,SAPCE4,21,"...","    Imputed rental of owner-occupied nonfarm housing ","Millions of current dollars",3242.0,3468.9,3694.6,3947.8,4254.0,4440.7,4647.1,4911.4,5281.4,5446.7,5634.3,5830.6,6333.2,6656.1,6898.3,6660.5,6932.6,6432.0,6695.5,7541.9,7739.8,8007.4,7638.2,8853.3,9349.9,10022.4
 "23000","Maine",1,SAPCE4,22,"...","    Rental value of farm dwellings ","Millions of current dollars",39.1,38.9,39.5,53.1,60.2,62.2,62.0,63.5,66.1,60.3,61.8,69.2,67.5,56.4,80.8,73.6,63.0,61.6,47.4,73.1,85.4,57.0,94.9,53.4,79.3,126.0
 "23000","Maine",1,SAPCE4,23,"...","    Group housing ","Millions of current dollars",11.3,8.4,9.1,6.1,5.9,5.9,6.4,5.4,5.4,5.1,3.9,3.7,5.7,8.6,4.4,4.5,4.5,2.4,1.2,1.9,2.9,4.4,4.7,5.1,5.9,6.5
 "23000","Maine",1,SAPCE4,24,"...","   Household utilities and fuels ","Millions of current dollars",703.3,696.7,710.0,777.6,820.3,860.6,908.0,951.8,1083.1,1123.7,1189.8,1337.4,1217.6,1199.2,1264.7,1204.5,1199.3,1327.0,1249.8,1129.0,1245.5,1413.0,1528.5,1407.5,1544.5,1949.3
 "23000","Maine",1,SAPCE4,25,"...","    Water supply and sanitation ","Millions of current dollars",156.5,162.7,170.6,176.0,182.1,183.0,183.4,183.8,184.9,178.2,175.8,204.5,202.7,185.7,188.9,194.0,182.5,215.7,199.5,198.8,218.0,228.8,273.0,221.6,277.7,317.0
 "23000","Maine",1,SAPCE4,26,"...","    Electricity, gas, and other fuels ","Millions of current dollars",546.9,534.0,539.3,601.6,638.1,677.5,724.6,768.0,898.2,945.5,1013.9,1132.9,1014.9,1013.6,1075.8,1010.5,1016.8,1111.3,1050.4,930.2,1027.5,1184.2,1255.5,1185.9,1266.7,1632.2
 "23000","Maine",1,SAPCE4,27,"...","     Electricity ","Millions of current dollars",377.4,385.3,383.8,401.9,421.0,460.0,451.7,454.9,500.7,547.1,575.5,600.4,599.9,596.6,588.4,585.3,579.9,599.0,630.5,574.1,588.3,669.2,721.8,704.3,711.9,839.8
 "23000","Maine",1,SAPCE4,28,"...","     Natural gas ","Millions of current dollars",68.7,60.3,61.1,74.4,87.4,92.4,109.6,119.2,154.3,135.9,158.7,198.2,147.6,136.4,178.4,148.2,161.8,216.3,190.2,165.6,212.8,249.9,275.8,264.7,293.4,400.9
 "23000","Maine",1,SAPCE4,29,"...","     Fuel oil and other fuels ","Millions of current dollars",100.7,88.4,94.5,125.3,129.7,125.1,163.3,193.9,243.1,262.6,279.8,334.3,267.4,280.6,308.9,277.0,275.1,295.9,229.6,190.5,226.3,265.0,257.9,216.8,261.4,391.5
 "23000","Maine",1,SAPCE4,30,"...","  Furnishings, household equipment, and routine household maintenance ","Millions of current dollars",1084.9,1186.8,1309.4,1391.1,1471.4,1559.2,1584.2,1675.0,1763.2,1844.3,1917.2,1911.6,1819.4,1813.4,1824.3,1843.9,1914.7,2008.2,2052.5,2141.1,2234.0,2349.6,2446.2,2696.7,3008.3,3182.7
