GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "28000","Mississippi",5,SAPCE4,1,"...","Personal consumption expenditures ","Millions of current dollars",41960.7,44223.9,47202.9,50271.5,52641.0,55060.4,57833.1,61397.2,65017.7,69149.4,72680.2,75197.1,74237.4,77186.8,80082.1,81853.3,83679.2,85932.3,88020.8,90111.3,92341.8,94495.0,96100.5,96882.6,108194.0,116654.2
 "28000","Mississippi",5,SAPCE4,2,"..."," Household consumption expenditures ","Millions of current dollars",41431.5,43599.9,46488.9,49432.4,51691.0,53869.4,56618.1,60241.1,63754.6,67792.4,71244.2,73492.3,72503.1,75481.7,78283.5,79961.7,81762.6,84101.0,86119.4,88098.5,90370.0,92657.0,94277.0,94712.9,106229.3,114287.2
 "28000","Mississippi",5,SAPCE4,3,"...","  Food and beverages purchased for off-premises consumption ","Millions of current dollars",4456.9,4539.8,4759.0,4890.9,5042.2,5056.3,5275.7,5595.3,5922.7,6301.0,6359.7,6709.2,6895.9,7030.8,7281.0,7426.7,7571.7,7833.4,8022.2,8194.9,8451.8,8693.1,8965.5,9879.9,10610.1,11458.7
 "28000","Mississippi",5,SAPCE4,4,"...","   Food and nonalcoholic beverages purchased for off-premises consumption ","Millions of current dollars",3979.0,4026.5,4207.1,4325.4,4458.5,4470.9,4685.5,4973.1,5275.7,5598.8,5632.5,5964.0,6127.8,6218.8,6456.0,6574.7,6709.5,6945.8,7098.3,7230.3,7463.9,7689.2,7943.7,8662.0,9314.8,10126.0
 "28000","Mississippi",5,SAPCE4,5,"...","   Alcoholic beverages purchased for off-premises consumption ","Millions of current dollars",473.1,509.1,548.1,562.3,581.0,582.0,586.7,618.6,644.4,700.2,725.4,742.4,765.5,809.3,822.2,849.0,847.1,883.1,906.9,960.3,984.7,1002.5,1016.5,1207.6,1284.3,1326.5
 "28000","Mississippi",5,SAPCE4,6,"...","   Food produced and consumed on farms ","Millions of current dollars",4.7,4.2,3.7,3.2,2.7,3.4,3.5,3.6,2.5,2.0,1.8,2.8,2.6,2.7,2.8,3.0,15.1,4.5,17.0,4.4,3.2,1.4,5.3,10.4,11.0,6.1
 "28000","Mississippi",5,SAPCE4,7,"...","  Clothing, footwear, and related services ","Millions of current dollars",1995.6,2106.2,2291.2,2313.4,2295.0,2326.3,2374.5,2454.5,2545.4,2623.9,2625.6,2630.3,2588.4,2653.3,2715.6,2749.5,2807.1,2952.6,3021.6,3159.0,3178.9,3199.6,3173.4,2947.1,3664.9,3895.5
 "28000","Mississippi",5,SAPCE4,8,"...","   Clothing ","Millions of current dollars",1660.8,1753.2,1910.7,1933.3,1915.4,1942.5,1976.9,2037.3,2094.9,2141.9,2130.0,2123.0,2084.3,2128.1,2170.4,2186.8,2222.9,2327.4,2372.7,2459.2,2480.4,2496.5,2472.4,2274.1,2824.6,3012.0
 "28000","Mississippi",5,SAPCE4,9,"...","    Garments ","Millions of current dollars",1528.0,1611.4,1760.1,1778.0,1759.8,1783.5,1819.9,1883.4,1943.5,1988.3,1983.0,1981.3,1947.3,1993.8,2040.5,2056.1,2087.0,2185.0,2228.1,2314.2,2328.7,2342.5,2324.8,2145.5,2690.8,2873.6
 "28000","Mississippi",5,SAPCE4,10,"...","     Women's and girls' clothing ","Millions of current dollars",860.8,911.7,1007.6,1032.0,1030.4,1048.7,1073.2,1119.7,1157.9,1185.0,1194.1,1181.6,1160.0,1189.3,1218.0,1228.5,1230.3,1284.7,1294.9,1349.0,1337.3,1346.1,1327.2,1260.4,1577.0,1674.7
 "28000","Mississippi",5,SAPCE4,11,"...","     Men's and boys' clothing ","Millions of current dollars",589.3,614.7,656.7,647.3,626.8,628.1,630.2,639.7,649.6,651.6,637.7,640.4,630.5,646.8,667.5,680.6,704.3,738.1,762.9,785.9,806.5,816.8,822.9,722.2,918.9,990.9
 "28000","Mississippi",5,SAPCE4,12,"...","     Children's and infants' clothing ","Millions of current dollars",77.9,85.0,95.7,98.8,102.6,106.7,116.5,124.0,136.0,151.6,151.2,159.2,156.9,157.7,155.0,146.9,152.4,162.2,170.3,179.3,184.9,179.5,174.7,162.8,194.9,208.0
 "28000","Mississippi",5,SAPCE4,13,"...","    Other clothing materials ","Millions of current dollars",24.2,25.5,28.0,30.5,32.2,36.4,37.5,34.8,34.3,35.1,31.6,31.3,32.6,32.9,33.3,34.2,31.9,30.5,29.8,27.8,28.0,28.6,27.8,29.0,27.9,26.8
 "28000","Mississippi",5,SAPCE4,14,"...","    Cleaning, repair, and rental of clothing ","Millions of current dollars",108.6,116.2,122.6,124.8,123.4,122.7,119.6,119.1,117.1,118.5,115.4,110.4,104.4,101.4,96.6,96.6,104.0,112.0,114.8,117.3,123.7,125.5,119.8,99.6,105.8,111.6
 "28000","Mississippi",5,SAPCE4,15,"...","     Laundry and dry cleaning services ","Millions of current dollars",82.7,88.9,95.2,98.2,97.6,98.4,95.5,94.7,92.8,94.3,92.4,87.4,82.4,79.8,77.5,78.3,84.1,90.4,90.2,90.2,94.0,95.4,89.9,73.4,76.8,81.3
 "28000","Mississippi",5,SAPCE4,16,"...","     Clothing repair, rental, and alterations ","Millions of current dollars",26.0,27.4,27.4,26.6,25.8,24.3,24.1,24.4,24.2,24.2,23.0,23.0,22.0,21.6,19.1,18.3,19.9,21.5,24.6,27.1,29.6,30.1,29.9,26.2,29.0,30.3
 "28000","Mississippi",5,SAPCE4,17,"...","   Footwear ","Millions of current dollars",334.8,353.1,380.5,380.1,379.7,383.8,397.5,417.1,450.5,482.0,495.6,507.3,504.0,525.1,545.1,562.6,584.2,625.2,648.8,699.8,698.5,703.0,701.0,673.0,840.3,883.5
 "28000","Mississippi",5,SAPCE4,18,"...","  Housing, utilities, and fuels ","Millions of current dollars",7685.9,8027.8,8416.7,9015.5,9660.2,9875.3,10318.6,10902.5,11723.9,12325.9,13408.0,14091.5,14132.0,14330.8,14495.1,14368.6,14901.5,15221.9,15609.7,15666.0,15843.2,16498.6,16449.9,17172.1,17885.3,19247.8
 "28000","Mississippi",5,SAPCE4,19,"...","   Housing ","Millions of current dollars",5631.0,6002.2,6365.9,6794.1,7295.7,7572.2,7858.7,8286.9,8858.7,9221.3,10256.3,10680.6,10903.5,10996.8,11220.2,11322.7,11708.6,11683.9,12135.0,12448.6,12679.4,12916.5,12966.4,13864.1,14415.6,15213.0
 "28000","Mississippi",5,SAPCE4,20,"...","    Rental of tenant-occupied nonfarm housing ","Millions of current dollars",1023.0,1071.6,1116.8,1164.3,1233.6,1249.2,1259.7,1323.6,1411.1,1341.7,1471.7,1598.2,1698.6,1730.5,1807.1,1891.7,2078.7,1999.8,2069.4,2150.6,2058.6,2191.7,2151.2,2065.1,2313.7,2376.2
 "28000","Mississippi",5,SAPCE4,21,"...","    Imputed rental of owner-occupied nonfarm housing ","Millions of current dollars",4475.4,4792.7,5108.0,5460.9,5886.4,6146.6,6423.5,6765.6,7233.0,7691.4,8542.2,8893.9,9045.5,9100.7,9254.5,9230.9,9428.4,9570.0,9927.0,10065.9,10424.0,10434.8,10630.6,11611.8,11904.2,12653.5
 "28000","Mississippi",5,SAPCE4,22,"...","    Rental value of farm dwellings ","Millions of current dollars",123.4,127.9,130.4,158.0,164.7,165.6,163.4,184.6,200.4,174.5,228.0,172.5,143.4,148.9,140.7,178.9,177.9,88.3,109.6,199.6,159.7,250.1,143.4,150.2,158.0,142.1
 "28000","Mississippi",5,SAPCE4,23,"...","    Group housing ","Millions of current dollars",9.2,10.1,10.7,10.9,11.1,10.8,12.1,13.1,14.2,13.7,14.4,16.0,16.1,16.8,17.9,21.2,23.6,25.8,29.0,32.5,37.0,40.0,41.2,37.0,39.7,41.1
 "28000","Mississippi",5,SAPCE4,24,"...","   Household utilities and fuels ","Millions of current dollars",2055.0,2025.6,2050.8,2221.4,2364.5,2303.1,2459.9,2615.6,2865.2,3104.6,3151.7,3410.9,3228.5,3334.0,3274.8,3045.9,3192.9,3538.0,3474.7,3217.4,3163.8,3582.1,3483.5,3308.0,3469.7,4034.8
 "28000","Mississippi",5,SAPCE4,25,"...","    Water supply and sanitation ","Millions of current dollars",409.1,428.1,450.0,463.7,477.4,502.4,505.8,515.5,533.2,557.2,581.6,608.0,625.0,624.6,644.0,645.7,653.4,691.6,750.4,756.7,747.8,801.2,808.5,767.7,753.8,778.7
 "28000","Mississippi",5,SAPCE4,26,"...","    Electricity, gas, and other fuels ","Millions of current dollars",1645.9,1597.4,1600.7,1757.6,1887.1,1800.7,1954.1,2100.1,2332.0,2547.4,2570.1,2802.9,2603.5,2709.4,2630.8,2400.2,2539.4,2846.4,2724.3,2460.7,2416.0,2780.9,2675.0,2540.3,2715.9,3256.2
 "28000","Mississippi",5,SAPCE4,27,"...","     Electricity ","Millions of current dollars",1047.8,1076.7,1074.9,1124.8,1172.0,1249.0,1275.4,1383.4,1541.2,1721.2,1734.3,1854.7,1856.6,1940.7,1914.1,1786.0,1841.9,2052.7,2053.5,1882.7,1808.3,2049.9,1992.6,1938.5,1976.2,2247.2
 "28000","Mississippi",5,SAPCE4,28,"...","     Natural gas ","Millions of current dollars",418.1,369.5,375.2,456.0,533.5,389.6,477.7,501.0,539.5,550.5,544.5,627.4,492.3,497.9,441.0,386.2,448.5,521.1,448.0,377.7,376.9,470.1,452.4,411.7,509.4,683.2
 "28000","Mississippi",5,SAPCE4,29,"...","     Fuel oil and other fuels ","Millions of current dollars",180.0,151.3,150.6,176.8,181.7,162.1,201.0,215.7,251.3,275.7,291.4,320.8,254.7,270.8,275.7,228.0,249.1,272.6,222.8,200.2,230.8,260.9,229.9,190.1,230.3,325.7
 "28000","Mississippi",5,SAPCE4,30,"...","  Furnishings, household equipment, and routine household maintenance ","Millions of current dollars",2193.9,2295.1,2479.6,2590.9,2570.9,2692.0,2780.1,2916.6,3107.3,3324.5,3347.2,3236.0,3060.0,3077.4,3148.8,3244.8,3301.3,3373.8,3454.2,3572.3,3651.8,3748.1,3841.6,4268.7,4742.0,4989.1
 "28000","Mississippi",5,SAPCE4,31,"...","   Furniture, furnishings, and floor coverings ","Millions of current dollars",632.1,673.5,770.0,848.5,808.0,877.5,912.7,973.0,1072.7,1223.4,1228.7,1101.7,982.5,961.9,967.6,984.0,983.5,996.3,1036.3,1078.7,1099.5,1131.6,1166.5,1294.1,1517.1,1606.8
 "28000","Mississippi",5,SAPCE4,32,"...","   Household textiles ","Millions of current dollars",226.3,223.0,231.0,235.5,221.7,216.3,219.8,226.7,234.7,244.8,232.4,229.5,223.5,232.3,249.6,266.2,277.9,280.2,286.7,300.5,306.1,312.1,319.2,352.4,390.8,413.1
 "28000","Mississippi",5,SAPCE4,33,"...","   Household appliances ","Millions of current dollars",218.3,236.0,266.7,275.9,290.3,321.1,341.8,371.4,405.7,417.2,428.5,420.7,406.9,414.4,420.7,435.8,462.9,480.4,485.6,508.1,526.1,528.4,526.9,591.2,691.3,713.0
 "28000","Mississippi",5,SAPCE4,34,"...","   Glassware, tableware, and household utensils ","Millions of current dollars",194.4,202.4,202.5,203.0,202.4,202.4,207.9,213.8,219.7,219.6,218.7,203.9,186.7,177.6,172.1,161.8,163.2,165.0,168.4,172.3,173.0,175.1,181.2,201.1,213.5,220.1
 "28000","Mississippi",5,SAPCE4,35,"...","   Tools and equipment for house and garden ","Millions of current dollars",135.4,145.1,152.9,153.5,151.7,154.7,160.3,171.2,185.9,201.3,197.6,195.4,184.4,189.8,203.9,224.9,241.8,259.9,282.0,307.0,330.8,341.9,349.4,410.6,451.0,484.1
 "28000","Mississippi",5,SAPCE4,36,"...","   Other household goods and services ","Millions of current dollars",787.4,814.9,856.5,874.4,896.7,920.1,937.6,960.5,988.7,1018.1,1041.3,1084.8,1076.0,1101.4,1134.8,1172.1,1172.1,1192.0,1195.2,1205.6,1216.3,1258.9,1298.5,1419.2,1478.3,1552.1
 "28000","Mississippi",5,SAPCE4,37,"...","  Health ","Millions of current dollars",8269.2,8801.0,9167.6,9861.3,10809.5,11864.8,12719.0,13940.5,14613.2,15726.1,16939.0,17736.9,18242.0,18942.1,19518.9,20158.7,20355.3,21145.5,22081.8,23034.2,23302.4,23358.1,24304.0,24180.1,26200.8,27208.9
