GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "30000","Montana",7,SAPCE4,1,"...","Personal consumption expenditures ","Millions of current dollars",16128.1,17017.7,18108.6,19352.0,20345.0,21486.0,22804.2,24453.1,26254.8,28153.0,30156.1,31729.6,30980.6,32820.8,34413.4,35462.0,36679.6,38466.9,39329.3,40114.9,41986.4,44342.6,45766.4,45730.0,53115.7,58290.9
 "30000","Montana",7,SAPCE4,2,"..."," Household consumption expenditures ","Millions of current dollars",15676.1,16514.7,17550.6,18758.0,19716.0,20783.0,22043.2,23728.1,25549.8,27348.0,29336.1,30760.6,29950.2,31758.1,33253.1,34185.9,35371.7,37155.1,37977.0,38688.4,40509.5,42822.7,44208.3,43950.1,51361.9,56339.7
 "30000","Montana",7,SAPCE4,3,"...","  Food and beverages purchased for off-premises consumption ","Millions of current dollars",1633.4,1715.2,1776.7,1793.0,1832.3,1919.8,2054.0,2182.9,2317.7,2509.6,2742.1,2884.0,2903.2,2907.8,3042.9,3162.8,3227.0,3401.7,3499.1,3563.6,3653.1,3826.6,3950.9,4308.6,4755.3,5361.2
 "30000","Montana",7,SAPCE4,4,"...","   Food and nonalcoholic beverages purchased for off-premises consumption ","Millions of current dollars",1422.2,1487.6,1534.1,1534.3,1564.6,1636.0,1761.5,1870.8,1988.0,2142.9,2342.2,2477.7,2495.5,2488.7,2615.2,2711.6,2772.4,2920.9,2999.0,3047.1,3125.8,3264.7,3360.5,3640.1,4001.6,4532.6
 "30000","Montana",7,SAPCE4,5,"...","   Alcoholic beverages purchased for off-premises consumption ","Millions of current dollars",203.6,220.3,235.7,252.1,261.3,277.5,286.1,305.2,323.0,359.3,392.8,401.1,402.8,413.7,422.1,442.1,445.4,470.3,492.2,509.6,520.2,555.7,582.9,661.1,744.5,820.5
 "30000","Montana",7,SAPCE4,6,"...","   Food produced and consumed on farms ","Millions of current dollars",7.7,7.3,6.9,6.6,6.4,6.3,6.4,6.9,6.7,7.4,7.1,5.2,4.8,5.4,5.6,9.2,9.2,10.5,7.9,6.9,7.1,6.2,7.6,7.4,9.1,8.1
 "30000","Montana",7,SAPCE4,7,"...","  Clothing, footwear, and related services ","Millions of current dollars",601.6,600.8,631.7,644.4,655.5,679.3,714.0,751.3,786.3,829.1,863.6,859.0,830.8,863.6,888.9,914.3,938.2,974.9,1005.4,1030.1,1052.9,1048.8,1048.8,987.9,1270.2,1348.4
 "30000","Montana",7,SAPCE4,8,"...","   Clothing ","Millions of current dollars",492.4,492.2,517.7,529.1,538.5,559.4,586.0,613.5,635.9,663.1,685.7,679.4,655.7,678.6,697.1,716.9,729.3,754.4,775.0,787.6,805.0,804.6,801.4,743.5,949.0,1016.9
 "30000","Montana",7,SAPCE4,9,"...","    Garments ","Millions of current dollars",450.9,449.8,473.5,482.8,490.3,508.9,534.3,561.8,585.3,612.3,635.3,629.6,606.8,629.3,648.4,666.9,678.7,701.8,721.4,735.0,751.3,747.3,744.1,691.0,891.0,955.6
 "30000","Montana",7,SAPCE4,10,"...","     Women's and girls' clothing ","Millions of current dollars",246.1,246.4,262.8,271.7,277.8,288.5,304.7,323.0,338.1,356.1,371.4,363.1,347.1,360.5,370.8,383.6,385.3,393.7,400.7,405.3,410.9,405.5,401.8,386.8,505.5,539.5
 "30000","Montana",7,SAPCE4,11,"...","     Men's and boys' clothing ","Millions of current dollars",186.5,184.4,190.3,189.8,189.3,195.1,201.8,208.7,214.3,220.1,224.4,224.6,218.4,227.0,235.9,242.6,251.4,264.0,273.8,281.4,289.8,293.3,295.6,259.7,331.0,357.1
 "30000","Montana",7,SAPCE4,12,"...","     Children's and infants' clothing ","Millions of current dollars",18.2,19.0,20.5,21.3,23.2,25.3,27.9,30.1,33.0,36.1,39.5,41.9,41.3,41.8,41.8,40.7,42.0,44.2,46.9,48.3,50.6,48.5,46.7,44.5,54.5,59.0
 "30000","Montana",7,SAPCE4,13,"...","    Other clothing materials ","Millions of current dollars",15.4,15.6,16.7,18.5,20.2,23.5,23.9,24.3,23.6,23.1,22.6,23.1,24.0,24.8,25.0,24.1,23.1,23.3,21.5,19.5,19.7,19.6,18.9,19.9,20.5,20.8
 "30000","Montana",7,SAPCE4,14,"...","    Cleaning, repair, and rental of clothing ","Millions of current dollars",26.1,26.9,27.5,27.9,28.1,26.9,27.7,27.4,26.9,27.8,27.9,26.7,25.0,24.5,23.7,25.9,27.5,29.3,32.0,33.0,34.0,37.7,38.4,32.7,37.5,40.5
 "30000","Montana",7,SAPCE4,15,"...","     Laundry and dry cleaning services ","Millions of current dollars",14.3,14.9,15.7,16.4,16.6,16.9,17.4,17.1,16.8,17.6,17.8,17.0,16.2,16.0,16.2,18.0,19.1,19.9,21.3,21.4,21.5,23.9,23.8,20.3,23.1,25.2
 "30000","Montana",7,SAPCE4,16,"...","     Clothing repair, rental, and alterations ","Millions of current dollars",11.7,11.9,11.8,11.5,11.4,10.0,10.3,10.4,10.1,10.1,10.1,9.7,8.8,8.5,7.5,7.9,8.5,9.4,10.7,11.6,12.5,13.8,14.6,12.4,14.4,15.3
 "30000","Montana",7,SAPCE4,17,"...","   Footwear ","Millions of current dollars",109.3,108.6,114.0,115.2,116.9,120.0,128.1,137.8,150.4,166.0,177.9,179.6,175.1,185.0,191.8,197.4,208.9,220.5,230.4,242.5,247.9,244.2,247.3,244.4,321.2,331.5
 "30000","Montana",7,SAPCE4,18,"...","  Housing, utilities, and fuels ","Millions of current dollars",2683.8,2801.4,2951.6,3163.4,3397.0,3497.8,3633.3,3876.2,4258.0,4519.1,4766.7,5120.8,5009.8,5738.4,6024.5,5898.2,6207.0,6831.7,6684.7,6626.2,7098.0,7617.8,7873.0,7918.5,8883.7,9693.5
 "30000","Montana",7,SAPCE4,19,"...","   Housing ","Millions of current dollars",2129.0,2261.5,2405.7,2568.9,2758.0,2856.8,2959.0,3144.4,3444.5,3651.5,3840.8,4096.9,4089.7,4813.8,5017.9,4938.7,5190.1,5778.2,5648.3,5621.9,5938.1,6447.2,6683.1,6781.1,7663.2,8246.1
