GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "31000","Nebraska",4,SAPCE4,1,"...","Personal consumption expenditures ","Millions of current dollars",32122.1,33885.1,36147.8,38737.2,40332.1,41528.8,43884.8,46911.4,49719.4,52401.4,54871.6,57074.3,56205.1,59014.4,62248.7,64342.3,65789.7,68366.5,70248.1,72752.0,75186.4,77805.0,79902.0,79234.1,89281.3,97455.4
 "31000","Nebraska",4,SAPCE4,2,"..."," Household consumption expenditures ","Millions of current dollars",31470.0,33036.1,35269.8,37746.1,39250.1,40324.8,42589.8,45591.4,48432.3,51036.4,53535.6,55493.5,54502.1,57263.5,60371.6,62210.1,63565.6,66087.3,67900.1,70256.7,72632.3,75310.7,77297.5,76295.3,86438.2,94267.8
 "31000","Nebraska",4,SAPCE4,3,"...","  Food and beverages purchased for off-premises consumption ","Millions of current dollars",2853.0,2905.2,3044.3,3152.7,3256.2,3281.4,3385.9,3664.3,3815.1,3963.0,4234.0,4436.4,4454.2,4465.3,4597.0,4731.3,4839.1,5153.0,5369.1,5597.6,5767.1,5867.1,5929.9,6480.7,6911.2,7567.2
 "31000","Nebraska",4,SAPCE4,4,"...","   Food and nonalcoholic beverages purchased for off-premises consumption ","Millions of current dollars",2508.0,2539.2,2649.7,2727.6,2811.9,2830.2,2926.9,3166.8,3301.4,3416.2,3657.7,3857.7,3872.2,3862.1,3984.4,4097.9,4196.0,4465.0,4640.0,4821.7,4971.6,5041.9,5082.6,5513.4,5865.1,6449.9
 "31000","Nebraska",4,SAPCE4,5,"...","   Alcoholic beverages purchased for off-premises consumption ","Millions of current dollars",334.7,356.4,385.5,416.6,435.9,442.4,450.7,484.9,499.2,530.9,565.7,570.3,572.2,592.7,601.8,623.6,632.4,675.8,718.5,764.0,785.4,813.7,836.7,954.5,1032.9,1104.4
 "31000","Nebraska",4,SAPCE4,6,"...","   Food produced and consumed on farms ","Millions of current dollars",10.3,9.7,9.1,8.5,8.3,8.8,8.3,12.6,14.4,15.9,10.6,8.3,9.7,10.6,10.8,9.8,10.8,12.2,10.6,11.9,10.1,11.5,10.6,12.7,13.2,13.0
 "31000","Nebraska",4,SAPCE4,7,"...","  Clothing, footwear, and related services ","Millions of current dollars",1389.2,1435.8,1482.5,1527.2,1516.8,1488.4,1530.0,1591.3,1637.1,1650.9,1673.2,1662.3,1652.7,1707.7,1764.6,1789.5,1830.9,1917.2,1968.3,2029.6,2059.1,2069.2,2047.3,1875.2,2319.6,2433.2
 "31000","Nebraska",4,SAPCE4,8,"...","   Clothing ","Millions of current dollars",1181.1,1217.1,1260.2,1299.6,1291.3,1267.8,1300.0,1348.7,1378.0,1379.0,1390.4,1377.9,1367.9,1409.8,1449.6,1465.0,1490.1,1556.6,1592.0,1624.3,1656.8,1666.8,1647.0,1497.0,1851.7,1962.5
 "31000","Nebraska",4,SAPCE4,9,"...","    Garments ","Millions of current dollars",1091.6,1125.2,1163.7,1195.8,1184.4,1158.4,1190.0,1235.9,1266.5,1265.9,1281.6,1269.4,1260.6,1298.0,1347.5,1361.8,1387.5,1452.3,1488.0,1519.8,1549.8,1560.0,1540.3,1396.1,1745.8,1853.1
 "31000","Nebraska",4,SAPCE4,10,"...","     Women's and girls' clothing ","Millions of current dollars",609.2,634.4,660.1,685.3,682.3,669.0,691.5,724.7,744.6,749.2,762.9,743.9,736.0,761.0,792.1,797.8,803.2,839.2,851.1,859.3,869.7,876.3,856.9,790.5,984.3,1030.5
 "31000","Nebraska",4,SAPCE4,11,"...","     Men's and boys' clothing ","Millions of current dollars",434.5,441.5,449.6,453.7,441.2,428.7,433.1,441.1,445.6,436.4,432.5,433.5,432.5,444.6,464.7,477.0,494.4,518.5,536.7,553.6,568.9,576.0,580.2,509.0,647.4,698.1
 "31000","Nebraska",4,SAPCE4,12,"...","     Children's and infants' clothing ","Millions of current dollars",47.9,49.3,54.1,56.8,60.9,60.7,65.4,70.1,76.3,80.3,86.2,92.0,92.2,92.4,90.7,86.9,89.9,94.6,100.2,106.9,111.3,107.6,103.2,96.5,114.1,124.4
 "31000","Nebraska",4,SAPCE4,13,"...","    Other clothing materials ","Millions of current dollars",33.1,34.0,37.0,42.3,44.1,46.5,46.1,46.9,46.1,44.7,42.6,42.1,42.2,45.6,40.1,43.2,41.3,37.9,35.9,34.0,33.7,32.6,31.9,33.5,32.6,32.1
 "31000","Nebraska",4,SAPCE4,14,"...","    Cleaning, repair, and rental of clothing ","Millions of current dollars",56.3,58.0,59.4,61.5,62.8,62.9,64.0,66.0,65.4,68.4,66.3,66.4,65.1,66.2,62.0,60.0,61.3,66.3,68.1,70.4,73.3,74.3,74.8,67.4,73.3,77.3
 "31000","Nebraska",4,SAPCE4,15,"...","     Laundry and dry cleaning services ","Millions of current dollars",34.0,35.1,36.9,39.3,40.5,42.3,43.0,44.6,44.9,47.3,45.8,46.1,45.7,46.9,45.7,45.1,46.0,49.3,49.7,50.7,51.9,52.5,52.1,46.5,50.7,53.7
 "31000","Nebraska",4,SAPCE4,16,"...","     Clothing repair, rental, and alterations ","Millions of current dollars",22.3,22.8,22.5,22.2,22.3,20.7,21.0,21.3,20.5,21.1,20.4,20.3,19.4,19.3,16.4,14.9,15.3,17.1,18.4,19.7,21.5,21.9,22.7,20.8,22.6,23.6
 "31000","Nebraska",4,SAPCE4,17,"...","   Footwear ","Millions of current dollars",208.1,218.7,222.4,227.6,225.6,220.6,230.0,242.5,259.1,272.0,282.9,284.4,284.8,297.8,315.0,324.6,340.8,360.6,376.3,405.3,402.2,402.4,400.3,378.2,467.9,470.7
 "31000","Nebraska",4,SAPCE4,18,"...","  Housing, utilities, and fuels ","Millions of current dollars",5183.9,5396.8,5659.3,6083.3,6515.7,6664.9,6955.0,7329.5,7916.8,8418.0,8535.2,9098.5,8985.4,9448.9,10109.1,10211.5,10356.2,10942.6,11273.8,11515.1,11801.7,12387.0,12822.3,13177.2,14020.5,15175.1
 "31000","Nebraska",4,SAPCE4,19,"...","   Housing ","Millions of current dollars",4028.5,4284.3,4534.9,4842.5,5189.0,5361.5,5561.4,5853.5,6331.6,6764.1,6792.5,7233.5,7254.9,7615.6,8255.3,8323.5,8299.4,8791.1,9247.5,9458.3,9636.9,10071.6,10506.9,10990.3,11654.2,12385.5
 "31000","Nebraska",4,SAPCE4,20,"...","    Rental of tenant-occupied nonfarm housing ","Millions of current dollars",852.8,891.3,927.3,965.4,1022.5,1044.1,1055.0,1099.7,1165.1,1279.9,1240.8,1242.1,1352.3,1463.5,1577.0,1621.7,1707.8,1737.6,1804.9,1863.5,1924.6,1976.1,2097.4,2085.6,2251.5,2366.9
 "31000","Nebraska",4,SAPCE4,21,"...","    Imputed rental of owner-occupied nonfarm housing ","Millions of current dollars",2982.1,3191.6,3399.9,3633.1,3914.7,4085.3,4269.0,4497.0,4808.3,5118.2,5191.8,5654.1,5570.2,5846.8,6240.8,6347.7,6177.3,6595.4,7032.5,7243.4,7304.3,7689.2,7997.9,8446.5,9030.1,9663.3
 "31000","Nebraska",4,SAPCE4,22,"...","    Rental value of farm dwellings ","Millions of current dollars",188.9,196.7,202.8,238.8,246.5,226.9,231.6,253.5,355.2,362.8,356.5,333.6,328.3,301.2,433.2,348.8,407.7,450.8,402.9,344.1,400.5,398.9,401.5,448.4,362.0,343.8
 "31000","Nebraska",4,SAPCE4,23,"...","    Group housing ","Millions of current dollars",4.7,4.7,4.9,5.1,5.2,5.2,5.8,3.2,3.0,3.3,3.5,3.7,4.1,4.2,4.3,5.3,6.7,7.4,7.2,7.2,7.4,7.5,10.1,10.0,10.6,11.5
 "31000","Nebraska",4,SAPCE4,24,"...","   Household utilities and fuels ","Millions of current dollars",1155.4,1112.5,1124.4,1240.8,1326.7,1303.4,1393.6,1476.1,1585.3,1653.8,1742.6,1865.0,1730.5,1833.3,1853.7,1888.0,2056.8,2151.5,2026.3,2056.8,2164.7,2315.4,2315.4,2186.9,2366.3,2789.6
 "31000","Nebraska",4,SAPCE4,25,"...","    Water supply and sanitation ","Millions of current dollars",204.1,212.7,222.8,229.2,236.4,238.7,258.3,279.7,279.6,307.0,326.6,341.6,333.7,354.5,361.6,404.2,419.9,432.2,434.2,464.5,512.7,522.5,531.6,530.2,565.3,612.1
 "31000","Nebraska",4,SAPCE4,26,"...","    Electricity, gas, and other fuels ","Millions of current dollars",951.3,899.8,901.6,1011.6,1090.3,1064.7,1135.3,1196.4,1305.6,1346.9,1416.0,1523.4,1396.8,1478.8,1492.1,1483.8,1636.9,1719.3,1592.1,1592.4,1652.0,1792.9,1783.9,1656.7,1801.0,2177.5
 "31000","Nebraska",4,SAPCE4,27,"...","     Electricity ","Millions of current dollars",496.1,507.5,505.1,527.7,550.8,601.6,607.0,611.8,672.4,713.2,740.1,769.5,792.8,887.5,921.6,969.2,1018.1,1053.8,1029.6,1070.2,1085.2,1160.2,1153.6,1121.6,1154.2,1324.1
 "31000","Nebraska",4,SAPCE4,28,"...","     Natural gas ","Millions of current dollars",341.2,300.1,303.9,368.6,432.0,367.1,408.3,450.8,483.0,481.1,518.7,574.7,467.0,451.4,421.3,376.6,473.7,522.0,458.2,432.5,467.8,520.7,524.2,443.1,533.9,695.6
 "31000","Nebraska",4,SAPCE4,29,"...","     Fuel oil and other fuels ","Millions of current dollars",114.1,92.2,92.6,115.3,107.4,96.0,120.0,133.8,150.3,152.6,157.2,179.2,136.9,139.9,149.2,138.1,145.1,143.5,104.3,89.6,99.0,112.0,106.1,92.0,112.9,157.8
 "31000","Nebraska",4,SAPCE4,30,"...","  Furnishings, household equipment, and routine household maintenance ","Millions of current dollars",1608.9,1650.3,1716.1,1785.0,1810.5,1818.0,1891.6,2019.0,2107.9,2156.5,2168.1,2178.3,2123.7,2133.8,2170.2,2265.1,2343.1,2463.0,2569.0,2663.2,2712.4,2826.9,2906.8,3210.9,3588.8,3812.5
 "31000","Nebraska",4,SAPCE4,31,"...","   Furniture, furnishings, and floor coverings ","Millions of current dollars",592.4,586.9,605.1,611.4,598.5,586.9,615.7,673.6,707.3,720.8,724.5,691.3,648.1,652.4,649.5,680.2,699.9,732.3,775.2,805.3,827.3,877.6,921.5,1030.5,1218.7,1267.6
