GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "32000","Nevada",8,SAPCE4,1,"...","Personal consumption expenditures ","Millions of current dollars",39051.3,41874.4,46395.2,50853.1,54020.4,57342.3,61582.4,68079.6,74876.1,81040.6,86098.3,87852.2,83578.8,85449.7,88854.0,91509.3,94912.7,99383.8,103663.4,108477.9,115294.6,122302.4,128046.7,126436.5,145289.4,161819.1
 "32000","Nevada",8,SAPCE4,2,"..."," Household consumption expenditures ","Millions of current dollars",38474.7,41356.4,45723.2,50168.1,53286.4,56491.3,60728.4,67229.6,73945.1,79529.6,84336.3,85850.8,81614.8,83343.2,86574.1,88939.7,92211.0,96572.2,100728.6,105249.4,111843.5,118486.1,124238.5,121934.2,140948.1,156762.8
 "32000","Nevada",8,SAPCE4,3,"...","  Food and beverages purchased for off-premises consumption ","Millions of current dollars",3621.7,3724.7,4058.3,4329.4,4615.7,4712.4,5095.7,5651.2,5990.3,6589.7,7050.7,7309.3,7165.7,7116.7,7338.9,7538.8,7848.4,8393.9,8865.2,9096.3,9699.7,10124.7,10602.5,11753.5,12794.0,14122.0
 "32000","Nevada",8,SAPCE4,4,"...","   Food and nonalcoholic beverages purchased for off-premises consumption ","Millions of current dollars",3158.8,3231.4,3503.6,3713.2,3956.8,4028.5,4372.2,4854.2,5147.5,5646.4,6057.3,6319.9,6200.0,6130.1,6338.4,6502.4,6773.8,7229.3,7606.7,7766.1,8267.7,8610.8,9007.3,9945.5,10799.9,11957.8
 "32000","Nevada",8,SAPCE4,5,"...","   Alcoholic beverages purchased for off-premises consumption ","Millions of current dollars",461.0,491.8,553.5,615.3,658.1,683.2,722.9,796.2,842.1,942.5,992.7,988.4,964.8,985.5,999.4,1034.7,1072.9,1162.8,1257.0,1328.9,1430.6,1512.6,1593.7,1806.6,1992.3,2162.6
 "32000","Nevada",8,SAPCE4,6,"...","   Food produced and consumed on farms ","Millions of current dollars",1.8,1.6,1.3,1.0,0.7,0.8,0.7,0.7,0.7,0.8,0.8,1.0,0.9,1.0,1.1,1.7,1.7,1.9,1.5,1.3,1.4,1.2,1.5,1.5,1.8,1.6
 "32000","Nevada",8,SAPCE4,7,"...","  Clothing, footwear, and related services ","Millions of current dollars",1328.7,1480.3,1693.9,1733.5,1788.6,1826.9,2008.2,2246.8,2486.8,2679.1,2779.4,2843.2,2697.4,2884.7,3096.2,3222.3,3365.7,3555.8,3648.4,3695.0,3753.6,3847.4,3931.6,3343.8,4435.2,4738.2
 "32000","Nevada",8,SAPCE4,8,"...","   Clothing ","Millions of current dollars",1175.0,1304.0,1489.3,1528.6,1575.0,1607.4,1759.7,1960.8,2152.9,2302.0,2375.8,2419.4,2289.8,2441.3,2610.8,2706.9,2813.9,2966.2,3036.8,3057.4,3107.6,3179.7,3240.8,2744.4,3631.2,3913.8
 "32000","Nevada",8,SAPCE4,9,"...","    Garments ","Millions of current dollars",1022.1,1141.4,1317.0,1347.8,1392.1,1425.6,1577.8,1775.2,1963.9,2110.6,2189.2,2235.2,2114.7,2265.0,2436.0,2533.9,2641.0,2785.1,2854.5,2875.3,2920.9,2988.2,3049.7,2596.7,3460.8,3730.2
 "32000","Nevada",8,SAPCE4,10,"...","     Women's and girls' clothing ","Millions of current dollars",516.1,583.6,686.6,712.2,740.8,761.9,850.5,968.6,1080.9,1170.1,1222.8,1235.1,1166.9,1255.4,1353.9,1412.4,1456.2,1524.1,1546.0,1548.6,1557.2,1603.6,1638.5,1398.1,1883.0,1932.6
