GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "45000","South Carolina",5,SAPCE4,1,"...","Personal consumption expenditures ","Millions of current dollars",70356.0,74708.7,80120.3,85734.9,89205.2,92798.8,97641.0,104869.7,112568.8,119796.4,127725.5,132802.1,131213.5,137523.2,143267.1,146268.9,151499.5,158383.2,164635.0,171615.5,178743.4,186670.7,194674.0,195695.6,222946.9,244163.4
 "45000","South Carolina",5,SAPCE4,2,"..."," Household consumption expenditures ","Millions of current dollars",69522.6,73650.6,79094.3,84540.9,87595.2,90933.7,95844.0,103220.7,111011.8,117882.4,125667.5,130371.2,128941.5,135403.9,140990.7,143665.0,148812.4,155764.4,161986.7,168820.6,175922.3,183770.3,191695.5,191671.0,219503.7,239780.4
 "45000","South Carolina",5,SAPCE4,3,"...","  Food and beverages purchased for off-premises consumption ","Millions of current dollars",6776.5,7087.6,7605.0,7884.0,8085.2,8053.5,8233.7,8926.6,9748.3,10100.0,10659.1,11505.0,11816.2,12159.7,12445.9,12586.5,13179.6,13940.9,14362.4,15043.2,15297.9,16029.4,16650.6,18744.4,20404.3,22205.2
 "45000","South Carolina",5,SAPCE4,4,"...","   Food and nonalcoholic beverages purchased for off-premises consumption ","Millions of current dollars",5981.2,6235.8,6676.4,6873.7,7042.2,6994.6,7174.0,7789.8,8526.7,8802.2,9299.4,10085.8,10358.3,10616.9,10883.8,11017.4,11546.2,12193.0,12530.5,13084.3,13296.7,13901.1,14411.8,16063.6,17504.8,19100.5
 "45000","South Carolina",5,SAPCE4,5,"...","   Alcoholic beverages purchased for off-premises consumption ","Millions of current dollars",792.1,849.1,926.4,1008.6,1042.0,1057.7,1058.3,1135.3,1220.1,1296.6,1358.6,1417.9,1456.7,1541.5,1560.8,1567.6,1626.8,1735.4,1824.3,1956.9,1999.6,2127.6,2236.2,2675.7,2894.2,3101.8
 "45000","South Carolina",5,SAPCE4,6,"...","   Food produced and consumed on farms ","Millions of current dollars",3.2,2.7,2.2,1.6,1.1,1.2,1.3,1.5,1.5,1.2,1.1,1.4,1.3,1.3,1.4,1.4,6.7,12.5,7.6,2.1,1.6,0.7,2.6,5.1,5.4,3.0
 "45000","South Carolina",5,SAPCE4,7,"...","  Clothing, footwear, and related services ","Millions of current dollars",3797.5,3954.3,4203.1,4255.4,4211.2,4277.5,4392.3,4584.6,4752.8,4916.8,4979.3,4927.1,4755.6,4839.3,4970.7,5078.0,5225.7,5490.7,5655.0,5891.6,6226.0,6452.6,6687.3,6248.5,7495.3,7875.5
 "45000","South Carolina",5,SAPCE4,8,"...","   Clothing ","Millions of current dollars",3218.3,3344.0,3561.8,3600.2,3560.9,3629.5,3717.7,3871.4,3980.4,4085.7,4118.2,4060.0,3915.0,3977.3,4075.9,4144.2,4248.6,4452.4,4571.3,4733.0,4986.4,5157.0,5325.2,4950.6,5954.7,6270.2
 "45000","South Carolina",5,SAPCE4,9,"...","    Garments ","Millions of current dollars",3006.5,3117.8,3316.0,3344.3,3300.4,3367.2,3457.1,3616.8,3729.9,3833.6,3871.6,3819.2,3679.4,3739.2,3850.9,3917.3,4015.9,4212.5,4326.0,4478.3,4719.7,4880.6,5037.9,4694.0,5676.2,5967.3
 "45000","South Carolina",5,SAPCE4,10,"...","     Women's and girls' clothing ","Millions of current dollars",1714.0,1784.9,1931.6,1947.7,1938.9,2010.2,2071.6,2184.9,2264.9,2339.1,2377.0,2320.7,2232.7,2268.9,2337.3,2377.2,2412.4,2512.5,2555.8,2630.5,2756.4,2869.1,2967.0,2782.6,3367.5,3575.1
 "45000","South Carolina",5,SAPCE4,11,"...","     Men's and boys' clothing ","Millions of current dollars",1165.7,1197.1,1234.3,1243.1,1201.5,1189.7,1201.6,1229.3,1252.0,1262.6,1246.7,1238.4,1192.9,1215.0,1259.3,1297.0,1346.4,1425.5,1478.5,1542.3,1639.7,1687.9,1743.9,1608.7,1945.1,2004.4
