GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "53000","Washington",8,SAPCE4,1,"...","Personal consumption expenditures ","Millions of current dollars",119476.0,131479.4,141339.1,152295.4,156985.3,162779.9,171974.9,183481.6,195664.6,209686.6,222210.3,232285.5,229607.5,236856.5,247788.1,256777.8,266531.7,279767.5,291926.6,306811.4,325690.0,345880.5,360564.3,356914.4,403720.9,440420.2
 "53000","Washington",8,SAPCE4,2,"..."," Household consumption expenditures ","Millions of current dollars",116967.7,128418.4,137996.1,148812.4,153264.3,158550.8,167483.9,178946.5,191164.5,204470.6,216857.3,226062.5,223050.0,230000.4,240148.9,247950.3,257294.4,269792.7,281801.3,295357.7,314486.0,333793.9,347769.4,342036.3,388732.9,423362.1
 "53000","Washington",8,SAPCE4,3,"...","  Food and beverages purchased for off-premises consumption ","Millions of current dollars",10856.2,11428.8,12029.4,12766.6,13207.9,13674.4,14547.8,15566.9,16827.5,17922.7,18854.9,19754.0,19696.5,19987.5,20911.7,21453.1,22267.7,23003.1,23551.1,23700.7,24962.1,26065.5,27084.0,30920.4,32759.0,34722.1
 "53000","Washington",8,SAPCE4,4,"...","   Food and nonalcoholic beverages purchased for off-premises consumption ","Millions of current dollars",9166.4,9613.4,10085.5,10619.0,10962.2,11314.8,12114.6,13000.1,14080.9,14975.2,15812.8,16695.8,16650.7,16842.1,17705.0,18160.5,18850.0,19430.2,19798.5,19832.0,20843.7,21703.5,22498.6,25364.9,26886.3,28661.5
 "53000","Washington",8,SAPCE4,5,"...","   Alcoholic beverages purchased for off-premises consumption ","Millions of current dollars",1680.1,1806.6,1935.9,2140.6,2239.5,2354.2,2428.9,2558.6,2733.3,2928.8,3027.1,3047.4,3034.7,3134.2,3194.0,3281.2,3403.3,3558.6,3736.0,3855.0,4106.6,4351.2,4573.1,5534.0,5851.7,6034.5
 "53000","Washington",8,SAPCE4,6,"...","   Food produced and consumed on farms ","Millions of current dollars",9.8,8.9,8.0,7.1,6.3,5.4,4.3,8.1,13.3,18.7,15.0,10.8,11.1,11.2,12.7,11.5,14.4,14.3,16.6,13.6,11.8,10.8,12.3,21.5,20.9,26.1
 "53000","Washington",8,SAPCE4,7,"...","  Clothing, footwear, and related services ","Millions of current dollars",4950.5,5275.4,5485.4,5581.0,5510.3,5459.4,5564.4,5844.0,6311.4,6619.8,6843.9,6466.2,5931.6,6529.6,7186.7,7381.3,7790.5,7928.5,8020.5,8263.2,8776.4,9286.4,9516.9,8440.3,10698.4,11501.9
 "53000","Washington",8,SAPCE4,8,"...","   Clothing ","Millions of current dollars",4159.1,4366.1,4570.0,4689.2,4617.6,4599.4,4656.7,4870.9,5229.3,5443.6,5606.0,5285.6,4850.7,5318.7,5830.8,5966.8,6257.7,6360.7,6417.4,6573.0,6979.1,7363.8,7519.8,6651.9,8407.0,9074.8
 "53000","Washington",8,SAPCE4,9,"...","    Garments ","Millions of current dollars",3837.3,4005.2,4186.5,4301.5,4230.0,4211.7,4273.2,4494.6,4866.1,5076.3,5247.3,4927.7,4503.2,4972.2,5488.5,5624.9,5905.0,5993.3,6042.4,6188.2,6569.7,6923.0,7063.8,6260.6,7982.4,8628.0
 "53000","Washington",8,SAPCE4,10,"...","     Women's and girls' clothing ","Millions of current dollars",2177.2,2280.2,2412.2,2510.8,2489.1,2490.7,2531.2,2685.8,2919.3,3075.8,3201.5,2954.8,2679.4,2981.5,3309.5,3396.4,3537.0,3553.4,3541.4,3609.7,3815.5,4052.0,4141.2,3649.2,4692.4,5065.1
