GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "54000","West Virginia",5,SAPCE4,1,"...","Personal consumption expenditures ","Millions of current dollars",30172.7,31510.3,33201.0,35057.4,36407.6,37913.6,39592.6,41954.5,44161.5,46132.8,48124.8,50179.6,51048.4,53259.1,55714.2,57188.1,58309.6,59585.7,61153.0,62968.6,64022.0,66466.4,67776.9,66989.9,73693.4,78923.3
 "54000","West Virginia",5,SAPCE4,2,"..."," Household consumption expenditures ","Millions of current dollars",29155.0,30439.3,31965.9,33725.4,34927.6,36351.5,38008.6,40288.4,42471.4,44270.8,46309.8,48136.1,48857.7,50966.1,53237.1,54533.5,55617.8,56937.5,58406.1,60125.3,61085.8,63481.6,64728.1,63613.2,70242.9,75175.4
 "54000","West Virginia",5,SAPCE4,3,"...","  Food and beverages purchased for off-premises consumption ","Millions of current dollars",3087.6,3113.7,3204.0,3271.8,3282.5,3325.4,3405.0,3587.3,3743.7,3938.3,4131.3,4418.5,4578.3,4680.7,4842.5,4877.6,4983.5,5058.1,5117.6,5321.2,5425.9,5587.2,5761.2,6292.4,6768.0,7335.1
 "54000","West Virginia",5,SAPCE4,4,"...","   Food and nonalcoholic beverages purchased for off-premises consumption ","Millions of current dollars",2799.6,2813.7,2888.6,2936.4,2937.8,2967.2,3040.4,3198.7,3337.4,3499.1,3675.1,3956.8,4099.1,4173.2,4322.3,4346.5,4446.2,4504.4,4546.9,4721.4,4823.3,4968.9,5133.3,5597.5,6019.3,6543.5
 "54000","West Virginia",5,SAPCE4,5,"...","   Alcoholic beverages purchased for off-premises consumption ","Millions of current dollars",284.2,296.6,312.5,332.8,342.6,356.2,362.1,385.1,402.0,434.6,452.3,459.7,477.4,505.7,518.6,529.1,533.3,547.7,566.1,597.0,600.6,616.2,625.5,691.6,744.4,786.9
 "54000","West Virginia",5,SAPCE4,6,"...","   Food produced and consumed on farms ","Millions of current dollars",3.8,3.4,3.0,2.6,2.1,2.1,2.5,3.6,4.3,4.6,4.0,2.0,1.8,1.9,1.7,2.0,4.0,6.0,4.7,2.8,2.0,2.0,2.4,3.3,4.3,4.7
 "54000","West Virginia",5,SAPCE4,7,"...","  Clothing, footwear, and related services ","Millions of current dollars",1175.2,1240.4,1278.1,1317.5,1280.0,1276.0,1266.8,1288.1,1350.0,1391.0,1408.9,1434.1,1429.4,1463.7,1492.3,1521.2,1562.8,1572.2,1621.2,1634.8,1615.0,1628.0,1619.5,1452.8,1787.4,1903.8
 "54000","West Virginia",5,SAPCE4,8,"...","   Clothing ","Millions of current dollars",990.5,1045.1,1079.2,1116.7,1085.0,1082.5,1071.8,1085.1,1127.0,1150.8,1161.0,1178.5,1173.2,1198.6,1218.4,1234.7,1261.5,1269.6,1303.1,1307.8,1293.5,1305.7,1298.2,1164.5,1417.1,1515.9
 "54000","West Virginia",5,SAPCE4,9,"...","    Garments ","Millions of current dollars",922.9,975.2,1007.3,1041.9,1009.5,1008.6,1001.7,1014.7,1057.9,1084.2,1094.6,1110.5,1103.5,1127.5,1149.7,1165.9,1193.7,1200.8,1233.0,1240.4,1224.5,1233.5,1226.8,1104.9,1352.1,1449.1
 "54000","West Virginia",5,SAPCE4,10,"...","     Women's and girls' clothing ","Millions of current dollars",508.6,540.8,562.5,587.1,572.6,573.6,571.3,582.9,610.4,628.4,636.2,636.1,630.5,646.1,658.6,669.5,678.1,684.8,688.5,686.0,669.0,684.6,690.5,609.1,787.0,836.4
